id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
82005,aaqui,und,"","",,Mayo,Ken-ichi Ueda,2013-05-16T07:57:46Z
154538,ajya,und,"","",,Mayo,Adrian Bojorquez,2013-05-16T07:58:35Z
164415,arócosim,und,"","",,Mayo,sea-kangaroo,2013-05-16T08:00:03Z
48448,batchi,und,"","",,Mayo,Ken-ichi Ueda,2013-05-16T08:00:43Z
165115,cáncer yuga,und,"","",,Mayo,Ken-ichi Ueda,2013-05-16T08:03:30Z
122796,co'ocori,und,"","",,Mayo,Zinogre,2013-05-16T08:06:39Z
62859,guáibasim,und,"","",,Mayo,Ken-ichi Ueda,2013-05-16T08:10:20Z
58774,huee'e,und,"","",,Mayo,Ken-ichi Ueda,2013-05-16T08:15:15Z
158098,juya cuu,und,"","",,Mayo,Ken-ichi Ueda,2013-05-16T08:16:23Z
290893,láatiro,und,"","",,Mayo,Ken-ichi Ueda,2013-05-16T08:16:48Z
170418,mayitos,und,"","",,Mayo,Ken-ichi Ueda,2013-05-16T08:19:01Z
159128,uachamo,und,"","",,Mayo,Ken-ichi Ueda,2013-05-16T08:27:01Z
79472,cucca,und,"","",,Mayo,Konstantinos Kalaentzis,2017-04-20T06:43:50Z
317939,t'aziiro,und,"","",,Mayo,Ken-ichi Ueda,2018-03-26T17:52:23Z
496965,Kupis,und,"","",,Mayo,Tim Fallon,2018-12-15T21:05:11Z
253230,Kupis,und,"Sonora, MX | Sinaloa, MX","",,Mayo,Carlos Anguamea,2018-12-16T02:27:52Z
208681,Músue,und,"","",,Mayo,Carlos Anguamea,2018-12-16T06:24:23Z
208681,muso,und,"","",,Mayo,Carlos Anguamea,2018-12-16T06:25:17Z
274351,sina,und,"","",,Mayo,Carlos Anguamea,2018-12-16T06:37:28Z
284753,jito,und,"","",,Mayo,Carlos Anguamea,2018-12-20T08:31:36Z
16447,tatampili,und,"","",,Mayo,Carlos Anguamea,2018-12-28T07:12:02Z
193074,júyawo,und,"","",,Mayo,Carlos Anguamea,2018-12-28T07:44:40Z
193074,júyago,und,"","",,Mayo,Carlos Anguamea,2018-12-28T07:45:04Z
193074,júyawonawa,und,"","",,Mayo,Carlos Anguamea,2018-12-28T07:45:53Z
18161,Chórou,und,"","",,Mayo,Carlos Anguamea,2019-01-10T06:37:26Z
78256,ejea,und,"","",,Mayo,Carlos Anguamea,2019-01-25T06:19:06Z
857865,agi,und,"","",,Mayo,Ken-ichi Ueda,2019-01-31T05:35:49Z
19975,Mü,und,"","",,Mayo,Carlos Anguamea,2019-03-10T09:09:25Z
62829,Wakaporo,und,"","",,Mayo,Carlos Anguamea,2019-04-03T05:07:21Z
62829,Bakaporo,und,"","",,Mayo,Carlos Anguamea,2019-04-03T05:07:47Z
209956,Choij;  Choy; Choix,und,"","",,Mayo,Carlos Anguamea,2019-04-03T05:09:13Z
63603,Käro,und,"","",,Mayo,Carlos Anguamea,2019-04-03T05:12:45Z
41976,Juya Missi,und,"","",,Mayo,Carlos Anguamea,2019-09-30T09:23:50Z
4756,wiru,und,"Sonora, MX | Sinaloa, MX","",,Mayo,Carlos Anguamea,2019-12-14T04:45:10Z
284274,Josso,und,"Sonora, MX","",,Mayo,Carlos Anguamea,2020-03-13T09:02:12Z
