id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
119817,saagaaban,und,"","",,Mi'kmaq,Valerie Anderson,2019-02-12T16:51:18Z
54261,Stoqn,und,"","",,Mi'kmaq,Brady Lee,2019-10-17T13:11:42Z
54807,Wiskoq,und,"","",,Mi'kmaq,Brady Lee,2019-10-17T13:15:35Z
41974,apuksikn,und,"Unama'ki, NS, CA","",,Mi'kmaq,Tony Iwane,2020-01-24T23:19:30Z
54807,wisqoq,und,"Unama'ki, NS, CA","",,Mi'kmaq,mkkennedy,2020-01-29T11:30:54Z
54805,aqmoq,und,"Unama'ki, NS, CA","",,Mi'kmaq,mkkennedy,2020-01-29T11:41:15Z
51044,maltuiajk,und,"Unama'ki, NS, CA","",,Mi'kmaq,mkkennedy,2020-01-29T11:42:43Z
84296,kawatkw,und,"Unama'ki, NS, CA","",,Mi'kmaq,mkkennedy,2020-01-29T11:44:01Z
54261,puku'kewij,und,"Unama'ki, NS, CA","",,Mi'kmaq,mkkennedy,2020-01-29T11:45:14Z
68049,muinuiman,und,"Unama'ki, NS, CA","",,Mi'kmaq,mkkennedy,2020-01-29T11:46:27Z
49883,maskwi,und,"Unama'ki, NS, CA","",,Mi'kmaq,mkkennedy,2020-01-29T11:54:35Z
54265,epsmusi,und,"Unama'ki, NS, CA","",,Mi'kmaq,mkkennedy,2020-01-29T11:57:08Z
58724,melkijit kuow,und,"Unama'ki, NS, CA","",,Mi'kmaq,mkkennedy,2020-01-29T11:58:53Z
47118,awo'kejit,und,"Unama'ki, NS, CA","",,Mi'kmaq,mkkennedy,2020-01-29T12:16:24Z
50190,miseminqanaw,und,"Unama'ki, NS, CA","",,Mi'kmaq,mkkennedy,2020-01-29T12:19:58Z
119971,awioqik'we'j,und,"Unama'ki, NS, CA","",,Mi'kmaq,mkkennedy,2020-01-29T12:22:00Z
63749,su'n,und,"Unama'ki, NS, CA","",,Mi'kmaq,mkkennedy,2020-01-29T14:52:43Z
868167,Tupsi,und,"Unama'ki, NS, CA","",,Mi'kmaq,mkkennedy,2020-01-29T15:03:30Z
84542,pkwiman,und,"Unama'ki, NS, CA","",,Mi'kmaq,mkkennedy,2020-01-29T15:05:19Z
83075,sqatpiku'swiwasuekji'j,und,"Unama'ki, NS, CA","",,Mi'kmaq,mkkennedy,2020-01-29T15:11:11Z
126251,wisawtaqji'jkl,und,"Unama'ki, NS, CA","",,Mi'kmaq,mkkennedy,2020-01-29T15:13:01Z
82110,ajiyoqjimin,und,"Unama'ki, NS, CA","",,Mi'kmaq,mkkennedy,2020-01-29T15:19:39Z
