id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
54762,wiikapaahkwaahkaniša,und,"","",,Miami,Ben,2022-01-22T18:04:41Z
119817,eepiikanita,und,"","",,Miami,Ben,2022-01-22T18:13:17Z
47911,leninši,und,"","",,Miami,Ben,2022-01-22T18:18:49Z
50897,mihsiimišaahkwi,und,"","",,Miami,Ben,2022-01-22T18:23:19Z
67593,kaanseenseemini,und,"","",,Miami,Ben,2022-01-22T18:36:51Z
83435,pyaakimišaahkwi,und,"","",,Miami,Ben,2022-01-22T18:39:58Z
50298,ateehimini,und,"","",,Miami,Ben,2022-01-22T18:40:58Z
58682,minohsakayi,und,"","",,Miami,Ben,2022-01-22T20:20:27Z
84160,poohkhšikwalia,und,"","",,Miami,Ben,2022-01-22T20:21:11Z
51119,mahkohpena,und,"","",,Miami,Ben,2022-01-22T20:21:45Z
48599,maamilaneewiaahkwia,und,"","",,Miami,Ben,2022-01-22T20:23:02Z
48629,ateehseemišaahkwa,und,"","",,Miami,Ben,2022-01-22T20:23:33Z
54834,katoohwakimišaahkwi,und,"","",,Miami,Ben,2022-01-22T20:24:21Z
54781,mihšiinkweemiši,und,"","",,Miami,Ben,2022-01-22T20:24:58Z
82110,makiinkweemina,und,"","",,Miami,Ben,2022-01-22T20:25:24Z
69717,meenkaalakiinkweemina,und,"","",,Miami,Ben,2022-01-22T20:25:55Z
125489,neepaleeteemina,und,"","",,Miami,Ben,2022-01-22T20:26:20Z
54795,mankiišaahkwi,und,"","",,Miami,Ben,2022-01-22T20:26:48Z
128931,kiišiipitoonisinki,und,"","",,Miami,Ben,2022-01-22T20:27:48Z
58795,ahsapa,und,"","",,Miami,Ben,2022-01-22T20:28:47Z
54857,pakamaakaniši,und,"","",,Miami,Ben,2022-01-22T20:29:30Z
54777,akanteemiši,und,"","",,Miami,Ben,2022-01-22T20:30:08Z
54777,iihkalomiši,und,"","",,Miami,Ben,2022-01-22T20:30:22Z
54807,peepihkwilakiki,und,"","",,Miami,Ben,2022-01-22T20:31:04Z
54504,myaalweehki,und,"","",,Miami,Ben,2022-01-22T20:32:07Z
49399,šiinkwaahkwa,und,"","",,Miami,Ben,2022-01-22T20:32:48Z
122113,apahkoohkwaniši siipiomeekwi,und,"","",,Miami,Ben,2022-01-22T20:33:17Z
78998,alaansooni,und,"","",,Miami,Ben,2022-01-22T20:34:06Z
54854,wiikapimišii,und,"","",,Miami,Ben,2022-01-22T20:34:27Z
48685,apahkwaya,und,"","",,Miami,Ben,2022-01-22T20:35:29Z
54860,ašaahšikopa,und,"","",,Miami,Ben,2022-01-22T20:35:56Z
