id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
161264,cuaan,und,"","",,Mixteco,Ken-ichi Ueda,2013-05-16T08:07:20Z
122850,du-chi,und,"","",,Mixteco,Zachary Dankowicz,2013-05-16T08:08:14Z
48514,dya-ah,und,"","",,Mixteco,Nick Block,2013-05-16T08:08:16Z
79139,iñu ti konduu,und,"","",,Mixteco,Bodo Nuñez Oberg,2013-05-16T08:15:32Z
47445,iñun-duba,und,"","",,Mixteco,Yingyod Lapwong,2013-05-16T08:15:32Z
277778,ita-cayu,und,"","",,Mixteco,Ken-ichi Ueda,2013-05-16T08:15:38Z
79312,ita-cuaan,und,"","",,Mixteco,Jorge Rojas S.,2013-05-16T08:15:38Z
132130,ita-tyaha,und,"","",,Mixteco,Adrian Bojorquez,2013-05-16T08:15:39Z
161582,ita-xini-xitoho,und,"","",,Mixteco,Ken-ichi Ueda,2013-05-16T08:15:39Z
284829,ita-yoyuu,und,"","",,Mixteco,Ken-ichi Ueda,2013-05-16T08:15:40Z
276303,ita-yucu-cuañe,und,"","",,Mixteco,Ken-ichi Ueda,2013-05-16T08:15:40Z
48448,nuh-ni,und,"","",,Mixteco,Ken-ichi Ueda,2013-05-16T08:20:35Z
62941,nyami-cue,und,"","",,Mixteco,Ken-ichi Ueda,2013-05-16T08:20:36Z
53858,nyami-tecuinti,und,"","",,Mixteco,Ken-ichi Ueda,2013-05-16T08:20:36Z
76541,ñinc,und,"","",,Mixteco,Carlos Galindo-Leal,2013-05-16T08:20:37Z
48865,ticaja,und,"","",,Mixteco,Ken-ichi Ueda,2013-05-16T08:25:38Z
122985,ticobo-cojú,und,"","",,Mixteco,Ken-ichi Ueda,2013-05-16T08:25:38Z
166920,ticuahndi,und,"","",,Mixteco,joshua_tx,2013-05-16T08:25:38Z
182109,tnu-yahá,und,"","",,Mixteco,Ken-ichi Ueda,2013-05-16T08:25:51Z
49665,Tnuyucu,und,"","",,Mixteco,Ken-ichi Ueda,2013-05-16T08:25:51Z
285325,tuncuisu,und,"","",,Mixteco,Ken-ichi Ueda,2013-05-16T08:26:37Z
209905,tun-daja,und,"","",,Mixteco,Ken-ichi Ueda,2013-05-16T08:26:37Z
157553,tundeyi,und,"","",,Mixteco,Ken-ichi Ueda,2013-05-16T08:26:37Z
283098,tundishijó,und,"","",,Mixteco,Ken-ichi Ueda,2013-05-16T08:26:37Z
139075,tunditipí,und,"","",,Mixteco,Ken-ichi Ueda,2013-05-16T08:26:37Z
163327,tunduti,und,"","",,Mixteco,Bodo Nuñez Oberg,2013-05-16T08:26:37Z
154828,tunumi-taján,und,"","",,Mixteco,Adrian Bojorquez,2013-05-16T08:26:38Z
62809,Tunuum,und,"","",,Mixteco,Ken-ichi Ueda,2013-05-16T08:26:38Z
209896,tusa-tioco,und,"","",,Mixteco,Ken-ichi Ueda,2013-05-16T08:26:39Z
52440,tutaján,und,"","",,Mixteco,Ken-ichi Ueda,2013-05-16T08:26:41Z
209893,tu-tyejé,und,"","",,Mixteco,Ken-ichi Ueda,2013-05-16T08:26:41Z
147260,tuyachín,und,"","",,Mixteco,Jorge Rojas S.,2013-05-16T08:26:42Z
284995,tu-yuu,und,"","",,Mixteco,Ken-ichi Ueda,2013-05-16T08:26:42Z
209957,tyacua-najnu,und,"","",,Mixteco,Jorge Rojas S.,2013-05-16T08:26:42Z
281041,yahuindayasi,und,"","",,Mixteco,Ken-ichi Ueda,2013-05-16T08:28:13Z
278375,yubandoo,und,"","",,Mixteco,Ken-ichi Ueda,2013-05-16T08:28:21Z
206949,yucu-teyepe,und,"","",,Mixteco,Ken-ichi Ueda,2013-05-16T08:28:22Z
276365,yucu-tiojo,und,"","",,Mixteco,Ken-ichi Ueda,2013-05-16T08:28:23Z
76746,minu,und,"","",,Mixteco,Ken-ichi Ueda,2014-01-07T06:19:00Z
62859,Tíkua yuu,und,"","",,Mixteco,Leoncio Paz,2015-03-09T15:34:20Z
123694,"Tinúu, tinomi",und,"","",,Mixteco,Leoncio Paz,2015-03-10T14:02:38Z
169286,Tikaba,und,"","",,Mixteco,Leoncio Paz,2015-03-11T17:03:57Z
163464,ticandede,und,"","",,Mixteco,Leoncio Paz,2016-03-09T19:51:26Z
315018,T-nundaya,und,"","",,Mixteco,Bodo Nuñez Oberg,2017-07-10T00:36:22Z
47902,Vi'ncha,und,"","",,Mixteco,Jorge Rojas S.,2017-09-27T23:07:44Z
16447,Laxinicuá,und,"","",,Mixteco,Daniel Alexander Carrillo Mtz,2019-01-06T00:45:11Z
18161,Dityitaca,und,"","",,Mixteco,Daniel Alexander Carrillo Mtz,2019-01-06T01:04:21Z
16737,Xatiá,und,"","",,Mixteco,Daniel Alexander Carrillo Mtz,2019-01-06T22:29:13Z
11901,Tishicumí,und,"","",,Mixteco,Daniel Alexander Carrillo Mtz,2019-01-06T22:34:09Z
7469,Lasimí,und,"","",,Mixteco,Daniel Alexander Carrillo Mtz,2019-01-06T22:44:16Z
9744,Diirí,und,"","",,Mixteco,Daniel Alexander Carrillo Mtz,2019-01-06T23:08:57Z
866568,tucava,und,"","",,Mixteco,Ken-ichi Ueda,2019-02-17T19:22:02Z
867263,Xavi kuiji,und,"","",,Mixteco,M. Domínguez-Laso,2019-02-18T03:43:35Z
566701,yucucaca,und,"","",,Mixteco,Ken-ichi Ueda,2019-02-18T03:52:55Z
887938,t-nundaya,und,"","",,Mixteco,Ken-ichi Ueda,2019-05-03T16:53:28Z
945610,yucu-yaha,und,"","",https://www.inaturalist.org/taxon_names/449814/edit,Mixteco,,2019-09-23T19:15:04Z
3544,Kodito,und,"","",,Mixteco,Alexis Velasco,2020-10-26T17:02:06Z
17599,Tyileka,und,"","",,Mixteco,Alexis Velasco,2020-10-30T19:37:09Z
