id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
49311,Χελιδόνι,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10078506/common/45000,Modern Greek (1453 ),,2020-04-05T10:09:02Z
118682,Καλόγρια,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10070277/common/120102,Modern Greek (1453 ),,2021-06-28T13:56:50Z
118682,Καλογριά,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10070277/common/120103,Modern Greek (1453 ),,2021-06-28T13:56:50Z
108107,Πινδοβίνος,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10061667/common/73791,Modern Greek (1453 ),,2021-07-09T13:13:59Z
118679,Σολομός,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10072363/common/186397,Modern Greek (1453 ),,2021-07-09T13:44:25Z
118680,Σολομός,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10072626/common/173817,Modern Greek (1453 ),,2021-07-09T13:44:25Z
48648,Σολομός,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10078694/common/45841,Modern Greek (1453 ),,2021-07-09T13:44:25Z
107570,Solomós,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10078648/common/19424,Modern Greek (1453 ),,2021-07-09T13:45:40Z
107572,Solomos,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10078651/common/19237,Modern Greek (1453 ),,2021-07-09T13:45:40Z
48648,Solomos,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10078694/common/45702,Modern Greek (1453 ),,2021-07-09T13:45:41Z
48648,Solomós,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10078694/common/45701,Modern Greek (1453 ),,2021-07-09T13:45:41Z
474633,Pestrofa,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10085787/common/350665,Modern Greek (1453 ),,2021-07-12T15:46:13Z
111945,Πέστροφα,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10078682/common/45914,Modern Greek (1453 ),,2021-07-12T15:46:26Z
111951,Πέστροφα,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10078689/common/45878,Modern Greek (1453 ),,2021-07-12T15:46:26Z
111952,Πέστροφα,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10078690/common/45870,Modern Greek (1453 ),,2021-07-12T15:46:26Z
474633,Πέστροφα,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10085787/common/350660,Modern Greek (1453 ),,2021-07-12T15:46:26Z
47517,Πέστροφα,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10085789/common/350525,Modern Greek (1453 ),Cole Gaerber,2021-07-12T15:46:27Z
112581,Glanidi,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10081697/common/84410,Modern Greek (1453 ),,2021-07-13T15:03:10Z
112580,Glanidi,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10081692/common/84468,Modern Greek (1453 ),,2021-07-13T15:03:11Z
112581,Goulianos,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10081697/common/84408,Modern Greek (1453 ),,2021-07-13T15:03:20Z
112581,Γιαγίνι,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10081697/common/84344,Modern Greek (1453 ),,2021-07-13T15:03:29Z
112581,Γουλιανός,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10081697/common/84343,Modern Greek (1453 ),,2021-07-13T15:03:40Z
93193,Akipissios,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10053454/common/175129,Modern Greek (1453 ),,2021-07-13T15:15:21Z
102975,Akipíssios,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10053457/common/230167,Modern Greek (1453 ),,2021-07-13T15:15:21Z
102975,Mocuna,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10053457/common/230098,Modern Greek (1453 ),,2021-07-13T15:15:31Z
93193,Mourouna,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10053454/common/175043,Modern Greek (1453 ),,2021-07-13T15:15:44Z
102975,Mourouna,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10053457/common/230092,Modern Greek (1453 ),,2021-07-13T15:15:48Z
446223,Mourouna,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10063913/common/235823,Modern Greek (1453 ),,2021-07-13T15:15:48Z
102975,Ακιπήσιος,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10053457/common/230172,Modern Greek (1453 ),,2021-07-13T15:15:59Z
125291,Μουρούνα,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10063914/common/235798,Modern Greek (1453 ),,2021-07-13T15:16:15Z
93185,Μουρούνα,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10053446/common/175317,Modern Greek (1453 ),,2021-07-13T15:16:15Z
93193,Μουρούνα,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10053454/common/174966,Modern Greek (1453 ),,2021-07-13T15:16:16Z
102975,Μουρούνα,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10053457/common/230171,Modern Greek (1453 ),,2021-07-13T15:16:16Z
93192,Στουριόνι,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10053453/common/174915,Modern Greek (1453 ),,2021-07-13T15:16:30Z
93193,Στουριόνι,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10053454/common/174963,Modern Greek (1453 ),,2021-07-13T15:16:31Z
102975,Στουριόνι,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10053457/common/230170,Modern Greek (1453 ),,2021-07-13T15:16:31Z
93185,Στουριόνι,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10053446/common/175315,Modern Greek (1453 ),,2021-07-13T15:16:31Z
110381,Pristis mikrodontos,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10077959/common/166289,Modern Greek (1453 ),,2021-07-13T16:36:53Z
110381,Πρίστης μικρόδοντος,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10077959/common/166312,Modern Greek (1453 ),,2021-07-13T16:37:03Z
50873,Sbrillias,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10064513/common/239565,Modern Greek (1453 ),,2021-07-13T19:15:21Z
50873,Skylópsaro sbríllios,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10064513/common/239561,Modern Greek (1453 ),,2021-07-13T19:17:33Z
50873,Skylopsaro sbrillios,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10064513/common/239562,Modern Greek (1453 ),,2021-07-13T19:17:34Z
50873,Smprilios,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10064513/common/239560,Modern Greek (1453 ),,2021-07-13T19:17:58Z
50873,Λάμια,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10064513/common/239643,Modern Greek (1453 ),,2021-07-13T19:18:19Z
63508,Λάμια,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10064517/common/179020,Modern Greek (1453 ),,2021-07-13T19:18:19Z
52306,Σκυλόψαρο,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10083883/common/37467,Modern Greek (1453 ),,2021-07-13T19:19:00Z
96751,Σκυλόψαρο,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10055394/common/130312,Modern Greek (1453 ),,2021-07-13T19:19:01Z
96768,Σκυλόψαρο,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10064523/common/218306,Modern Greek (1453 ),,2021-07-13T19:19:01Z
111861,Σκυλόψαρο,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10060882/common/97370,Modern Greek (1453 ),,2021-07-13T19:19:02Z
48396,Σκυλόψαρο,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10085619/common/348363,Modern Greek (1453 ),Cole Gaerber,2021-07-13T19:19:02Z
101176,Σκυλόψαρο,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10055543/common/203605,Modern Greek (1453 ),,2021-07-13T19:19:02Z
107353,Σκυλόψαρο,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10064525/common/218426,Modern Greek (1453 ),,2021-07-13T19:19:02Z
50873,Σκυλόψαρο,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10064513/common/239642,Modern Greek (1453 ),,2021-07-13T19:19:03Z
53583,Σκυλόψαρο,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10055558/common/129351,Modern Greek (1453 ),,2021-07-13T19:19:03Z
82128,Σκυλόψαρο,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10064527/common/259071,Modern Greek (1453 ),,2021-07-13T19:19:03Z
69677,Σκυλόψαρο,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10064514/common/179208,Modern Greek (1453 ),,2021-07-13T19:19:04Z
112372,Σκυλόψαρο,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10055723/common/89360,Modern Greek (1453 ),,2021-07-13T19:19:04Z
63508,Σκυλόψαρο,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10064517/common/179019,Modern Greek (1453 ),,2021-07-13T19:19:05Z
112381,Σκυλόψαρο,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10055732/common/89169,Modern Greek (1453 ),,2021-07-13T19:19:05Z
51322,Σκυλόψαρο,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10083865/common/239454,Modern Greek (1453 ),,2021-07-13T19:19:06Z
93696,Σκυλόψαρο,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10064520/common/204022,Modern Greek (1453 ),,2021-07-13T19:19:06Z
101585,Σκυλόψαρο,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10059574/common/5044,Modern Greek (1453 ),,2021-07-13T19:19:06Z
50873,Σμπρίλιος,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10064513/common/239641,Modern Greek (1453 ),,2021-07-13T19:19:18Z
48156,Potamolavrako,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10071449/common/135133,Modern Greek (1453 ),,2021-07-14T17:43:32Z
114230,Potamolávrako,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10061239/common/93525,Modern Greek (1453 ),,2021-07-14T17:43:33Z
95260,Ποταμολαύρακο,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10058703/common/58100,Modern Greek (1453 ),,2021-07-14T18:09:33Z
48156,Ποταμολαύρακο,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10071449/common/135092,Modern Greek (1453 ),,2021-07-14T18:09:33Z
128274,Asimokyprinos,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10059694/common/257273,Modern Greek (1453 ),,2021-07-15T15:24:14Z
54721,Polyodontas,und,"","",,Modern Greek (1453 ),Zane Roskoph,2021-07-16T12:56:30Z
54721,Πολυόδοντας,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10053464/common/230578,Modern Greek (1453 ),,2021-07-16T12:56:40Z
47516,Amerikaniki Pestrofa,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10078654/common/19213,Modern Greek (1453 ),,2021-07-19T12:20:32Z
