id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
54795,Ka'nhiákera's,und,"","",,Mohawk,Ben,2020-07-09T05:03:05Z
43794,Atí:ron,und,"","",,Mohawk,Ben,2020-07-09T05:07:54Z
48734,Onen’ta’ón:we,und,"","",,Mohawk,Ben,2020-07-09T11:09:33Z
49202,Otskèn:rha,und,"","",,Mohawk,Ben,2020-07-09T12:29:30Z
46095,Anonhwaráweron,und,"","",,Mohawk,Ben,2020-07-09T18:31:33Z
9083,Tsinekwenhtáhrha,und,"","",,Mohawk,Ben,2020-07-09T18:47:07Z
42652,Aniheià:tha,und,"","",,Mohawk,Ben,2020-07-09T18:48:59Z
8229,Terì:teri,und,"","",,Mohawk,Ben,2020-07-09T18:57:33Z
167829,Tará:kwi,und,"","",,Mohawk,Ben,2020-07-09T23:18:31Z
42051,È:rha,und,"","",,Mohawk,Ben,2020-07-09T23:26:54Z
9346,Skihásteren,und,"","",,Mohawk,Ben,2020-07-09T23:36:04Z
12942,Tsiròn:iare,und,"","",,Mohawk,Ben,2020-07-09T23:41:24Z
51044,Tekanekwénshia’ks,und,"","",,Mohawk,Ben,2020-07-09T23:42:51Z
5305,Á:kweks,und,"","",,Mohawk,Ben,2020-07-09T23:45:51Z
5074,Skatsi’é:ra,und,"","",,Mohawk,Ben,2020-07-09T23:46:44Z
116999,Teiakoia’táhkhwa,und,"","",,Mohawk,Ben,2020-07-09T23:48:15Z
52391,Tsonerahtase’kó:wa,und,"","",,Mohawk,Ben,2020-07-09T23:51:03Z
52119,Onia’tara’ón:we,und,"","",,Mohawk,Ben,2020-07-09T23:52:50Z
53547,Aká:ratsi,und,"","",,Mohawk,Ben,2020-07-10T00:00:09Z
54779,Otokénha,und,"","",,Mohawk,Ben,2020-07-10T00:01:30Z
2548,Serà:sera,und,"","",,Mohawk,Ben,2020-07-10T00:03:43Z
45763,Anó:kien,und,"","",,Mohawk,Ben,2020-07-10T00:12:39Z
144455,Skarà:ken,und,"","",,Mohawk,Ben,2020-07-10T00:15:47Z
55387,Tsikónshes,und,"","",,Mohawk,Ben,2020-07-10T00:25:57Z
41789,Tsisheró:hen,und,"","",,Mohawk,Liv MW,2020-10-24T22:19:04Z
28423,Butler Otsinonhyahré:na,und,"","",,Mohawk,Liv MW,2021-07-03T02:34:34Z
67642,Onato'kó:wa,und,"","",,Mohawk,Liv MW,2021-07-03T02:35:45Z
27146,Tewarè:rons Ò:nyare,und,"","",,Mohawk,Liv MW,2021-07-03T02:36:53Z
28562,DeKay Òn:yare,und,"","",,Mohawk,Liv MW,2021-07-03T02:37:54Z
320680,Tsítsho Ò:nyare,und,"","",,Mohawk,Liv MW,2021-07-03T02:41:55Z
28365,Otsinonhyahré:na,und,"","",,Mohawk,Liv MW,2021-07-03T02:43:53Z
29925,Ka'nyónhses Ò:nyare,und,"","",,Mohawk,Liv MW,2021-07-03T02:44:58Z
558951,Ká:nheks Ò:nyare,und,"","",,Mohawk,Liv MW,2021-07-03T02:46:15Z
29308,Erie Oná:to,und,"","",,Mohawk,Liv MW,2021-07-03T02:47:05Z
520469,O'nekén:tsi,und,"","",,Mohawk,Liv MW,2021-07-03T02:48:20Z
26591,Yonihtyà:kon Ò:nyare,und,"","",,Mohawk,Liv MW,2021-07-03T02:52:38Z
29306,Othoro'kéha Oná:to,und,"","",,Mohawk,Liv MW,2021-07-03T02:53:00Z
28850,Yakonontí:yo Ò:nyare,und,"","",,Mohawk,Liv MW,2021-07-03T02:54:07Z
28557,Onekwénhtara Ò:nyare,und,"","",,Mohawk,Liv MW,2021-07-03T02:55:24Z
28368,Onekwénhtara Otsinonhyahré:na,und,"","",,Mohawk,Liv MW,2021-07-03T02:57:21Z
146314,Otsi'né:wara,und,"","",,Mohawk,Liv MW,2021-07-03T02:59:15Z
1264432,Aió:ha,und,"","",https://www.inaturalist.org/taxon_names/2165992/edit,Mohawk,,2021-07-20T16:31:08Z
204114,Atená:ti,und,"","",,Mohawk,Liv MW,2021-12-31T01:32:02Z
