id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
41663,Mapachtli,und,"","",,Nahuatl,max kirsch,2011-05-18T03:07:35Z
151802,Cuitlacochi,und,"","",,Nahuatl,sea-kangaroo,2012-09-13T16:30:20Z
151802,Cuitlacochin,und,"","",,Nahuatl,sea-kangaroo,2012-09-13T16:30:51Z
201455,Zompantle,und,"","",,Nahuatl,Carlos Galindo-Leal,2013-01-17T16:38:33Z
47726,Acezintle,und,"","",,Nahuatl,Carlos Galindo-Leal,2013-01-17T17:30:10Z
204765,Iztpapálotl,und,"","",,Nahuatl,Carlos Galindo-Leal,2013-02-09T01:58:57Z
43155,Zacatochtli,und,"","",,Nahuatl,Carlos Galindo-Leal,2013-03-13T04:50:20Z
60439,Chacaloxóchitl,und,"","",,Nahuatl,Carlos Galindo-Leal,2013-04-03T14:45:38Z
42007,Miztli,und,"","",,Nahuatl,Carlos Galindo-Leal,2013-04-14T19:01:41Z
301282,Máyatl,und,"","",,Nahuatl,Francisco Acosta,2013-04-30T05:40:56Z
32093,mazacóatl,und,"","",,Nahuatl,Ken-ichi Ueda,2013-05-08T00:07:51Z
30674,cumcóatl,und,"","",,Nahuatl,Ken-ichi Ueda,2013-05-08T00:26:58Z
30744,colcóatl,und,"","",,Nahuatl,Ken-ichi Ueda,2013-05-08T00:27:37Z
31035,mazacóatl,und,"","",,Nahuatl,Ken-ichi Ueda,2013-05-08T00:28:12Z
58371,acacahuiztli,und,"","",,Nahuatl,Austin R. Kelly,2013-05-16T07:57:54Z
50203,ācāhualli,und,"","",,Nahuatl,Cole Gaerber,2013-05-16T07:57:55Z
194146,ācāhualli,und,"","",,Nahuatl,Bodo Nuñez Oberg,2013-05-16T07:57:55Z
169780,ācāhualli,und,"","",,Nahuatl,Bodo Nuñez Oberg,2013-05-16T07:57:56Z
274034,ācāhualli,und,"","",,Nahuatl,Bodo Nuñez Oberg,2013-05-16T07:57:56Z
75766,acahualillo,und,"","",,Nahuatl,Cole Gaerber,2013-05-16T07:57:57Z
64017,acatl,und,"","",,Nahuatl,Yoshimasa Uchiyama,2013-05-16T07:58:00Z
159174,acháyotl,und,"","",,Nahuatl,Ken-ichi Ueda,2013-05-16T07:58:07Z
157531,actimpatli,und,"","",,Nahuatl,Ken-ichi Ueda,2013-05-16T07:58:13Z
201459,acuahuitl,und,"","",,Nahuatl,Ken-ichi Ueda,2013-05-16T07:58:13Z
285213,āhuacatl,und,"","",,Nahuatl,Bodo Nuñez Oberg,2013-05-16T07:58:21Z
285228,āhuacamātlacuahuitl,und,"","",,Nahuatl,Bodo Nuñez Oberg,2013-05-16T07:58:21Z
285245,āhuacacuahuitl,und,"","",,Nahuatl,Bodo Nuñez Oberg,2013-05-16T07:58:21Z
282374,ahoatl,und,"","",,Nahuatl,Ken-ichi Ueda,2013-05-16T07:58:26Z
316694,ahoatlxóchitl,und,"","",,Nahuatl,Ken-ichi Ueda,2013-05-16T07:58:26Z
49665,Ahoehuetl,und,"","",,Nahuatl,Ken-ichi Ueda,2013-05-16T07:58:27Z
275470,ahuacocoztli,und,"","",,Nahuatl,Ken-ichi Ueda,2013-05-16T07:58:28Z
54782,ahuacocoztli,und,"","",,Nahuatl,Ken-ichi Ueda,2013-05-16T07:58:28Z
281655,ahuapatli,und,"","",,Nahuatl,Ken-ichi Ueda,2013-05-16T07:58:28Z
60146,ahuapatli,und,"","",,Nahuatl,Ken-ichi Ueda,2013-05-16T07:58:28Z
209986,ahuat,und,"","",,Nahuatl,Ken-ichi Ueda,2013-05-16T07:58:28Z
209902,ahuate,und,"","",,Nahuatl,Ken-ichi Ueda,2013-05-16T07:58:29Z
167790,ahuatl tepiton,und,"","",,Nahuatl,Ken-ichi Ueda,2013-05-16T07:58:29Z
284768,ahuexquilitl,und,"","",,Nahuatl,Ken-ichi Ueda,2013-05-16T07:58:30Z
283024,ahuichichi,und,"","",,Nahuatl,Ken-ichi Ueda,2013-05-16T07:58:30Z
189148,āilitl,und,"","",,Nahuatl,Bodo Nuñez Oberg,2013-05-16T07:58:31Z
209402,ilitl,und,"","",,Nahuatl,Bodo Nuñez Oberg,2013-05-16T07:58:31Z
143208,ajahuini,und,"","",,Nahuatl,Cheng Te Hsu,2013-05-16T07:58:32Z
209868,ajuate,und,"","",,Nahuatl,Ken-ichi Ueda,2013-05-16T07:58:35Z
164415,alacate,und,"","",,Nahuatl,Ken-ichi Ueda,2013-05-16T07:58:39Z
168922,alahuaxipahuas,und,"","",,Nahuatl,Ken-ichi Ueda,2013-05-16T07:58:40Z
58188,albobueno,und,"","",,Nahuatl,Ken-ichi Ueda,2013-05-16T07:58:44Z
278199,amatcauitl,und,"","",,Nahuatl,Ken-ichi Ueda,2013-05-16T07:59:19Z
179421,amate,und,"","",,Nahuatl,Ken-ichi Ueda,2013-05-16T07:59:19Z
291902,Amate,und,"","",,Nahuatl,Ken-ichi Ueda,2013-05-16T07:59:20Z
316762,amate,und,"","",,Nahuatl,Ken-ichi Ueda,2013-05-16T07:59:20Z
278197,amate,und,"","",,Nahuatl,Ken-ichi Ueda,2013-05-16T07:59:20Z
273850,amate,und,"","",,Nahuatl,Ken-ichi Ueda,2013-05-16T07:59:20Z
192409,amate,und,"","",,Nahuatl,Ken-ichi Ueda,2013-05-16T07:59:20Z
285680,amate,und,"","",,Nahuatl,Ken-ichi Ueda,2013-05-16T07:59:21Z
285682,amate,und,"","",,Nahuatl,Ken-ichi Ueda,2013-05-16T07:59:21Z
120167,amate,und,"","",,Nahuatl,Ken-ichi Ueda,2013-05-16T07:59:21Z
158102,amol,und,"","",,Nahuatl,Ken-ichi Ueda,2013-05-16T07:59:24Z
283070,amolquelite,und,"","",,Nahuatl,Ken-ichi Ueda,2013-05-16T07:59:30Z
146587,apancholoa,und,"","",,Nahuatl,Ken-ichi Ueda,2013-05-16T07:59:42Z
53271,apoch,und,"","",,Nahuatl,James Bailey,2013-05-16T07:59:44Z
284200,Aquequexquic,und,"","",,Nahuatl,Ken-ichi Ueda,2013-05-16T07:59:44Z
209925,atenxalahuit,und,"","",,Nahuatl,Carlos Galindo-Leal,2013-05-16T08:00:09Z
