id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
340245,goarus,und,"","",,Nama,Botswanabugs,2020-01-13T06:25:59Z
41595,!Noreb,und,"","",,Nama,Bobby McCabe,2020-02-23T05:22:26Z
67688,=Hom-s,und,"","",,Nama,Dewald du Plessis,2020-03-14T13:47:50Z
52884,=Giri=giri-s,und,"","",,Nama,Dewald du Plessis,2020-03-14T13:50:25Z
152102,!Hopa-b,und,"","",,Nama,Dewald du Plessis,2020-04-07T11:35:12Z
152102,!Howa-b,und,"","",,Nama,Dewald du Plessis,2020-04-07T11:35:29Z
1,Xamanin,und,"","",,Nama,Dewald du Plessis,2020-04-09T18:04:06Z
121578,Bayip,und,"Northern Cape, ZA | Kgalagadi, BW | Namibia | Kgalagadi Transfrontier Park, NC, ZA",NA,,Nama,Dewald du Plessis,2020-04-14T17:51:55Z
41964,Games,und,"Kgalagadi, BW | Kgalagadi Transfrontier Park, NC, ZA | Namibia | Northern Cape, ZA",NA,,Nama,Dewald du Plessis,2020-04-14T17:53:41Z
42418,Namabies,und,"Kgalagadi, BW | Kgalagadi Transfrontier Park, NC, ZA | Namibia | Northern Cape, ZA",NA,,Nama,Dewald du Plessis,2020-04-14T17:54:43Z
595950,N!ha,und,"Kgalagadi Transfrontier Park, NC, ZA | Kgalagadi, BW | Namibia | Northern Cape, ZA",NA,,Nama,Dewald du Plessis,2020-04-14T18:12:09Z
340175,Arub,und,"Kgalagadi Transfrontier Park, NC, ZA | Kgalagadi, BW | Namibia | Northern Cape, ZA",NA,,Nama,Dewald du Plessis,2020-04-14T18:38:09Z
527007,Gnoi,und,"Kgalagadi Transfrontier Park, NC, ZA | Kgalagadi, BW | Namibia | Northern Cape, ZA",NA,,Nama,Dewald du Plessis,2020-04-14T19:03:19Z
527059,N!ou,und,"Kgalagadi Transfrontier Park, NC, ZA | Kgalagadi, BW | Namibia | Northern Cape, ZA",NA,,Nama,Dewald du Plessis,2020-04-14T19:16:16Z
70059,N!harrie,und,"Kgalagadi Transfrontier Park, NC, ZA | Kgalagadi, BW | Namibia | Northern Cape, ZA",NA,,Nama,Dewald du Plessis,2020-04-15T18:50:42Z
489647,"Gaap, Gab, Ghaap, Ghap, Ghibbetjie, Ghobba, Gnaap, Guaap, Ngaap",und,BioGaps Karoo | Succulent Karoo: Namaqualand Hardeveld Bioregion,"",,Nama,Dewald du Plessis,2020-04-15T19:28:46Z
578696,N!tka,und,"Kgalagadi Transfrontier Park, NC, ZA | Kgalagadi, BW | Namibia | Northern Cape, ZA",NA,,Nama,Dewald du Plessis,2020-04-15T19:49:22Z
356056,Kommaku,und,"Kgalagadi Transfrontier Park, NC, ZA | Kgalagadi, BW | Namibia | Northern Cape, ZA",NA,,Nama,Dewald du Plessis,2020-04-16T16:47:17Z
571051,N!gham,und,"Kgalagadi Transfrontier Park, NC, ZA | Kgalagadi, BW | Namibia | Northern Cape, ZA",NA,,Nama,Dewald du Plessis,2020-04-16T17:07:53Z
841204,N!ham,und,"Kgalagadi Transfrontier Park, NC, ZA | Kgalagadi, BW | Namibia | Northern Cape, ZA",NA,,Nama,Dewald du Plessis,2020-04-16T17:25:25Z
84992,!Nara,und,Namib Desert,"",,Nama,Dewald du Plessis,2020-04-16T17:26:13Z
637214,N'abba,und,"Kgalagadi Transfrontier Park, NC, ZA | Kgalagadi, BW | Namibia | Northern Cape, ZA",NA,,Nama,Dewald du Plessis,2020-04-16T17:59:03Z
637214,Ilhawas,und,"Kgalagadi Transfrontier Park, NC, ZA | Kgalagadi, BW | Namibia | Northern Cape, ZA",NA,,Nama,Dewald du Plessis,2020-04-16T17:59:44Z
42280,Kaop,und,"","",,Nama,Dewald du Plessis,2020-04-24T13:19:16Z
42280,Baas,und,"","",,Nama,Dewald du Plessis,2020-04-24T13:20:09Z
595946,Kanaap,und,"","",,Nama,Dewald du Plessis,2020-04-24T15:15:15Z
595946,Kannagauss,und,"Kgalagadi Transfrontier Park, NC, ZA","",,Nama,Dewald du Plessis,2020-04-25T10:45:56Z
948982,Garries,und,"Kgalagadi Transfrontier Park, NC, ZA","",,Nama,Dewald du Plessis,2020-04-25T10:47:23Z
51672,"=Khopa-b, =Khowa-b, =Kowa-b",und,"","",,Nama,Dewald du Plessis,2020-08-21T11:27:29Z
51673,"=Khopa-b, =Khowa-b, =Kowa-b",und,"","",,Nama,Dewald du Plessis,2020-08-21T11:30:29Z
680214,Oma-b,und,"","",,Nama,Dewald du Plessis,2020-08-21T12:03:51Z
696706,=Kowa-b,und,"","",,Nama,Dewald du Plessis,2020-08-21T12:09:38Z
527446,//garab,und,"","",,Nama,Mark,2020-11-18T10:23:28Z
186554,"Ghaap, !Khobab",und,"","",,Nama,Dewald du Plessis,2021-04-22T10:08:43Z
600896,Ghaap,und,"","",,Nama,Dewald du Plessis,2021-04-22T10:21:55Z
590814,"Gab, Ghaap, Ghap, Guaap, Ngaap",und,"","",,Nama,Dewald du Plessis,2021-04-22T19:55:16Z
54990,"Gab, Ghaap, Ghap, Guaap, Ngaap",und,"","",,Nama,Dewald du Plessis,2021-04-22T19:55:48Z
581872,Gha,und,"","",,Nama,Dewald du Plessis,2021-04-22T20:07:52Z
594811,Gha,und,"","",,Nama,Dewald du Plessis,2021-04-22T20:08:34Z
1210963,Girib,und,"","",,Nama,Dewald du Plessis,2021-04-22T20:09:17Z
26196,Goas,und,"","",,Nama,Dewald du Plessis,2021-04-22T20:09:46Z
340164,Gobab,und,"","",,Nama,Dewald du Plessis,2021-04-22T20:10:16Z
527590,"Dawe, Dawie",und,"","",,Nama,Dewald du Plessis,2021-04-28T18:56:26Z
427214,!gaeb,und,"","",,Nama,Botswanabugs,2021-07-25T10:54:04Z
418212,||Arube-b,und,"","",,Nama,Dewald du Plessis,2021-10-19T19:28:54Z
668025,||Arube-b,und,"","",,Nama,Dewald du Plessis,2021-10-19T19:50:18Z
489554,=Khâi-b,und,"","",,Nama,Dewald du Plessis,2021-10-19T20:12:12Z
338691,khores,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Nama,Ken-ichi Ueda,2021-10-21T20:19:29Z
579225,p/nkaou,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Nama,Ken-ichi Ueda,2021-10-21T20:19:29Z
579631,goresib,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Nama,Ken-ichi Ueda,2021-10-21T20:19:30Z
70065,t'namee,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Nama,Ken-ichi Ueda,2021-10-21T20:19:30Z
582119,T'noutsiama,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Nama,Ken-ichi Ueda,2021-10-21T20:19:30Z
532463,T'arda,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Nama,Ken-ichi Ueda,2021-10-21T20:19:31Z
583889,T'koenoebe,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Nama,Ken-ichi Ueda,2021-10-21T20:19:31Z
322077,!oci,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Nama,Ken-ichi Ueda,2021-10-21T20:19:31Z
322077,noyi,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Nama,Ken-ichi Ueda,2021-10-21T20:19:32Z
322077,xoyi,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Nama,Ken-ichi Ueda,2021-10-21T20:19:32Z
566811,natarra,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Nama,Ken-ichi Ueda,2021-10-21T20:19:32Z
566811,ngaa,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Nama,Ken-ichi Ueda,2021-10-21T20:19:33Z
566811,xgaa,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Nama,Ken-ichi Ueda,2021-10-21T20:19:33Z
599386,!nomas,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Nama,Ken-ichi Ueda,2021-10-21T20:19:33Z
1038393,t'gouboedanna,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Nama,Ken-ichi Ueda,2021-10-21T20:19:33Z
599498,t'koeibee,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Nama,Ken-ichi Ueda,2021-10-21T20:19:34Z
581640,t'aibie,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Nama,Ken-ichi Ueda,2021-10-21T20:19:34Z
528602,t'iena,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Nama,Ken-ichi Ueda,2021-10-21T20:19:34Z
418448,T'neitjie,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Nama,Ken-ichi Ueda,2021-10-21T20:19:35Z
591689,Noerap,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Nama,Ken-ichi Ueda,2021-10-21T20:19:35Z
584388,mbule,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Nama,Ken-ichi Ueda,2021-10-21T20:19:35Z
593868,T'narra,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Nama,Ken-ichi Ueda,2021-10-21T20:19:36Z
496955,ruvukutira,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Nama,Ken-ichi Ueda,2021-10-21T20:19:36Z
594856,T'arra-t'kooi,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Nama,Ken-ichi Ueda,2021-10-21T20:19:36Z
120264,t'kabadda,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Nama,Ken-ichi Ueda,2021-10-21T20:19:37Z
43125,!oas,und,"","",,Nama,Botswanabugs,2022-01-10T05:43:30Z
43156,|kharub,und,"","",,Nama,Botswanabugs,2022-01-10T05:51:14Z
43156,||Nobe! oab,und,"","",,Nama,Botswanabugs,2022-01-10T05:52:10Z
1306005,Gïb,und,"","",https://www.inaturalist.org/taxon_names/2899697/edit,Nama,,2022-02-28T01:14:37Z
133182,Gobab,und,"","",https://www.inaturalist.org/taxon_names/2522030/edit,Nama,,2022-03-05T04:35:01Z
340245,goaros,und,"","",,Nama,Botswanabugs,2022-06-02T08:54:26Z
