id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
47208,Chéłchaaʼ,und,"","",,Navaho,John E. Christensen,2017-11-30T21:49:54Z
355675,Bíígháán Dahólónígíí,und,"","",,Navaho,John E. Christensen,2017-12-06T09:34:11Z
49187,Neeshchʼííłchííʼ,und,"","",,Navaho,John E. Christensen,2017-12-17T11:13:36Z
51815,akʼah sisíʼí tsin,und,"","",,Navaho,John E. Christensen,2017-12-25T16:14:12Z
43791,Chaaʼ,und,"","",,Navaho,John E. Christensen,2017-12-26T20:05:44Z
47534,Táłtłʼááh Dahoołchʼíhí,und,"","",,Navaho,John E. Christensen,2018-01-04T10:40:45Z
48139,Naʼashjéʼii nahachaʼígíí,und,"","",,Navaho,John E. Christensen,2018-01-18T15:43:30Z
47185,Łeeyiʼ chʼosh bikágí ntłʼizí,und,"","",,Navaho,John E. Christensen,2018-02-05T07:44:25Z
568873,Dzaanééz,und,"","",,Navaho,John E. Christensen,2018-02-19T10:47:36Z
61356,Tsísʼnáłtsooí,und,"","",,Navaho,John E. Christensen,2018-03-14T10:05:36Z
7089,Naalʼeełítsoh bitsiiʼ halzhinígíí,und,"","",,Navaho,John E. Christensen,2018-05-10T16:23:12Z
41871,Gólízhii Danilínígíí,und,"","",,Navaho,John E. Christensen,2018-10-28T12:53:16Z
47927,Tániilʼáí,und,"","",,Navaho,John E. Christensen,2019-11-11T21:24:28Z
804319,Yeitso,und,"","",,Navaho,Dewald du Plessis,2020-03-23T13:23:25Z
