id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
340245,munganu,und,"","",,Ndau,Botswanabugs,2020-01-13T06:47:59Z
340245,mukwakwa,und,"","",,Ndau,Botswanabugs,2020-01-13T06:48:30Z
340245,mufuna,und,"","",,Ndau,Botswanabugs,2020-01-13T06:49:19Z
168423,Chikwenga,und,"","",,Ndau,Botswanabugs,2021-04-11T03:40:58Z
340255,Hubvu,und,"","",,Ndau,Botswanabugs,2021-07-28T05:16:14Z
340236,musikosa,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Ndau,Ken-ichi Ueda,2021-10-21T20:19:37Z
597721,muyembe,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Ndau,Ken-ichi Ueda,2021-10-21T20:19:37Z
340136,murungamunya,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Ndau,Ken-ichi Ueda,2021-10-21T20:19:38Z
132932,mukodokodo,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Ndau,Ken-ichi Ueda,2021-10-21T20:19:38Z
132932,mutsungunu,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Ndau,Ken-ichi Ueda,2021-10-21T20:19:38Z
190367,mutsawhari,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Ndau,Ken-ichi Ueda,2021-10-21T20:19:39Z
76746,dungurachirombo ndeb i bigicana,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Ndau,Ken-ichi Ueda,2021-10-21T20:19:39Z
582282,muhori,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Ndau,Ken-ichi Ueda,2021-10-21T20:19:39Z
598569,gununkira,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Ndau,Ken-ichi Ueda,2021-10-21T20:19:39Z
430901,musuguta,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Ndau,Ken-ichi Ueda,2021-10-21T20:19:40Z
430901,musukuta,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Ndau,Ken-ichi Ueda,2021-10-21T20:19:40Z
490221,muchekamani,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Ndau,Ken-ichi Ueda,2021-10-21T20:19:41Z
506952,Muzamo,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Ndau,Ken-ichi Ueda,2021-10-21T20:19:41Z
428367,barahorgwe,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Ndau,Ken-ichi Ueda,2021-10-21T20:19:41Z
428367,garahorgwe,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Ndau,Ken-ichi Ueda,2021-10-21T20:19:41Z
428367,gurahunwa,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Ndau,Ken-ichi Ueda,2021-10-21T20:19:42Z
585956,mutsamvo,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Ndau,Ken-ichi Ueda,2021-10-21T20:19:42Z
507292,mubharauta,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Ndau,Ken-ichi Ueda,2021-10-21T20:19:42Z
507292,mupara,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Ndau,Ken-ichi Ueda,2021-10-21T20:19:43Z
133182,muchowana/i,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Ndau,Ken-ichi Ueda,2021-10-21T20:19:43Z
133182,mukowane,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Ndau,Ken-ichi Ueda,2021-10-21T20:19:43Z
428461,chisurudza,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Ndau,Ken-ichi Ueda,2021-10-21T20:19:44Z
81491,muvumati,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Ndau,Ken-ichi Ueda,2021-10-21T20:19:44Z
340128,mpumbura,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Ndau,Ken-ichi Ueda,2021-10-21T20:19:44Z
133587,mudovatova,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Ndau,Ken-ichi Ueda,2021-10-21T20:19:45Z
133587,ndwatwa,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Ndau,Ken-ichi Ueda,2021-10-21T20:19:45Z
578244,mutomo,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Ndau,Ken-ichi Ueda,2021-10-21T20:19:45Z
593077,chidzamahosi,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Ndau,Ken-ichi Ueda,2021-10-21T20:19:46Z
593077,chingamahosi,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Ndau,Ken-ichi Ueda,2021-10-21T20:19:46Z
79141,muTsungutsungu,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Ndau,Ken-ichi Ueda,2021-10-21T20:19:47Z
340253,mutivoti,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Ndau,Ken-ichi Ueda,2021-10-21T20:19:47Z
340253,mutomboti,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Ndau,Ken-ichi Ueda,2021-10-21T20:19:47Z
340253,ubande,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Ndau,Ken-ichi Ueda,2021-10-21T20:19:48Z
336810,mususu,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Ndau,Ken-ichi Ueda,2021-10-21T20:19:48Z
186663,munhodi,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Ndau,Ken-ichi Ueda,2021-10-21T20:19:48Z
362174,mulungwana,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Ndau,Ken-ichi Ueda,2021-10-21T20:19:49Z
43694,nzou,und,"","",,Ndau,Botswanabugs,2021-11-27T09:10:47Z
42149,mvuu,und,"","",,Ndau,Botswanabugs,2021-11-27T09:13:20Z
42157,furiramudenga,und,"","",,Ndau,Botswanabugs,2021-11-27T09:14:54Z
986414,Mudohwera,und,"","",,Ndau,Botswanabugs,2022-02-03T16:10:38Z
45929,chimanjengwe,und,"","",,Ndau,Botswanabugs,2022-03-10T10:13:59Z
721186,Dendyemutendye,und,"","",,Ndau,Botswanabugs,2022-03-28T04:40:47Z
340245,muganu,und,"","",,Ndau,Botswanabugs,2022-06-02T08:53:01Z
340245,muchangua,und,"","",,Ndau,Botswanabugs,2022-06-02T08:53:34Z
30851,bururu,und,"","",,Ndau,Botswanabugs,2022-06-02T10:16:34Z
