id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
340245,omugongo,und,"","",,Ndonga,Botswanabugs,2020-01-13T06:54:33Z
168841,okatundangu,und,"","",,Ndonga,Botswanabugs,2021-06-12T03:28:28Z
546325,mupanda,und,"","",,Ndonga,Botswanabugs,2021-06-12T03:30:50Z
579631,endombo,und,"","",,Ndonga,Botswanabugs,2021-06-12T03:36:16Z
340243,uguva,und,"","",,Ndonga,Botswanabugs,2021-06-12T03:39:02Z
469308,omudime,und,"","",,Ndonga,Botswanabugs,2021-06-12T03:40:36Z
343032,umukonati,und,"","",,Ndonga,Botswanabugs,2021-06-12T03:42:27Z
468544,okadimeti,und,"","",,Ndonga,Botswanabugs,2021-06-12T03:47:32Z
70065,munkudi,und,"","",,Ndonga,Botswanabugs,2021-06-12T03:49:02Z
340408,omukuku,und,"","",,Ndonga,Botswanabugs,2021-06-12T03:51:43Z
567350,elangelamwali,und,"","",,Ndonga,Botswanabugs,2021-06-12T03:52:46Z
83832,ompheke,und,"","",,Ndonga,Botswanabugs,2021-06-12T03:55:21Z
340164,omukwiyu,und,"","",,Ndonga,Botswanabugs,2021-06-12T03:57:46Z
340324,oshimbu,und,"","",,Ndonga,Botswanabugs,2021-06-12T03:58:57Z
589667,ondhingulula,und,"","",,Ndonga,Botswanabugs,2021-06-12T04:05:54Z
161469,onziku,und,"","",,Ndonga,Botswanabugs,2021-06-12T04:07:36Z
580671,okawekamuthithi,und,"","",,Ndonga,Botswanabugs,2021-06-12T04:09:39Z
567017,shanyu,und,"","",,Ndonga,Botswanabugs,2021-06-12T04:11:18Z
56739,olumono,und,"","",,Ndonga,Botswanabugs,2021-06-12T04:13:37Z
356056,ekakata,und,"","",,Ndonga,Botswanabugs,2021-06-12T04:16:16Z
338767,ekakata,und,"","",,Ndonga,Botswanabugs,2021-06-12T04:17:36Z
340214,omwandi,und,"","",,Ndonga,Botswanabugs,2021-06-12T04:19:37Z
427989,omulyambambi,und,"","",,Ndonga,Botswanabugs,2021-06-12T04:22:40Z
340166,ompeke,und,"","",,Ndonga,Botswanabugs,2021-06-12T04:24:21Z
595602,okalilfa,und,"","",,Ndonga,Botswanabugs,2021-06-12T04:25:43Z
340228,mukekete,und,"","",,Ndonga,Botswanabugs,2021-06-12T04:27:39Z
468576,mupako,und,"","",,Ndonga,Botswanabugs,2021-06-12T04:40:28Z
567417,mukoro,und,"","",,Ndonga,Botswanabugs,2021-06-12T04:42:00Z
280789,muyimbo,und,"","",,Ndonga,Botswanabugs,2021-06-12T04:44:49Z
1245066,ruputwi,und,"","",,Ndonga,Botswanabugs,2021-06-12T04:47:57Z
507107,okalupulupu,und,"","",,Ndonga,Botswanabugs,2021-06-12T04:49:10Z
141177,ompilu,und,"","",,Ndonga,Botswanabugs,2021-06-12T04:50:39Z
588308,omutingulula,und,"","",,Ndonga,Botswanabugs,2021-06-12T04:51:57Z
340253,omuhongo,und,"","",,Ndonga,Botswanabugs,2021-06-12T04:55:20Z
138688,omupalala,und,"","",,Ndonga,Botswanabugs,2021-06-12T04:57:01Z
336810,umugolo,und,"","",,Ndonga,Botswanabugs,2021-06-12T04:58:41Z
587075,omutiwoheva,und,"","",,Ndonga,Botswanabugs,2021-06-12T05:00:54Z
587074,murora,und,"","",,Ndonga,Botswanabugs,2021-06-12T05:02:03Z
583075,ongonyo,und,"","",,Ndonga,Botswanabugs,2021-06-12T05:03:56Z
347252,eriko,und,"","",,Ndonga,Botswanabugs,2021-06-12T05:05:55Z
55854,runkwanana,und,"","",,Ndonga,Botswanabugs,2021-06-12T05:08:50Z
495847,oshilalanamawadi,und,"","",,Ndonga,Botswanabugs,2021-06-12T05:10:44Z
426116,mububu,und,"","",,Ndonga,Botswanabugs,2021-06-12T05:11:55Z
83832,kakukuru,und,"","",,Ndonga,Botswanabugs,2021-06-12T05:14:47Z
527007,okadilanghono,und,"","",,Ndonga,Botswanabugs,2021-06-12T05:16:51Z
593974,omudhiku,und,"","",,Ndonga,Botswanabugs,2021-06-12T05:19:20Z
428749,omusati,und,"","",,Ndonga,Botswanabugs,2021-06-12T05:20:37Z
527004,ngandu,und,"","",,Ndonga,Botswanabugs,2021-06-12T05:22:25Z
