id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
31460,Hiu cheparo,und,"","",The Reptile Database (2011). Downloaded from http://www.reptile-database.org on 31/07/2011,Nepali,,2011-08-19T02:27:14Z
74831,हिउँ चितुवा,und,"","",,Nepali,Bobby McCabe,2017-10-13T01:07:56Z
47731,जुनकिरी,und,"","",,Nepali,abeen,2017-10-28T18:32:50Z
135557,ठिँगुरे सल्लो,und,"","",,Nepali,Bobby McCabe,2017-11-01T13:49:00Z
209325,खरेटेf,und,"","",,Nepali,James Ojascastro,2017-11-30T05:51:25Z
602697,ग्यागेनगागा,und,"","",,Nepali,James Ojascastro,2017-11-30T05:51:59Z
603037,डुक,und,"","",,Nepali,James Ojascastro,2017-12-10T09:42:12Z
3,चरा,und,"","",,Nepali,John E. Christensen,2017-12-22T21:58:45Z
204454,नेपाली,und,"","",,Nepali,John E. Christensen,2018-02-18T16:36:34Z
370159,Kode jhar,und,"","",,Nepali,James Ojascastro,2018-02-27T05:49:16Z
548796,भाले सुनपाति,und,"","",,Nepali,James Ojascastro,2018-02-28T19:34:55Z
601903,सुनपाति,und,"","",,Nepali,James Ojascastro,2018-02-28T19:36:13Z
400975,पुmलपात,und,"","",,Nepali,James Ojascastro,2018-03-01T02:43:59Z
48867,खजुर,und,"","",,Nepali,John E. Christensen,2018-03-18T14:43:36Z
82096,कनकचम्पा,und,"","",,Nepali,John E. Christensen,2018-06-30T18:32:43Z
243937,Argeli,und,"","",,Nepali,James Ojascastro,2018-12-13T17:34:46Z
824850,भैसे लहरेf,und,"","",,Nepali,James Ojascastro,2019-01-20T12:51:16Z
824850,Bhainse laharo,und,"","",,Nepali,James Ojascastro,2019-01-20T12:51:58Z
411078,Kagate,und,Nepal | India,"NP,IN",,Nepali,James Ojascastro,2019-01-26T22:39:11Z
40151,स्तनधारी प्राणी,und,"","",,Nepali,John E. Christensen,2019-02-07T16:19:45Z
82814,कमल,und,"","",,Nepali,John E. Christensen,2019-05-05T10:46:12Z
707256,baruwa,und,"","",,Nepali,James Ojascastro,2019-06-25T19:19:15Z
707256,kagatpate,und,"","",,Nepali,James Ojascastro,2019-06-25T19:19:54Z
160294,ब्रह्मबुटि,und,"","",,Nepali,harshithjv,2019-07-14T11:08:38Z
160294,घोड टाप्रे,und,"","",,Nepali,harshithjv,2019-07-14T11:08:51Z
487659,चियापाते,und,"","",,Nepali,James Ojascastro,2019-08-16T16:32:21Z
487659,हिङगुवा,und,"","",,Nepali,James Ojascastro,2019-08-16T16:33:20Z
