id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
68492,dudu,und,"","",,Ngoni,Botswanabugs,2021-03-23T12:31:05Z
340236,mongaroma,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Ngoni,Ken-ichi Ueda,2021-10-21T20:21:00Z
340175,mpingu,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Ngoni,Ken-ichi Ueda,2021-10-21T20:21:00Z
340136,isambalabwabwa,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Ngoni,Ken-ichi Ueda,2021-10-21T20:21:01Z
340136,sambasi,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Ngoni,Ken-ichi Ueda,2021-10-21T20:21:01Z
367465,ibadi,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Ngoni,Ken-ichi Ueda,2021-10-21T20:21:01Z
367465,ibadui,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Ngoni,Ken-ichi Ueda,2021-10-21T20:21:02Z
367465,incwadi,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Ngoni,Ken-ichi Ueda,2021-10-21T20:21:02Z
367465,inkwadi,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Ngoni,Ken-ichi Ueda,2021-10-21T20:21:02Z
132932,umfugusi,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Ngoni,Ken-ichi Ueda,2021-10-21T20:21:03Z
581503,ibucu,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Ngoni,Ken-ichi Ueda,2021-10-21T20:21:03Z
430901,umquaquani,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Ngoni,Ken-ichi Ueda,2021-10-21T20:21:03Z
490221,umquixina,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Ngoni,Ken-ichi Ueda,2021-10-21T20:21:03Z
583418,rathathe,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Ngoni,Ken-ichi Ueda,2021-10-21T20:21:04Z
583845,inchoolo,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Ngoni,Ken-ichi Ueda,2021-10-21T20:21:04Z
