id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
211194,Karplanter,und,"","",,Norsk,John E. Christensen,2017-12-24T13:19:07Z
47599,Asparges,und,"","",,Norsk,John E. Christensen,2018-01-09T12:25:32Z
68770,Grisetang,und,"","",,Norsk,Wouter Koch,2018-05-23T13:27:03Z
5200,Fjellvåk,und,"","",,Norsk,Wouter Koch,2018-05-24T20:57:38Z
201402,Nelliklundmåler,und,"","",,Norsk,Wouter Koch,2018-06-18T16:26:21Z
130185,Hvit båndmåler,und,"","",,Norsk,Wouter Koch,2018-06-18T16:27:30Z
5309,havørn,und,Norway,NO,,Norsk,Wouter Koch,2018-07-19T12:17:09Z
69838,brennmanet,und,"","",,Norsk,Magne Flåten,2018-09-17T15:09:19Z
58725,Einer,und,"","",,Norsk,Thomas Hirsch,2018-10-20T13:37:01Z
47336,Maur,und,"","",,Norsk,John E. Christensen,2018-11-01T16:23:47Z
163812,tindved,und,"","",,Norsk,Wouter Koch,2018-11-29T22:25:37Z
324872,Polarkarse,und,"","",,Norsk,Kai-Philipp Schablewski,2019-06-15T20:08:06Z
39793,Guløreterrapin,und,"","",,Norsk,Magne Flåten,2019-08-04T20:06:22Z
51271,Rødøreterrapin,und,"","",,Norsk,Magne Flåten,2019-08-04T20:14:11Z
