id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
47549,Puurthidjeten,und,"","",,Northern Frisian,John E. Christensen,2017-12-02T21:32:02Z
355675,Wäärlisdiarten,und,"","",,Northern Frisian,John E. Christensen,2017-12-06T09:28:02Z
11901,Hüsswaalk,und,"","",,Northern Frisian,John E. Christensen,2017-12-22T13:37:55Z
47132,Ruusenplaanten,und,"","",,Northern Frisian,John E. Christensen,2017-12-23T15:05:32Z
55884,Hünjruus,und,"","",,Northern Frisian,John E. Christensen,2018-10-18T13:43:22Z
47336,Miiren,und,"","",,Northern Frisian,John E. Christensen,2018-11-01T16:30:10Z
144128,Düüsenbianer,und,"","",,Northern Frisian,John E. Christensen,2018-12-08T16:36:25Z
40151,Tetjdiarten,und,"","",,Northern Frisian,John E. Christensen,2019-02-07T18:22:23Z
54704,Türewmöösk,und,"","",,Northern Frisian,John E. Christensen,2019-09-26T10:54:26Z
43011,Iigler,und,"","",,Northern Frisian,John E. Christensen,2019-10-19T15:26:41Z
47822,Twiijügeten,und,"","",,Northern Frisian,John E. Christensen,2019-12-08T12:55:18Z
41970,Jaguar,und,"","",,Northern Frisian,Zane Roskoph,2021-07-30T12:00:15Z
50873,Witj Hei,und,"","",,Northern Frisian,Zane Roskoph,2021-07-30T13:52:35Z
52188,Waalhei,und,"","",,Northern Frisian,Zane Roskoph,2021-08-03T13:54:52Z
331121,Echt Limet,und,"","",,Northern Frisian,Zane Roskoph,2021-08-10T12:18:35Z
123356,Sitronaatsitroon,und,"","",,Northern Frisian,Zane Roskoph,2021-08-10T12:38:44Z
3802,Jan faan Gent,und,"","",,Northern Frisian,Zane Roskoph,2021-08-11T15:42:04Z
41955,Gepard,und,"","",,Northern Frisian,Zane Roskoph,2021-08-13T12:00:03Z
41964,Lööw,und,"","",,Northern Frisian,Zane Roskoph,2021-08-24T12:20:37Z
74831,Snäleopard,und,"","",,Northern Frisian,Zane Roskoph,2021-08-25T11:39:48Z
42407,Wiisent,und,"","",,Northern Frisian,Zane Roskoph,2021-08-25T12:58:18Z
42052,Ruad wulew,und,"","",,Northern Frisian,Zane Roskoph,2021-08-25T15:29:44Z
41967,Tiiger,und,"","",,Northern Frisian,Zane Roskoph,2021-08-26T15:13:50Z
