id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
48582,Skábit,und,"","",,Northern Sami,John E. Christensen,2017-12-18T06:36:09Z
55750,Niitobiellorássi,und,"","",,Northern Sami,John E. Christensen,2018-05-10T16:43:11Z
51935,Čurolastašattut,und,"","",,Northern Sami,John E. Christensen,2018-07-22T11:40:52Z
233598,Njálla,und,"","",,Northern Sami,John E. Christensen,2019-10-06T20:17:12Z
56312,jokŋa,und,"","",,Northern Sami,xinxane,2019-12-15T04:20:25Z
134125,beatnatdaŋas,und,"","",,Northern Sami,xinxane,2019-12-15T04:22:11Z
134125,gáranasrássi,und,"","",,Northern Sami,xinxane,2019-12-15T04:22:54Z
58722,beahci,und,"","",,Northern Sami,xinxane,2019-12-15T04:29:23Z
516757,guohcarássi,und,"","",,Northern Sami,xinxane,2019-12-15T04:31:33Z
85429,alitrássi,und,"","",,Northern Sami,xinxane,2019-12-15T04:33:26Z
564969,horbmá,und,"","",,Northern Sami,xinxane,2019-12-15T04:35:51Z
56063,skáhpi,und,"","",,Northern Sami,xinxane,2019-12-15T04:38:37Z
764793,Hoaššat,und,"","",,Northern Sami,John E. Christensen,2020-05-11T12:34:25Z
119450,Daŋasšattut,und,"","",,Northern Sami,John E. Christensen,2021-02-26T15:19:03Z
10421,Skotlánddabáhcatloddi,und,"","",,Northern Sami,Zane Roskoph,2021-08-06T15:26:13Z
4555,Ábirievssat,und,"","",,Northern Sami,Zane Roskoph,2021-08-11T12:16:02Z
41644,jiekŋaguovža,und,"","",,Northern Sami,Zane Roskoph,2021-08-11T17:00:54Z
41553,alitbossu,und,"","",,Northern Sami,Zane Roskoph,2021-08-15T15:20:23Z
41461,Vilgesguolli,und,"","",,Northern Sami,Zane Roskoph,2021-08-15T20:14:35Z
153003,Luomi,und,"","",,Northern Sami,Zane Roskoph,2021-08-18T16:14:27Z
153003,Láttat,und,"","",,Northern Sami,Zane Roskoph,2021-08-18T16:14:45Z
41964,Ledjon,und,"","",,Northern Sami,Zane Roskoph,2021-08-24T15:13:22Z
