id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
600543,monoko,und,"","",,Northern Sotho,Botswanabugs,2019-09-29T19:56:38Z
118903,mohlwa,und,"","",,Northern Sotho,Botswanabugs,2019-10-22T16:27:08Z
505478,Kgogo,und,"","",,Northern Sotho,John E. Christensen,2019-12-22T07:13:27Z
340245,nganu,und,"","",,Northern Sotho,Botswanabugs,2020-01-13T07:00:43Z
340245,murula,und,"","",,Northern Sotho,Botswanabugs,2020-01-13T07:01:22Z
340245,morula,und,"","",,Northern Sotho,Botswanabugs,2020-01-13T07:02:10Z
527007,mongangatau,und,"","",,Northern Sotho,Botswanabugs,2020-03-14T18:37:20Z
119673,mmale,und,"","",,Northern Sotho,Botswanabugs,2020-08-07T09:53:07Z
30405,Mokôpa,und,"","",,Northern Sotho,Andrew Durso,2020-08-28T15:54:32Z
111451,lejapela,und,"","",,Northern Sotho,Botswanabugs,2021-02-15T13:26:23Z
41955,Lepogo,und,"","",,Northern Sotho,Zane Roskoph,2021-08-13T12:18:50Z
41964,Tau,und,"","",,Northern Sotho,Zane Roskoph,2021-08-24T15:07:07Z
