id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
334379,mlangale,und,"","",,Nyamwezi,Botswanabugs,2021-08-11T13:21:19Z
122098,kachenche,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Nyamwezi,Ken-ichi Ueda,2021-10-21T20:21:08Z
340236,kola,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Nyamwezi,Ken-ichi Ueda,2021-10-21T20:21:09Z
340236,mhora,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Nyamwezi,Ken-ichi Ueda,2021-10-21T20:21:09Z
340236,mkola,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Nyamwezi,Ken-ichi Ueda,2021-10-21T20:21:09Z
340236,mkora,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Nyamwezi,Ken-ichi Ueda,2021-10-21T20:21:10Z
340175,ngata,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Nyamwezi,Ken-ichi Ueda,2021-10-21T20:21:10Z
340136,msekera,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Nyamwezi,Ken-ichi Ueda,2021-10-21T20:21:10Z
340136,msekerya,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Nyamwezi,Ken-ichi Ueda,2021-10-21T20:21:11Z
184447,mwelewele,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Nyamwezi,Ken-ichi Ueda,2021-10-21T20:21:11Z
340336,mkuni,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Nyamwezi,Ken-ichi Ueda,2021-10-21T20:21:11Z
583078,mgagana,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Nyamwezi,Ken-ichi Ueda,2021-10-21T20:21:12Z
583078,mgeigei,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Nyamwezi,Ken-ichi Ueda,2021-10-21T20:21:12Z
583078,mgeigel,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Nyamwezi,Ken-ichi Ueda,2021-10-21T20:21:12Z
583078,mkuambe,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Nyamwezi,Ken-ichi Ueda,2021-10-21T20:21:13Z
340173,kanala,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Nyamwezi,Ken-ichi Ueda,2021-10-21T20:21:13Z
340173,kanula,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Nyamwezi,Ken-ichi Ueda,2021-10-21T20:21:13Z
340173,kanulu,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Nyamwezi,Ken-ichi Ueda,2021-10-21T20:21:14Z
466979,kilindila-mgunda,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Nyamwezi,Ken-ichi Ueda,2021-10-21T20:21:14Z
466979,kilindilangunda,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Nyamwezi,Ken-ichi Ueda,2021-10-21T20:21:14Z
588682,mliwakwengi,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Nyamwezi,Ken-ichi Ueda,2021-10-21T20:21:15Z
47445,kapele,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Nyamwezi,Ken-ichi Ueda,2021-10-21T20:21:15Z
47445,kapeli,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Nyamwezi,Ken-ichi Ueda,2021-10-21T20:21:15Z
426476,lingoe,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Nyamwezi,Ken-ichi Ueda,2021-10-21T20:21:15Z
340246,mng'ongo,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Nyamwezi,Ken-ichi Ueda,2021-10-21T20:21:16Z
336810,msima,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Nyamwezi,Ken-ichi Ueda,2021-10-21T20:21:16Z
336810,mzima,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Nyamwezi,Ken-ichi Ueda,2021-10-21T20:21:16Z
182191,kuvia,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Nyamwezi,Ken-ichi Ueda,2021-10-21T20:21:17Z
81500,mpele,und,"","",,Nyamwezi,Botswanabugs,2021-11-11T17:22:52Z
340245,mng’ong’o,und,"","",,Nyamwezi,Botswanabugs,2022-06-02T09:39:12Z
