id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
47115,Blautdyr,und,"","",,Nynorsk,John E. Christensen,2017-12-02T11:12:44Z
5438,Hornfuglar,und,"","",,Nynorsk,John E. Christensen,2018-02-01T11:16:10Z
47582,Østers,und,"","",,Nynorsk,John E. Christensen,2018-02-12T08:17:30Z
50321,Erteknappslekta,und,"","",,Nynorsk,John E. Christensen,2018-05-16T08:29:28Z
569428,Snømus,und,"","",,Nynorsk,John E. Christensen,2018-07-05T06:49:06Z
47892,Kjempespringfrø,und,"","",,Nynorsk,John E. Christensen,2018-07-15T12:50:31Z
6930,Stokkand,und,"","",,Nynorsk,John E. Christensen,2018-12-14T15:09:45Z
21359,Padder,und,"","",,Nynorsk,John E. Christensen,2018-12-21T09:42:53Z
40151,Pattedyr,und,"","",,Nynorsk,John E. Christensen,2019-02-07T16:16:50Z
1199,Påfugl,und,"","",,Nynorsk,John E. Christensen,2019-04-13T07:53:35Z
950603,kvitsymre,und,"","",https://www.inaturalist.org/taxon_names/1248902/edit,Nynorsk,cassi saari,2019-10-03T09:44:28Z
505478,Høns,und,"","",,Nynorsk,John E. Christensen,2019-12-22T07:09:56Z
49131,Minneblomslekta,und,"","",,Nynorsk,"CatQuest, the Endeavouring Cat",2020-08-22T14:36:59Z
99786,Elektrisk ål,und,"","",,Nynorsk,Zane Roskoph,2021-07-29T03:13:56Z
47516,Regnbogeaure,und,"","",,Nynorsk,Zane Roskoph,2021-07-29T23:25:14Z
41970,Jaguar,und,"","",,Nynorsk,Zane Roskoph,2021-07-30T12:13:19Z
41972,Treleopard,und,"","",,Nynorsk,Zane Roskoph,2021-07-30T12:58:56Z
50873,Kvithai,und,"","",,Nynorsk,Zane Roskoph,2021-07-30T14:03:14Z
42007,Puma,und,"","",,Nynorsk,Zane Roskoph,2021-08-01T01:46:33Z
14038,Afghanfjellsporv,und,"","",,Nynorsk,Zane Roskoph,2021-08-02T12:59:29Z
14301,Blåryggmanakin,und,"","",,Nynorsk,Zane Roskoph,2021-08-02T23:06:22Z
52188,kvalhai,und,"","",,Nynorsk,Zane Roskoph,2021-08-03T14:23:19Z
112841,Håkjerring,und,"","",,Nynorsk,Zane Roskoph,2021-08-03T15:32:15Z
182991,Søl,und,"","",,Nynorsk,Zane Roskoph,2021-08-05T17:58:13Z
207576,Finnmarkssvineblom,und,"","",,Nynorsk,Zane Roskoph,2021-08-06T15:09:42Z
887383,fjellmarkmus,und,"","",,Nynorsk,Zane Roskoph,2021-08-10T11:48:12Z
123356,Sukatsitron,und,"","",,Nynorsk,Zane Roskoph,2021-08-10T12:45:20Z
765432,Yuzu,und,"","",,Nynorsk,Zane Roskoph,2021-08-10T13:15:04Z
117182,Naurusongar,und,"","",,Nynorsk,Zane Roskoph,2021-08-10T15:54:05Z
3451,Galapagosdue,und,"","",,Nynorsk,Zane Roskoph,2021-08-11T11:48:49Z
144516,Lavamåse,und,"","",,Nynorsk,Zane Roskoph,2021-08-11T12:00:35Z
4555,Ismåse,und,"","",,Nynorsk,Zane Roskoph,2021-08-11T12:06:04Z
367474,Galapagosrikse,und,"","",,Nynorsk,Zane Roskoph,2021-08-11T15:11:17Z
3802,Havsule,und,"","",,Nynorsk,Zane Roskoph,2021-08-11T15:46:57Z
41644,isbjørn,und,"","",,Nynorsk,Zane Roskoph,2021-08-11T16:57:10Z
127711,sargassoulke,und,"","",,Nynorsk,Zane Roskoph,2021-08-11T23:48:36Z
54699,Manuka,und,"","",,Nynorsk,Zane Roskoph,2021-08-12T12:56:33Z
18941,Kea,und,"","",,Nynorsk,Zane Roskoph,2021-08-12T14:34:15Z
41955,gepard,und,"","",,Nynorsk,Zane Roskoph,2021-08-13T12:18:20Z
41955,Geopard,und,"","",,Nynorsk,Zane Roskoph,2021-08-13T12:18:33Z
112581,Europeisk malle,und,"","",,Nynorsk,Zane Roskoph,2021-08-14T18:21:12Z
41553,blåkval,und,"","",,Nynorsk,Zane Roskoph,2021-08-15T15:13:09Z
41570,nordkaper,und,"","",,Nynorsk,Zane Roskoph,2021-08-15T17:23:38Z
41461,Kvitkval,und,"","",,Nynorsk,Zane Roskoph,2021-08-15T19:51:55Z
70057,asiatisk askepraktbille,und,"","",,Nynorsk,Zane Roskoph,2021-08-17T23:48:24Z
367871,Svalbardrein,und,"","",,Nynorsk,Zane Roskoph,2021-08-18T16:01:06Z
153003,molte,und,"","",,Nynorsk,Zane Roskoph,2021-08-18T16:16:48Z
41964,Løve,und,"","",,Nynorsk,Zane Roskoph,2021-08-24T12:33:17Z
74831,Snøleopard,und,"","",,Nynorsk,Zane Roskoph,2021-08-25T11:55:36Z
42407,Visent,und,"","",,Nynorsk,Zane Roskoph,2021-08-25T13:55:36Z
42407,Europeisk bison,und,"","",,Nynorsk,Zane Roskoph,2021-08-25T13:55:55Z
41967,tiger,und,"","",,Nynorsk,Zane Roskoph,2021-08-26T16:24:39Z
130799,javatiger,und,"","",,Nynorsk,Zane Roskoph,2021-08-27T11:43:28Z
130793,bengaltiger,und,"","",,Nynorsk,Zane Roskoph,2021-08-27T12:34:38Z
27677,Olm,und,"","",,Nynorsk,Zane Roskoph,2021-08-27T15:15:56Z
