id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
47115,Mollusca,oc,"","",,Occitan,John E. Christensen,2017-12-02T11:14:01Z
3,Aucèls,oc,"","",,Occitan,John E. Christensen,2017-12-18T15:54:39Z
42357,Boquetin,oc,"","",,Occitan,John E. Christensen,2017-12-23T17:30:23Z
211194,Tracheobionta,oc,"","",,Occitan,John E. Christensen,2017-12-24T13:20:48Z
56739,Ricin,oc,"","",,Occitan,John E. Christensen,2017-12-27T15:35:57Z
311249,Mofa,oc,"","",,Occitan,John E. Christensen,2018-01-01T10:06:11Z
343021,Naduèlh,oc,"","",,Occitan,John E. Christensen,2018-01-02T11:23:55Z
204472,Tartana,oc,"","",,Occitan,John E. Christensen,2018-01-17T15:46:53Z
6888,Anseriformes,oc,"","",,Occitan,John E. Christensen,2018-01-25T15:52:20Z
47582,Ustra,oc,"","",,Occitan,John E. Christensen,2018-02-12T09:56:53Z
52761,Trescalan,oc,"","",,Occitan,John E. Christensen,2018-03-25T06:45:42Z
59254,Ceboleta,oc,"","",,Occitan,John E. Christensen,2018-04-04T07:13:25Z
50321,Gèissa,oc,"","",,Occitan,John E. Christensen,2018-05-16T08:27:38Z
569428,Mostèla,oc,"","",,Occitan,John E. Christensen,2018-07-05T06:48:38Z
49315,Pofre,oc,"","",,Occitan,Bobby McCabe,2018-09-26T16:06:11Z
41964,Leon,oc,"","",,Occitan,Bobby McCabe,2018-10-22T04:13:01Z
41970,Jaguar,oc,"","",,Occitan,Bobby McCabe,2018-10-22T04:33:24Z
41963,Leopard,oc,"","",,Occitan,Bobby McCabe,2018-10-22T04:58:18Z
41967,Tigre,oc,"","",,Occitan,Bobby McCabe,2018-10-22T05:15:34Z
74831,Onça,oc,"","",,Occitan,Bobby McCabe,2018-10-22T05:17:03Z
74831,Pantèra de las nèus,oc,"","",,Occitan,Bobby McCabe,2018-10-22T05:17:21Z
41955,Guepard,oc,"","",,Occitan,Bobby McCabe,2018-10-22T13:13:14Z
42007,Puma,oc,"","",,Occitan,Bobby McCabe,2018-10-22T13:41:53Z
41641,Ors brun,oc,"","",,Occitan,Bobby McCabe,2018-10-22T22:47:24Z
41659,Panda gigant,oc,"","",,Occitan,Bobby McCabe,2018-10-23T00:44:07Z
41644,Ors blanc,oc,"","",,Occitan,Bobby McCabe,2018-10-23T21:45:53Z
41638,Ors negre d'America,oc,"","",,Occitan,Bobby McCabe,2018-10-24T13:25:45Z
41638,Baribal,oc,"","",,Occitan,Bobby McCabe,2018-10-24T13:26:01Z
43697,Elefant asiatic,oc,"","",,Occitan,Bobby McCabe,2018-10-26T20:58:43Z
43692,Elefants,oc,"","",,Occitan,Bobby McCabe,2018-11-01T19:18:44Z
43694,Elefant de savana d'Africa,oc,"","",,Occitan,Bobby McCabe,2018-11-10T23:02:22Z
43694,Elefant de savana,oc,"","",,Occitan,Bobby McCabe,2018-11-10T23:02:36Z
569099,Leon des Baumes,oc,"","",,Occitan,Bobby McCabe,2018-11-14T03:05:35Z
357910,Elefant del bòsc d'Africa,oc,"","",,Occitan,Bobby McCabe,2018-11-22T17:41:24Z
43348,Rinocèros blanc,oc,"","",,Occitan,Bobby McCabe,2018-11-26T13:41:34Z
371057,Tarenta,oc,"","",,Occitan,John E. Christensen,2018-12-10T16:33:42Z
57983,Virasolelh,oc,"","",,Occitan,John E. Christensen,2018-12-23T15:25:45Z
848319,Marsupials,oc,"","",,Occitan,Bobby McCabe,2019-01-18T21:36:15Z
81542,Dromadari,oc,"","",,Occitan,Bobby McCabe,2019-04-11T14:45:47Z
74113,Vaca,oc,"","",,Occitan,Bobby McCabe,2019-05-07T14:40:59Z
74113,Vacha,oc,"","",,Occitan,Bobby McCabe,2019-05-07T14:41:19Z
51822,Eufòrbia,oc,"","",,Occitan,John E. Christensen,2019-08-31T15:12:18Z
52818,Milafuèlhas,oc,"","",,Occitan,John E. Christensen,2019-09-01T13:21:29Z
54196,Ciclids,oc,"","",https://eol.org/pages/5344,Occitan,,2019-11-22T01:15:16Z
57470,Cefalantera de las longas fuelhas,oc,"","",,Occitan,Johan Devos,2020-12-21T14:01:13Z
57470,Cefalantera espiada,oc,"","",,Occitan,Johan Devos,2020-12-21T14:01:39Z
63848,Cefalantera blancha,oc,"","",,Occitan,Johan Devos,2020-12-21T14:03:56Z
1264430,Mostèla colombiana,oc,"","",https://www.inaturalist.org/taxon_names/1409957/edit,Occitan,Bobby McCabe,2021-07-20T16:21:54Z
50873,Granda làmia blanca,oc,"","",,Occitan,Zane Roskoph,2021-07-30T14:04:22Z
52188,Làmia balena,oc,"","",,Occitan,Zane Roskoph,2021-08-03T14:05:08Z
144516,Gabian sorn,oc,"","",https://eol.org/pages/1049306,Occitan,,2021-08-11T11:54:56Z
41644,Ors polar,oc,"","",,Occitan,Zane Roskoph,2021-08-11T16:57:45Z
41461,Beluga,oc,"","",,Occitan,Zane Roskoph,2021-08-15T19:52:47Z
130796,Tigre de Siberia,oc,"","",,Occitan,Zane Roskoph,2021-08-26T14:40:24Z
130799,Tigre de Sumatra,oc,"","",,Occitan,Zane Roskoph,2021-08-26T17:02:51Z
