id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
3,ପକ୍ଷୀ,und,"","",,Odia,John E. Christensen,2017-12-22T21:44:28Z
51921,ଲାଜକୁଳୀ ଲତା,und,"","",,Odia,John E. Christensen,2018-02-06T16:03:09Z
48872,ଆମ୍ବ,und,"","",,Odia,John E. Christensen,2018-02-21T08:23:12Z
21359,କାଠବେଙ୍ଗ,und,"","",,Odia,John E. Christensen,2018-12-21T09:41:59Z
40151,ସ୍ତନ୍ୟପାୟୀ,und,"","",,Odia,John E. Christensen,2019-02-07T16:15:44Z
82814,ପଦ୍ମ ଫୁଲ,und,"","",,Odia,John E. Christensen,2019-05-05T10:42:48Z
160294,ମଣ୍ଡୂକପର୍ଣ୍ଣୀ,und,"","",,Odia,harshithjv,2019-07-14T11:09:24Z
160294,ମୂଳ ପର୍ଣ୍ଣୀ,und,"","",,Odia,harshithjv,2019-07-14T11:09:43Z
160294,ସରସ୍ବତୀ,und,"","",,Odia,harshithjv,2019-07-14T11:09:57Z
160294,ସୋମ ବଲ୍ଲୀ,und,"","",,Odia,harshithjv,2019-07-14T11:10:09Z
160294,ଶ୍ରାବଣୀ,und,"","",,Odia,harshithjv,2019-07-14T11:10:23Z
122835,Jongal Saaru,und,"","",,Odia,harshithjv,2019-07-14T12:37:19Z
925714,ଶାଳିଆପାତିନି,und,"","",,Odia,brnhn,2021-06-21T05:34:43Z
30472,ଅହିରାଜ,und,"","",,Odia,Zane Roskoph,2021-08-02T18:34:05Z
123356,ଟଭାଲେମ୍ବୁ,und,"","",,Odia,Zane Roskoph,2021-08-10T12:45:58Z
41955,ଚିତାବାଘ,und,"","",,Odia,Zane Roskoph,2021-08-13T12:20:07Z
41964,ସିଂହ,und,"","",,Odia,Zane Roskoph,2021-08-24T15:07:28Z
74831,ହିମ କଲରାପତ୍ରିଆ ବାଘ,und,"","",,Odia,Zane Roskoph,2021-08-25T11:56:47Z
41967,ବାଘ,und,"","",,Odia,Zane Roskoph,2021-08-26T16:26:23Z
130793,ମହାବଳ ବାଘ,und,"","",,Odia,Zane Roskoph,2021-08-27T12:35:06Z
469472,ଆପଲ୍,und,"","",,Odia,DW,2022-03-27T04:58:30Z
