id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
340336,Eembe,und,"","",,Oshikwanyama,Botswanabugs,2020-01-11T14:32:14Z
340164,Omukuyu,und,"","",,Oshikwanyama,Botswanabugs,2020-01-11T15:45:20Z
340245,omoongo,und,"","",,Oshikwanyama,Botswanabugs,2020-01-13T07:03:25Z
340245,eegongo,und,"","",,Oshikwanyama,Botswanabugs,2020-01-13T07:04:00Z
26196,Efuma,und,"","",,Oshikwanyama,Jacob Henry,2021-04-01T21:39:36Z
841204,Etanga,und,"","",,Oshikwanyama,Jacob Henry,2021-04-08T08:53:40Z
119995,oshuungu,und,"","",,Oshikwanyama,Botswanabugs,2021-11-08T07:35:11Z
128928,ombidi,und,"","",,Oshikwanyama,Botswanabugs,2021-11-08T13:43:22Z
157488,Eshilalodi wamukulu,und,"","",,Oshikwanyama,Botswanabugs,2021-11-08T13:49:29Z
564343,Omundjulu,und,"","",,Oshikwanyama,Botswanabugs,2021-11-08T13:51:42Z
594500,Ombudje,und,"","",,Oshikwanyama,Botswanabugs,2021-11-08T13:54:01Z
516178,Okalopolola,und,"","",,Oshikwanyama,Botswanabugs,2021-11-08T13:55:41Z
122898,Omafo Omakunde,und,"","",,Oshikwanyama,Botswanabugs,2021-11-08T13:59:33Z
282677,Okaulu komukwendje,und,"","",,Oshikwanyama,Botswanabugs,2021-11-08T14:02:49Z
58991,Engamundjulu,und,"","",,Oshikwanyama,Botswanabugs,2021-11-08T14:13:40Z
588202,okaliamufita,und,"","",,Oshikwanyama,Botswanabugs,2021-11-09T08:18:25Z
564343,omujulu,und,"","",,Oshikwanyama,Botswanabugs,2021-11-09T08:22:19Z
343063,omumakani,und,"","",,Oshikwanyama,Botswanabugs,2021-11-09T08:24:37Z
193614,efinde,und,"","",,Oshikwanyama,Botswanabugs,2021-11-09T08:26:28Z
601534,omutoka,und,"","",,Oshikwanyama,Botswanabugs,2021-11-09T08:30:03Z
601534,omutakano,und,"","",,Oshikwanyama,Botswanabugs,2021-11-09T08:31:11Z
601534,omukamalai,und,"","",,Oshikwanyama,Botswanabugs,2021-11-09T08:32:27Z
601534,eno,und,"","",,Oshikwanyama,Botswanabugs,2021-11-09T08:35:35Z
584449,omubalandongo,und,"","",,Oshikwanyama,Botswanabugs,2021-11-09T08:48:30Z
138573,imaiembo,und,"","",,Oshikwanyama,Botswanabugs,2021-11-11T13:50:22Z
138573,imajembo,und,"","",,Oshikwanyama,Botswanabugs,2021-11-11T13:51:23Z
593123,imaiembo,und,"","",,Oshikwanyama,Botswanabugs,2021-11-11T13:52:38Z
593123,iomaiembo,und,"","",,Oshikwanyama,Botswanabugs,2021-11-11T13:53:37Z
506666,ombudjembudje,und,"","",,Oshikwanyama,Botswanabugs,2021-11-11T13:55:21Z
506666,eembudjembudje,und,"","",,Oshikwanyama,Botswanabugs,2021-11-11T13:56:22Z
506666,okakunde konanga,und,"","",,Oshikwanyama,Botswanabugs,2021-11-11T13:57:44Z
601172,Ombudje,und,"","",,Oshikwanyama,Botswanabugs,2021-11-11T13:59:23Z
168865,ombudje  jokomulonga,und,"","",,Oshikwanyama,Botswanabugs,2021-11-11T14:02:22Z
468544,omumonga,und,"","",,Oshikwanyama,Botswanabugs,2021-11-11T14:09:16Z
468544,omimonga,und,"","",,Oshikwanyama,Botswanabugs,2021-11-11T14:10:08Z
138424,okanakafukwa,und,"","",,Oshikwanyama,Botswanabugs,2021-11-11T14:12:55Z
601566,embibio,und,"","",,Oshikwanyama,Botswanabugs,2021-11-11T14:33:17Z
122898,omakunde,und,"","",,Oshikwanyama,Botswanabugs,2021-11-11T14:35:34Z
329683,ofukwa,und,"","",,Oshikwanyama,Botswanabugs,2021-11-11T14:44:13Z
329683,eefukwa,und,"","",,Oshikwanyama,Botswanabugs,2021-11-11T14:46:00Z
81500,omukura,und,"","",,Oshikwanyama,Botswanabugs,2021-11-11T15:40:23Z
81500,omikwa,und,"","",,Oshikwanyama,Botswanabugs,2021-11-11T16:31:32Z
505478,Oxuxwa,und,"","",,Oshikwanyama,Jacob Henry,2022-03-06T08:19:04Z
3,Uudila,und,"","",,Oshikwanyama,Jacob Henry,2022-03-06T08:23:33Z
