id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
485445,omusii,und,"","",,Oshiwambo,Botswanabugs,2020-01-11T07:50:23Z
431074,Omuhonga,und,"","",,Oshiwambo,Botswanabugs,2020-01-11T08:00:24Z
340324,Omumbu,und,"","",,Oshiwambo,Botswanabugs,2020-01-11T08:11:15Z
579375,Omumbala,und,"","",,Oshiwambo,Botswanabugs,2020-01-11T08:16:10Z
340228,Omukekete,und,"","",,Oshiwambo,Botswanabugs,2020-01-11T08:31:34Z
83832,Omheke,und,"","",,Oshiwambo,Botswanabugs,2020-01-11T08:48:28Z
431063,Omulayi,und,"","",,Oshiwambo,Botswanabugs,2020-01-11T08:57:26Z
430533,Omuhama,und,"","",,Oshiwambo,Botswanabugs,2020-01-11T14:20:06Z
138688,Omupalala,und,"","",,Oshiwambo,Botswanabugs,2020-01-11T14:55:41Z
546911,Oshilalanamwadi,und,"","",,Oshiwambo,Botswanabugs,2020-01-11T15:49:36Z
527004,Osapati,und,"","",,Oshiwambo,Botswanabugs,2020-01-11T16:04:17Z
340166,Ombyu,und,"","",,Oshiwambo,Botswanabugs,2020-01-11T16:14:24Z
340245,ongongo,und,"","",,Oshiwambo,Botswanabugs,2020-01-13T07:05:31Z
47158,Uupuka,und,"","",,Oshiwambo,Botswanabugs,2021-03-30T04:22:20Z
144281,Epumputu,und,"","",,Oshiwambo,Jacob Henry,2021-04-01T21:38:42Z
340245,omwoongo,und,"","",,Oshiwambo,Botswanabugs,2021-04-23T10:21:35Z
340245,omuongo,und,"","",,Oshiwambo,Botswanabugs,2021-04-23T10:22:55Z
438150,ekisinananga,und,"","",,Oshiwambo,Botswanabugs,2021-04-23T10:24:57Z
438150,lokumolonga,und,"","",,Oshiwambo,Botswanabugs,2021-04-23T10:25:54Z
581977,omubutu,und,"","",,Oshiwambo,Botswanabugs,2021-04-23T10:27:41Z
581977,yanamukuto,und,"","",,Oshiwambo,Botswanabugs,2021-04-23T10:28:46Z
78589,okambodi,und,"","",,Oshiwambo,Botswanabugs,2021-04-23T10:31:22Z
595138,okukato lekadi,und,"","",,Oshiwambo,Botswanabugs,2021-04-23T10:33:08Z
595138,olukato lendume,und,"","",,Oshiwambo,Botswanabugs,2021-04-23T10:34:53Z
513962,ekoka,und,"","",,Oshiwambo,Botswanabugs,2021-04-23T10:36:30Z
586616,etamupya,und,"","",,Oshiwambo,Botswanabugs,2021-04-23T10:39:32Z
202342,Mahangu,und,"","",https://www.inaturalist.org/taxon_names/2498825/edit,Oshiwambo,,2021-06-04T18:27:54Z
737438,omumbu,und,"","",,Oshiwambo,Botswanabugs,2021-06-12T14:28:59Z
579914,omutyaalale,und,"","",,Oshiwambo,Botswanabugs,2021-06-12T14:30:11Z
340336,omuye,und,"","",,Oshiwambo,Botswanabugs,2021-06-12T14:32:32Z
70065,omunkunzi,und,"","",,Oshiwambo,Botswanabugs,2021-06-12T14:38:39Z
583617,omufimba,und,"","",,Oshiwambo,Botswanabugs,2021-06-12T14:39:59Z
340214,omwandi,und,"","",,Oshiwambo,Botswanabugs,2021-06-12T14:41:28Z
469308,oshimumu,und,"","",,Oshiwambo,Botswanabugs,2021-06-12T14:43:11Z
340164,omukwiyu,und,"","",,Oshiwambo,Botswanabugs,2021-06-12T14:44:52Z
336861,Omukopakopa,und,"","",,Oshiwambo,Botswanabugs,2021-06-12T14:46:37Z
431075,omushe,und,"","",,Oshiwambo,Botswanabugs,2021-06-12T14:47:25Z
586644,omushe,und,"","",,Oshiwambo,Botswanabugs,2021-06-12T14:48:48Z
485445,omushii,und,"","",,Oshiwambo,Botswanabugs,2021-06-12T14:50:06Z
342681,omulunga,und,"","",,Oshiwambo,Botswanabugs,2021-06-12T14:51:15Z
569017,Omukokofi,und,"","",,Oshiwambo,Botswanabugs,2021-06-12T14:53:36Z
593607,Okandongondongo,und,"","",,Oshiwambo,Botswanabugs,2021-06-12T14:55:15Z
340199,Omunkete,und,"","",,Oshiwambo,Botswanabugs,2021-06-12T14:56:13Z
