id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
274227,Bastó,und,"","",,Otomí,Ken-ichi Ueda,2013-05-16T08:00:43Z
62941,becua,und,"","",,Otomí,Ken-ichi Ueda,2013-05-16T08:00:45Z
122860,bénju,und,"","",,Otomí,Ken-ichi Ueda,2013-05-16T08:01:04Z
122850,boju,und,"","",,Otomí,Zachary Dankowicz,2013-05-16T08:02:27Z
277826,bonza,und,"","",,Otomí,Ken-ichi Ueda,2013-05-16T08:02:31Z
159126,boshi,und,"","",,Otomí,Ken-ichi Ueda,2013-05-16T08:02:34Z
284493,boto,und,"","",,Otomí,Ken-ichi Ueda,2013-05-16T08:02:35Z
48514,bumi,und,"","",,Otomí,Nick Block,2013-05-16T08:02:44Z
210062,cahtibe,und,"","",,Otomí,Ken-ichi Ueda,2013-05-16T08:03:07Z
61839,cáinixi,und,"","",,Otomí,Ken-ichi Ueda,2013-05-16T08:03:09Z
75395,cani,und,"","",,Otomí,Ken-ichi Ueda,2013-05-16T08:03:39Z
75396,cani,und,"","",,Otomí,Ken-ichi Ueda,2013-05-16T08:03:39Z
78174,canidejé,und,"","",,Otomí,Carlos Alonso,2013-05-16T08:03:39Z
277789,casio,und,"","",,Otomí,Ken-ichi Ueda,2013-05-16T08:04:22Z
164333,caxi potei,und,"","",,Otomí,Ken-ichi Ueda,2013-05-16T08:04:27Z
286175,chicri,und,"","",,Otomí,Ken-ichi Ueda,2013-05-16T08:05:25Z
201455,chotza,und,"","",,Otomí,Ken-ichi Ueda,2013-05-16T08:05:48Z
286649,cuaxtamepu,und,"","",,Otomí,Ken-ichi Ueda,2013-05-16T08:07:33Z
57309,da-ku,und,"","",,Otomí,Bobby McCabe,2013-05-16T08:08:03Z
48592,denchi,und,"","",,Otomí,Ken-ichi Ueda,2013-05-16T08:08:07Z
48448,deta,und,"","",,Otomí,Ken-ichi Ueda,2013-05-16T08:08:08Z
140596,deuntzá,und,"","",,Otomí,Ken-ichi Ueda,2013-05-16T08:08:08Z
59035,doerxa,und,"","",,Otomí,Bodo Nuñez Oberg,2013-05-16T08:08:09Z
277898,donape,und,"","",,Otomí,Ken-ichi Ueda,2013-05-16T08:08:09Z
128270,dusho,und,"","",,Otomí,Ken-ichi Ueda,2013-05-16T08:08:15Z
289775,empueshte,und,"","",,Otomí,Ken-ichi Ueda,2013-05-16T08:08:20Z
277338,gembero,und,"","",,Otomí,Ken-ichi Ueda,2013-05-16T08:09:59Z
54516,gonchi,und,"","",,Otomí,Austin R. Kelly,2013-05-16T08:10:07Z
274375,ishcojó,und,"","",,Otomí,Jorge Rojas S.,2013-05-16T08:15:35Z
