id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
205279,Amata,und,"","",http://www.catalogueoflife.org/annual-checklist/2012/details/species/id/10081938/common/92971,oyampi,,2013-02-16T06:21:54Z
124904,Mapala malyaki,und,"","",http://www.ubio.org/browser/details.php?namebankID=938080,Oyampi,Ken-ichi Ueda,2012-03-03T19:07:58Z
205279,Amata,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10081938/common/27309,Oyampi,,2020-04-25T09:01:17Z
99786,Pilakè,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10064305/common/230509,Oyampi,,2021-07-13T15:28:40Z
99786,Pilaké,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10064305/common/230510,Oyampi,,2021-07-13T15:28:40Z
120227,Suluwi,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10083083/common/9012,Oyampi,,2021-07-14T18:23:47Z
341818,Suluwi,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10083088/common/8972,Oyampi,,2021-07-14T18:23:47Z
556853,Yawanukunuku,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10083102/common/170572,Oyampi,,2021-07-14T19:05:57Z
619836,Yawanukunuku,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10083266/common/261792,Oyampi,,2021-07-14T19:05:57Z
525927,Toukounalé,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10067016/common/172010,Oyampi,,2021-07-15T15:11:38Z
126567,Toukounalé,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10067018/common/171981,Oyampi,,2021-07-15T15:11:39Z
563994,Pilau,und,"","",,Oyampi,Zane Roskoph,2021-07-19T17:03:12Z
516335,Talé,und,"","",,Oyampi,Zane Roskoph,2021-07-20T13:14:43Z
516335,Talé'I,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10055999/common/167087,Oyampi,Cole Gaerber,2021-07-20T13:14:51Z
608806,Pilamaimai,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10083155/common/150538,Oyampi,,2021-07-20T13:41:20Z
608806,Matoupet,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10083155/common/150531,Oyampi,,2021-07-20T13:41:25Z
608806,Pilamémé,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10083155/common/150539,Oyampi,,2021-07-20T13:41:32Z
608811,Pilamémé,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10083162/common/150455,Oyampi,,2021-07-20T13:41:33Z
608806,Matoupé,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10083155/common/150530,Oyampi,,2021-07-20T13:41:40Z
608811,Matoupé,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10083162/common/150448,Oyampi,,2021-07-20T13:41:40Z
493695,Oulouwipila,und,"","",,Oyampi,Zane Roskoph,2021-08-19T14:36:22Z
52553,Sawanapa,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10064393/common/170313,Oyampi,,2021-08-30T00:51:01Z
549774,Kalimasaya,und,"","",http://www.catalogueoflife.org/annual-checklist/2012/details/species/id/9741333,Oyampi,,2021-12-10T15:02:34Z
614170,Kalimasaya,und,"","",http://www.catalogueoflife.org/annual-checklist/2012/details/species/id/9741333,Oyampi,,2021-12-10T15:02:34Z
614170,Kamisalayan,und,"","",http://www.catalogueoflife.org/annual-checklist/2012/details/species/id/9741333,Oyampi,,2021-12-10T15:11:48Z
322857,Poukoupitane,und,"","",http://www.catalogueoflife.org/annual-checklist/2012/details/species/id/9741333,Oyampi,,2022-01-07T01:51:22Z
