id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
338159,Sogoh pei,und,"","",,Palo,Zane Roskoph,2021-07-27T16:13:10Z
154282,Pogo buri,und,"","",,Palo,Zane Roskoph,2021-07-27T16:35:51Z
135283,Kuu ragi-ragi,und,"","",,Palo,Zane Roskoph,2021-07-27T18:20:05Z
49641,Kuu mohato,und,"","",,Palo,Zane Roskoph,2021-07-28T13:47:44Z
49639,Okke,und,"","",,Palo,Zane Roskoph,2021-07-29T00:52:12Z
53669,Pogo olo ijo,und,"","",,Palo,Zane Roskoph,2021-07-30T11:41:27Z
187279,Kuu,und,"","",,Palo,Zane Roskoph,2021-07-30T12:38:59Z
83884,Pogo mohute mata kinda,und,"","",,Palo,Zane Roskoph,2021-07-30T19:26:11Z
97001,Mangkarnia,und,"","",,Palo,Zane Roskoph,2021-07-31T20:29:21Z
52456,Okke dalika,und,"","",,Palo,Zane Roskoph,2021-08-01T13:55:47Z
123227,Borona buri,und,"","",,Palo,Zane Roskoph,2021-08-03T12:12:51Z
52451,Tui-tui kangka,und,"","",,Palo,Zane Roskoph,2021-08-03T16:24:49Z
52323,Tanggili olo,und,"","",,Palo,Zane Roskoph,2021-08-12T16:04:24Z
153280,Simba moo,und,"","",,Palo,Zane Roskoph,2021-08-29T12:44:20Z
196838,Tio bata,und,"","",,Palo,Zane Roskoph,2021-09-12T23:20:48Z
83879,Tui-tui mohute,und,"","",,Palo,Zane Roskoph,2021-09-15T23:42:55Z
132366,Kuu wadu,und,"","",,Palo,Zane Roskoph,2021-09-17T19:20:18Z
112160,Lehe kakanda,und,"","",,Palo,Zane Roskoph,2021-09-25T14:34:23Z
68025,Lehe biru,und,"","",,Palo,Zane Roskoph,2021-09-25T14:57:38Z
97004,Okke,und,"","",,Palo,Zane Roskoph,2021-10-09T16:45:23Z
52464,Pogo olo biru,und,"","",,Palo,Zane Roskoph,2021-10-17T14:08:57Z
47251,Alu,und,"","",,Palo,Zane Roskoph,2021-10-17T23:47:38Z
180396,Borona,und,"","",,Palo,Zane Roskoph,2021-11-07T18:35:22Z
122514,Tio makuri,und,"","",,Palo,Zane Roskoph,2021-12-06T00:59:03Z
