id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
124316,Cora,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10075946/common/76907,Papiamento,,2020-02-08T18:44:08Z
129567,Jack in the box,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10070991/common/39122,Papiamento,,2021-07-13T16:08:49Z
50873,Tribon blancu,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10064513/common/239553,Papiamento,,2021-07-13T19:25:33Z
52293,Rei 'i laman,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10072554/common/183851,Papiamento,,2021-07-27T15:30:08Z
52293,Rei di laman,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10072554/common/183852,Papiamento,,2021-07-27T15:30:15Z
52293,Rei di pishi porco,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10072554/common/183853,Papiamento,,2021-07-27T15:30:21Z
52293,Rei'i laman,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10072554/common/183850,Papiamento,,2021-07-27T15:30:31Z
131488,Kòrá wowo pretu,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10068960/common/14327,Papiamento,,2021-07-27T17:09:08Z
131487,Kòrá wowo pretu,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10069022/common/13858,Papiamento,,2021-07-27T17:09:09Z
112136,Bushi kedebe,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10072695/common/21955,Papiamento,,2021-07-27T17:16:31Z
112136,Gutu blou,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10072695/common/21958,Papiamento,,2021-07-27T17:16:37Z
49256,Culebra rabu di oro,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10053711/common/121800,Papiamento,,2021-07-31T16:22:44Z
131395,Kolebra,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10053603/common/168519,Papiamento,,2021-07-31T16:22:59Z
49256,Kolebra,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10053711/common/121797,Papiamento,,2021-07-31T16:22:59Z
49256,Kolebra rabu di oro,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10053711/common/121796,Papiamento,,2021-07-31T16:23:06Z
121196,Kleinfeshi blou,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10066648/common/55201,Papiamento,,2021-08-03T12:58:18Z
223887,Carmabi fish,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10073232/common/115664,Papiamento,,2021-08-09T11:54:00Z
131484,Pisca di oro,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10073493/common/35653,Papiamento,,2021-08-09T12:34:13Z
131484,Piská di oro,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10073493/common/35654,Papiamento,,2021-08-09T12:34:20Z
49747,Pisca di spons,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10073495/common/35640,Papiamento,,2021-08-09T12:41:51Z
49747,Piská 'i spons,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10073495/common/35639,Papiamento,,2021-08-09T12:41:58Z
49747,Piská'i spons,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10073495/common/35638,Papiamento,,2021-08-09T12:42:04Z
112135,Gutu pretu,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10072694/common/21976,Papiamento,,2021-08-28T23:22:06Z
112148,Gutu ketekete,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10072711/common/21505,Papiamento,,2021-08-28T23:29:51Z
112858,Gutu ketekete,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10072740/common/46754,Papiamento,,2021-08-28T23:29:51Z
341102,Barigonchi,und,"","",http://www.catalogueoflife.org/annual-checklist/2012/details/species/id/9741333,Papiamento,,2021-08-31T12:37:57Z
53695,Barigonchi,und,"","",http://www.catalogueoflife.org/annual-checklist/2012/details/species/id/9741333,Papiamento,,2021-08-31T12:37:57Z
49961,Tribon djente cacho,und,"","",http://www.catalogueoflife.org/annual-checklist/2012/details/species/id/9741333,Papiamento,,2021-09-01T12:07:07Z
120125,Kolebra berdè,und,"","",http://www.catalogueoflife.org/annual-checklist/2012/details/species/id/9741333,Papiamento,,2021-09-08T00:08:34Z
120125,Kolebra berde,und,"","",http://www.catalogueoflife.org/annual-checklist/2012/details/species/id/9741333,Papiamento,,2021-09-08T00:08:35Z
120125,Culebra berde,und,"","",http://www.catalogueoflife.org/annual-checklist/2012/details/species/id/9741333,Papiamento,,2021-09-08T00:08:56Z
126872,Sabernechi,und,"","",http://www.catalogueoflife.org/annual-checklist/2012/details/species/id/9741333,Papiamento,,2021-09-18T20:22:17Z
126872,Sabunechi,und,"","",http://www.catalogueoflife.org/annual-checklist/2012/details/species/id/9741333,Papiamento,,2021-09-18T20:22:24Z
81989,Hedo,und,"","",http://www.catalogueoflife.org/annual-checklist/2012/details/species/id/9741333,Papiamento,,2021-09-18T21:07:06Z
81989,Bers,und,"","",,Papiamento,Zane Roskoph,2021-09-18T21:07:48Z
81989,Sarde,und,"","",,Papiamento,Zane Roskoph,2021-09-18T21:08:12Z
49509,Caranjitu,und,"","",http://www.catalogueoflife.org/annual-checklist/2012/details/species/id/9741333,Papiamento,Donald Davesne,2021-09-18T21:44:23Z
124316,Boca negra,und,"","",,Papiamento,Zane Roskoph,2021-09-18T23:16:47Z
124316,Pargo,und,"","",,Papiamento,Zane Roskoph,2021-09-18T23:17:41Z
47292,Grastelchi'i pieda,und,"","",http://www.catalogueoflife.org/annual-checklist/2012/details/species/id/9741333,Papiamento,,2021-09-18T23:32:26Z
47292,Grastèlchi'i pieda,und,"","",http://www.catalogueoflife.org/annual-checklist/2012/details/species/id/9741333,Papiamento,,2021-09-18T23:32:26Z
47292,Grastèlchi 'i pieda,und,"","",http://www.catalogueoflife.org/annual-checklist/2012/details/species/id/9741333,Papiamento,,2021-09-18T23:32:39Z
47292,Gristelchi,und,"","",http://www.catalogueoflife.org/annual-checklist/2012/details/species/id/9741333,Papiamento,,2021-09-18T23:32:48Z
182608,Barstebers,und,"","",http://www.catalogueoflife.org/annual-checklist/2012/details/species/id/9741333,Papiamento,,2021-09-18T23:49:51Z
131528,Boca blancu,und,"","",http://www.catalogueoflife.org/annual-checklist/2012/details/species/id/9741333,Papiamento,,2021-09-19T00:10:19Z
131528,Chirki,und,"","",http://www.catalogueoflife.org/annual-checklist/2012/details/species/id/9741333,Papiamento,,2021-09-19T00:10:31Z
131528,Shilki blancu,und,"","",http://www.catalogueoflife.org/annual-checklist/2012/details/species/id/9741333,Papiamento,,2021-09-19T00:10:39Z
131387,Colulie,und,"","",http://www.catalogueoflife.org/annual-checklist/2012/details/species/id/9741333,Papiamento,,2021-09-19T00:30:13Z
131387,Kalala,und,"","",,Papiamento,Zane Roskoph,2021-09-19T00:30:35Z
131531,Cala di hundu,und,"","",http://www.catalogueoflife.org/annual-checklist/2012/details/species/id/9741333,Papiamento,,2021-09-19T00:36:01Z
131531,Cala pretu,und,"","",http://www.catalogueoflife.org/annual-checklist/2012/details/species/id/9741333,Papiamento,,2021-09-19T00:36:09Z
131530,Cora largu,und,"","",http://www.catalogueoflife.org/annual-checklist/2012/details/species/id/9741333,Papiamento,,2021-09-19T00:46:40Z
112166,Gutu rab 'i gai,und,"","",http://www.catalogueoflife.org/annual-checklist/2012/details/species/id/9741333,Papiamento,,2021-10-16T16:39:14Z
112166,Gutu rab'i gai,und,"","",http://www.catalogueoflife.org/annual-checklist/2012/details/species/id/9741333,Papiamento,,2021-10-16T16:39:24Z
112169,Gutu berdè,und,"","",http://www.catalogueoflife.org/annual-checklist/2012/details/species/id/9741333,Papiamento,,2021-10-16T16:45:34Z
112867,Gutu barika korá,und,"","",http://www.catalogueoflife.org/annual-checklist/2012/details/species/id/9741333,Papiamento,,2021-10-16T18:04:46Z
112867,Gutu promèntè,und,"","",http://www.catalogueoflife.org/annual-checklist/2012/details/species/id/9741333,Papiamento,,2021-10-16T18:04:58Z
47238,Tròmpèt,und,"","",,Papiamento,Zane Roskoph,2021-10-16T18:28:10Z
47238,Trompet,und,"","",,Papiamento,Zane Roskoph,2021-10-16T18:28:58Z
95066,Pishiporko rab'i gai,und,"","",http://www.catalogueoflife.org/annual-checklist/2012/details/species/id/9741333,Papiamento,,2021-10-17T13:51:51Z
95066,Pishiporko rab 'i gai,und,"","",http://www.catalogueoflife.org/annual-checklist/2012/details/species/id/9741333,Papiamento,,2021-10-17T13:51:59Z
52464,Pishiporko pretu,und,"","",http://www.catalogueoflife.org/annual-checklist/2012/details/species/id/9741333,Papiamento,,2021-10-17T14:07:45Z
52464,Dròli-bambu,und,"","",http://www.catalogueoflife.org/annual-checklist/2012/details/species/id/9741333,Papiamento,,2021-10-17T14:07:54Z
52464,Doro,und,"","",,Papiamento,Zane Roskoph,2021-10-17T14:08:29Z
47761,Djampau,und,"","",http://www.catalogueoflife.org/annual-checklist/2012/details/species/id/9741333,Papiamento,,2021-10-17T19:22:00Z
47761,Djanpau,und,"","",http://www.catalogueoflife.org/annual-checklist/2012/details/species/id/9741333,Papiamento,,2021-10-17T19:22:07Z
130051,Kakobòl,und,"","",http://www.catalogueoflife.org/annual-checklist/2012/details/species/id/9741333,Papiamento,,2021-10-17T19:49:43Z
130051,Kakubòl,und,"","",http://www.catalogueoflife.org/annual-checklist/2012/details/species/id/9741333,Papiamento,,2021-10-17T19:49:54Z
1315935,Stèlchi blou,und,"","",http://www.catalogueoflife.org/annual-checklist/2012/details/species/id/9741333,Papiamento,,2021-12-08T03:41:39Z
49925,Chupachupa,und,"","",http://www.catalogueoflife.org/annual-checklist/2012/details/species/id/9741333,Papiamento,,2021-12-28T16:05:08Z
1316037,Rei 'i laman,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10072428/common/183868,Papiamento,,2022-03-16T04:52:05Z
1316037,Rei di laman,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10072428/common/183867,Papiamento,,2022-03-16T04:52:05Z
