id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
355675,شمزۍ لرونکي ژوي,und,"","",,Pashto,John E. Christensen,2017-12-06T09:44:32Z
47208,گونگټه,und,"","",,Pashto,John E. Christensen,2017-12-22T08:32:02Z
56739,ارهنډه,und,"","",,Pashto,John E. Christensen,2017-12-27T15:37:23Z
204454,ښارو,und,"","",,Pashto,John E. Christensen,2018-02-18T16:37:03Z
372739,شپږ پښې لرونکی ژوي,und,"","",,Pashto,John E. Christensen,2018-03-07T09:52:31Z
47336,مېږی,und,"","",,Pashto,John E. Christensen,2018-11-02T13:10:35Z
77965,مروری,und,"","",,Pashto,John E. Christensen,2018-12-21T14:47:07Z
131236,ویروسونه,und,"","",,Pashto,James K. Douch,2020-02-23T03:01:42Z
69320,فرعوني مېږی,und,"","",,Pashto,Johan Devos,2021-01-23T17:06:16Z
873461,پښتني صنوبر,und,"","",,Pashto,Zane Roskoph,2021-07-15T17:56:54Z
873461,اوبښته,und,"","",,Pashto,Zane Roskoph,2021-07-15T17:57:26Z
50873,لوي سپين شارک,und,"","",,Pashto,Zane Roskoph,2021-07-30T14:05:55Z
52188,نهنگی شارک,und,"","",,Pashto,Zane Roskoph,2021-08-03T14:07:11Z
41644,قطبي اېږ,und,"","",,Pashto,Zane Roskoph,2021-08-11T16:58:49Z
41553,نیلي نهنگ,und,"","",,Pashto,Zane Roskoph,2021-08-15T15:15:31Z
41964,زمری,und,"","",,Pashto,Zane Roskoph,2021-08-24T15:09:11Z
130796,سيبري پړانگ,und,"","",,Pashto,Zane Roskoph,2021-08-26T14:41:58Z
41967,پړانګ,und,"","",,Pashto,Zane Roskoph,2021-08-26T16:27:56Z
130793,بنگالي پړانگ,und,"","",,Pashto,Zane Roskoph,2021-08-27T12:36:15Z
469472,مڼه,und,"","",,Pashto,DW,2022-03-27T04:59:28Z
