id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
51402,Tarpon atlantycki,pl,"","",http://www.ubio.org/browser/details.php?namebankID=894753,Polish,,2010-08-03T21:51:50Z
27735,salamandra czarna,pl,"","",,Polish,max kirsch,2011-05-05T06:16:38Z
144830,Czubatka,pl,Poland,PL,,Polish,Finlay Cox,2013-06-08T14:27:20Z
56047,Achira,pl,"","",http://www.catalogueoflife.org/annual-checklist/2012/details/species/id/10077184/common/163686,Polish,Ken-ichi Ueda,2014-10-14T01:16:58Z
46314,manat,pl,"","",,Polish,jandaniec,2015-02-21T22:49:29Z
54491,Leszczyna pospolita,pl,"","",,Polish,Jan Krzeptowski,2015-07-26T13:32:32Z
55840,Pierwiosnek wyniosły,pl,"","",,Polish,Jan Krzeptowski,2015-07-26T13:44:27Z
83541,Dębik ośmiopłatkowy,pl,"","",,Polish,Jan Krzeptowski,2015-07-26T13:56:23Z
130707,Rozpucz lepiężnikowiec,pl,"","",,Polish,Jan Krzeptowski,2015-07-26T14:10:12Z
55756,Bodziszek żałobny,pl,"","",,Polish,Jan Krzeptowski,2015-07-27T07:55:33Z
57824,Bez koralowy,pl,"","",,Polish,Jan Krzeptowski,2015-07-27T07:56:43Z
359456,Świerząbek orzęsiony,pl,"","",,Polish,Jan Krzeptowski,2015-07-27T07:57:43Z
52669,Wietlica samicza,pl,"","",,Polish,Jan Krzeptowski,2015-07-27T07:58:21Z
26172,Łuskonośne,pl,"","",,Polish,tapirus,2015-07-28T21:37:02Z
85552,Jaszczurki,pl,"","",,Polish,tapirus,2015-07-28T21:37:43Z
36982,Scynkowate,pl,"","",,Polish,tapirus,2015-07-28T21:39:00Z
36983,Okularowiec,pl,"","",,Polish,tapirus,2015-07-28T21:39:26Z
60092,Szelężnik,pl,"","",,Polish,Jan Krzeptowski,2015-07-30T13:17:44Z
55721,Lepnica rozdęta,pl,"","",,Polish,Jan Krzeptowski,2015-07-30T14:02:44Z
197777,Drakiew lśniąca,pl,"","",,Polish,Jan Krzeptowski,2015-07-30T14:03:28Z
60132,Ostrożeń polny,pl,"","",,Polish,Jan Krzeptowski,2015-07-30T14:05:44Z
47435,Komonica zwyczajna,pl,"","",,Polish,Jan Krzeptowski,2015-07-30T14:16:59Z
62336,Arcydzięgiel litwor,pl,"","",,Polish,Jan Krzeptowski,2015-07-30T15:28:24Z
168753,Rozchodnik owłosiony,pl,"","",,Polish,Jan Krzeptowski,2015-07-30T15:29:25Z
82685,Przelot pospolity,pl,"","",,Polish,Jan Krzeptowski,2015-07-30T15:30:28Z
