id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
48448,boc,und,"","",,Popoluca,,2013-05-16T08:02:25Z
64340,cágau,und,"","",,Popoluca,,2013-05-16T08:03:07Z
76541,chicsh,und,"","",,Popoluca,Carlos Galindo-Leal,2013-05-16T08:05:25Z
285644,cóbanu,und,"","",,Popoluca,,2013-05-16T08:06:07Z
62941,cu,und,"","",,Popoluca,,2013-05-16T08:07:19Z
244459,cum,und,"","",,Popoluca,,2013-05-16T08:07:57Z
126925,Cuyg'auac,und,"","",,Popoluca,María Alejandra González,2013-05-16T08:08:01Z
62809,Cuypishtin,und,"","",,Popoluca,María Alejandra González,2013-05-16T08:08:02Z
127676,cúypuc,und,"","",,Popoluca,,2013-05-16T08:08:02Z
52440,cuytátsuic,und,"","",,Popoluca,,2013-05-16T08:08:02Z
62831,cuytuim,und,"","",,Popoluca,,2013-05-16T08:08:02Z
128270,dathshí,und,"","",,Popoluca,,2013-05-16T08:08:06Z
64017,daxó,und,"","",,Popoluca,Yoshimasa Uchiyama,2013-05-16T08:08:06Z
125147,ecshna,und,"","",,Popoluca,harum.koh,2013-05-16T08:08:17Z
131579,jamguijy,und,"","",,Popoluca,,2013-05-16T08:15:58Z
165144,Jeya,und,"","",,Popoluca,María Alejandra González,2013-05-16T08:16:05Z
189235,magáycujy,und,"","",,Popoluca,,2013-05-16T08:18:09Z
133291,masan ay,und,"","",,Popoluca,joshua_tx,2013-05-16T08:18:50Z
154828,mojcuji,und,"","",,Popoluca,Adrian Bojorquez,2013-05-16T08:19:21Z
63205,nashcágau,und,"","",,Popoluca,,2013-05-16T08:19:55Z
57354,Ntaka,und,"","",,Popoluca,sea-kangaroo,2013-05-16T08:20:33Z
84585,pot cuy,und,"","",,Popoluca,,2013-05-16T08:23:31Z
160255,Shushanguji,und,"","",,Popoluca,María Alejandra González,2013-05-16T08:24:35Z
169890,sondo wi-nonkie,und,"","",,Popoluca,,2013-05-16T08:24:46Z
139075,tsa'pushan,und,"","",,Popoluca,,2013-05-16T08:26:23Z
154528,tush,und,"","",,Popoluca,,2013-05-16T08:26:39Z
154538,uiguic,und,"","",,Popoluca,Adrian Bojorquez,2013-05-16T08:27:05Z
278375,vavaji,und,"","",,Popoluca,,2013-05-16T08:27:17Z
277826,xindé,und,"","",,Popoluca,,2013-05-16T08:27:39Z
209889,xizetua,und,"","",,Popoluca,,2013-05-16T08:27:41Z
76746,shutpajuic,und,"","",,Popoluca,,2014-01-07T06:19:00Z
223927,"kamaxha, nga ga'a ntaa",und,"","",,Popoluca,Leoncio Paz,2016-01-21T18:21:45Z
155185,Besouros-pulga,und,"","",,Popoluca,Julio Lacerda,2017-09-19T23:00:16Z
873768,ayic,und,"","",,Popoluca,Valentin de Mazancourt,2019-03-13T15:24:04Z
250942,Naucashcashi,und,"","",,Popoluca,Francisco Acosta,2020-05-04T19:02:08Z
311096,Quichi,und,"","",,Popoluca,Francisco Acosta,2020-05-04T19:11:07Z
47730,Chilasia,und,"","",,Popoluca,Francisco Acosta,2020-05-04T19:30:43Z
868061,Cuichtzi,und,"","",,Popoluca,Francisco Acosta,2020-05-04T21:32:29Z
1193915,Chipacacue,und,"","",https://www.inaturalist.org/taxon_names/522816/edit,Popoluca,,2021-02-09T17:37:41Z
