id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
116993,Calopsita,und,"Espírito Santo, BR | Brazil",BR,,Português (Brasil),Marcio Santos Ferreira,2020-12-26T15:56:18Z
47486,Aranhas-murais,und,"","",,Português (Brasil),Alexandre S. Michelotto,2021-02-07T22:16:51Z
141634,Cordão-de-frade,und,"","",,Português (Brasil),Felipe Goulart Gonçalves,2021-03-25T11:36:16Z
865007,Oxalis com bulbos escamosos,und,"","",,Português (Brasil),Alison Northup,2021-04-11T11:51:09Z
846059,Toninha,und,"","",,Português (Brasil),Leonel Roget,2021-04-14T17:29:43Z
164242,Mertiolate,und,"","",,Português (Brasil),Victor Farjalla Pontes,2021-05-08T16:12:48Z
133292,Baga-de-sangue,und,"","",,Português (Brasil),Victor Farjalla Pontes,2021-06-01T15:01:22Z
125444,Aranha saltadora pantropical,und,"","",,Português (Brasil),matheus antony,2021-08-13T13:04:58Z
512717,Pica-pau-do-campo,und,"","",,Português (Brasil),Valentín Alfano,2021-09-29T14:55:17Z
41126,Morcego-de-lábios-franjados,und,"","",,Português (Brasil),Leonardo Merçon,2021-11-15T19:57:35Z
27268,Cobra-cipó,und,Brazil,BR,,Português (Brasil),Christopher Graves,2021-11-16T00:56:42Z
17858,Pica-pau-de-banda-branca,und,Brazil,BR,,Português (Brasil),Christopher Graves,2021-11-16T01:03:49Z
1161350,Tucanaboia,und,Brazil,BR,,Português (Brasil),Leonardo Merçon,2021-11-16T13:03:39Z
10295,Sanhaço-da-amazônia,und,Brazil,BR,,Português (Brasil),Leonardo Merçon,2021-11-16T13:20:00Z
780794,Tarântula-comum,und,"","",,Português (Brasil),Leonardo Merçon,2021-11-16T19:37:59Z
132144,Aranha-de-teia-redonda,und,"","",,Português (Brasil),Leonardo Merçon,2021-11-19T22:20:01Z
145998,Lagartixa-da-amazônia,und,"","",,Português (Brasil),Leonardo Merçon,2021-11-19T22:24:39Z
852439,Parauacu,und,"","",,Português (Brasil),Leonardo Merçon,2021-11-20T17:08:48Z
41079,Morcego-de-nariz-de-lança-das-guianas,und,"","",,Português (Brasil),Leonardo Merçon,2021-11-20T17:27:08Z
53390,Armadeira-da-bananeira,und,"","",,Português (Brasil),Leonardo Merçon,2021-11-20T17:39:03Z
12737,Sabiá-barranco,und,"","",,Português (Brasil),Leonardo Merçon,2021-11-20T17:43:37Z
24188,Perereca-de-perna-fina,und,"","",,Português (Brasil),Leonardo Merçon,2021-11-20T18:12:55Z
53875,Guruçá,und,"","",,Português (Brasil),Leonardo Merçon,2021-11-24T22:29:58Z
4937,Garça-azul,und,"","",,Português (Brasil),Leonardo Merçon,2021-11-25T17:58:51Z
49297,Raia-pintada,und,"","",,Português (Brasil),Leonardo Merçon,2021-11-25T20:06:36Z
715075,Pijaminha-amarelo,und,"","",,Português (Brasil),Leonardo Merçon,2021-11-26T16:56:21Z
3938,Vira-pedras,und,"","",,Português (Brasil),Leonardo Merçon,2021-11-26T17:08:27Z
121195,Peixe-cirurgião,und,"","",,Português (Brasil),Leonardo Merçon,2021-11-26T21:06:41Z
62821,Castanheira,und,"","",,Português (Brasil),Leonardo Merçon,2021-11-27T13:38:36Z
47260,Barracuda,und,"","",,Português (Brasil),Leonardo Merçon,2021-11-30T20:24:18Z
99269,Robalo,und,"","",,Português (Brasil),Leonardo Merçon,2021-11-30T20:30:22Z
6420,Beija-flor-preto,und,"","",,Português (Brasil),Leonardo Merçon,2021-12-05T13:44:32Z
16909,Viuvinha,und,"","",,Português (Brasil),Leonardo Merçon,2021-12-05T13:51:03Z
145316,Pintassilgo,und,"","",,Português (Brasil),Leonardo Merçon,2021-12-05T13:55:29Z
43151,Coelho-europeu,und,"","",,Português (Brasil),Leonardo Merçon,2021-12-07T19:14:21Z
36643,Lagartixa-verde-da-amazônia,und,"","",,Português (Brasil),Leonardo Merçon,2021-12-07T20:06:39Z
10257,Cavalaria,und,"","",,Português (Brasil),Leonardo Merçon,2021-12-08T12:30:46Z
116570,Jacaré-do-pantanal,und,"","",,Português (Brasil),Leonardo Merçon,2021-12-08T12:35:49Z
116607,Jacaré-do-pantanal,und,"","",,Português (Brasil),Leonardo Merçon,2021-12-08T12:36:47Z
38640,Víbora-do-pantanal,und,"","",,Português (Brasil),Leonardo Merçon,2021-12-08T13:00:35Z
47083,Tatu-peba,und,"","",,Português (Brasil),Leonardo Merçon,2021-12-08T13:11:39Z
99292,Caranguejo-vermelho,und,"","",,Português (Brasil),Leonardo Merçon,2021-12-08T13:21:27Z
5063,Biguatinga,und,"","",,Português (Brasil),Leonardo Merçon,2021-12-08T13:23:10Z
8483,Gralha-do-pantanal,und,"","",,Português (Brasil),Leonardo Merçon,2021-12-08T13:28:48Z
41482,Golfinho-nariz-de-garrafa,und,"","",,Português (Brasil),Leonardo Merçon,2021-12-08T19:30:03Z
2669,Martim-pescador-pequeno,und,"","",,Português (Brasil),Leonardo Merçon,2021-12-08T22:00:08Z
4093,Bobo-pequeno,und,"","",,Português (Brasil),Leonardo Merçon,2021-12-08T22:20:14Z
41566,Baleia-jubarte,und,"","",,Português (Brasil),Leonardo Merçon,2021-12-08T22:21:14Z
317047,Peixe-voador-do-atlântico,und,"","",,Português (Brasil),Leonardo Merçon,2021-12-08T22:56:17Z
3768,Curicaca-real,und,"","",,Português (Brasil),Leonardo Merçon,2021-12-09T11:33:15Z
132722,Tucano-de-bico-preto,und,"","",,Português (Brasil),Leonardo Merçon,2021-12-14T12:52:29Z
18793,Tucanuçu,und,"","",,Português (Brasil),Leonardo Merçon,2021-12-14T12:54:26Z
278242,Araçá,und,Brazil,BR,,Português (Brasil),Santiago,2021-12-16T00:14:54Z
