id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
58991,acahuecashacua,und,"","",,Purépecha,Ken-ichi Ueda,2013-05-16T07:57:57Z
127676,acanguaricua,und,"","",,Purépecha,Ken-ichi Ueda,2013-05-16T07:57:59Z
78917,acuitze-uaricua,und,"","",,Purépecha,Ken-ichi Ueda,2013-05-16T07:58:14Z
288859,acuitze-uaríracua,und,"","",,Purépecha,Ken-ichi Ueda,2013-05-16T07:58:14Z
48448,ahtziri,und,"","",,Purépecha,Ken-ichi Ueda,2013-05-16T07:58:27Z
168915,akarheni,und,"","",,Purépecha,Ken-ichi Ueda,2013-05-16T07:58:37Z
122521,amánchacua,und,"","",,Purépecha,Ken-ichi Ueda,2013-05-16T07:59:12Z
284533,ambástacua,und,"","",,Purépecha,Ken-ichi Ueda,2013-05-16T07:59:23Z
165707,andúmucua,und,"","",,Purépecha,Jorge Rojas S.,2013-05-16T07:59:35Z
79312,apátzicua,und,"","",,Purépecha,Jorge Rojas S.,2013-05-16T07:59:43Z
125147,apópu,und,"","",,Purépecha,harum.koh,2013-05-16T07:59:44Z
62295,atusihuats,und,"","",,Purépecha,Bodo Nuñez Oberg,2013-05-16T08:00:11Z
277430,atusivats,und,"","",,Purépecha,Ken-ichi Ueda,2013-05-16T08:00:11Z
165586,Cacanicua,und,"","",,Purépecha,Steve Jones,2013-05-16T08:02:53Z
48514,cahuasa,und,"","",,Purépecha,Nick Block,2013-05-16T08:03:08Z
139320,Cahuirica,und,"","",,Purépecha,Ken-ichi Ueda,2013-05-16T08:03:08Z
281729,cahuirica,und,"","",,Purépecha,Ken-ichi Ueda,2013-05-16T08:03:08Z
62760,cahuirica,und,"","",,Purépecha,Ken-ichi Ueda,2013-05-16T08:03:08Z
138717,cahuirica,und,"","",,Purépecha,Ken-ichi Ueda,2013-05-16T08:03:08Z
280714,cahuírica,und,"","",,Purépecha,Ken-ichi Ueda,2013-05-16T08:03:09Z
64340,cajecua,und,"","",,Purépecha,Ken-ichi Ueda,2013-05-16T08:03:10Z
206527,Capiri,und,"","",,Purépecha,Ken-ichi Ueda,2013-05-16T08:03:48Z
284200,carámicua,und,"","",,Purépecha,Ken-ichi Ueda,2013-05-16T08:04:04Z
284829,carape,und,"","",,Purépecha,Ken-ichi Ueda,2013-05-16T08:04:05Z
123694,"carasu, carhasi",und,"","",,Purépecha,Ken-ichi Ueda,2013-05-16T08:04:05Z
159126,carátacua,und,"","",,Purépecha,Ken-ichi Ueda,2013-05-16T08:04:05Z
289134,chacamecua,und,"","",,Purépecha,Ken-ichi Ueda,2013-05-16T08:04:49Z
75395,chacua,und,"","",,Purépecha,Ken-ichi Ueda,2013-05-16T08:04:52Z
75396,chacua,und,"","",,Purépecha,Ken-ichi Ueda,2013-05-16T08:04:52Z
316796,chacua,und,"","",,Purépecha,Adrian Bojorquez,2013-05-16T08:04:52Z
146597,chalihuesca,und,"","",,Purépecha,Jorge Rojas S.,2013-05-16T08:04:57Z
289136,chapuz,und,"","",,Purépecha,Ken-ichi Ueda,2013-05-16T08:05:05Z
275346,charapeti,und,"","",,Purépecha,Ken-ichi Ueda,2013-05-16T08:05:05Z
164323,charatzicua,und,"","",,Purépecha,Jorge Rojas S.,2013-05-16T08:05:06Z
283153,chirare,und,"","",,Purépecha,Ken-ichi Ueda,2013-05-16T08:05:38Z
280512,churuqua,und,"","",,Purépecha,Adrian Bojorquez,2013-05-16T08:05:54Z
147260,cirián,und,"","",,Purépecha,Jorge Rojas S.,2013-05-16T08:06:00Z
158336,corónguca,und,"","",,Purépecha,Ken-ichi Ueda,2013-05-16T08:07:04Z
244808,c'uájtsutacu,und,"","",,Purépecha,Ken-ichi Ueda,2013-05-16T08:07:26Z
289775,cuimic,und,"","",,Purépecha,Ken-ichi Ueda,2013-05-16T08:07:43Z
77676,cuisique,und,"","",,Purépecha,harum.koh,2013-05-16T08:07:43Z
54329,cuitziquiendas,und,"","",,Purépecha,Cole Gaerber,2013-05-16T08:07:43Z
123438,cundá,und,"","",,Purépecha,Bodo Nuñez Oberg,2013-05-16T08:07:58Z
122530,cupamu,und,"","",,Purépecha,Ken-ichi Ueda,2013-05-16T08:07:58Z
287909,cupamu,und,"","",,Purépecha,Ken-ichi Ueda,2013-05-16T08:07:58Z
62831,cupanda,und,"","",,Purépecha,Ken-ichi Ueda,2013-05-16T08:07:58Z
288710,curujkerámani,und,"","",,Purépecha,Bodo Nuñez Oberg,2013-05-16T08:07:59Z
76541,cus,und,"","",,Purépecha,Carlos Galindo-Leal,2013-05-16T08:07:59Z
290713,cútacua,und,"","",,Purépecha,Ken-ichi Ueda,2013-05-16T08:08:00Z
62859,enandi,und,"","",,Purépecha,Ken-ichi Ueda,2013-05-16T08:08:20Z
283077,guasicuco,und,"","",,Purépecha,Ken-ichi Ueda,2013-05-16T08:10:26Z
290427,huanito,und,"","",,Purépecha,Ken-ichi Ueda,2013-05-16T08:15:14Z
283341,huararichiri-tsitsiki,und,"","",,Purépecha,Ken-ichi Ueda,2013-05-16T08:15:14Z
83585,huicumu,und,"","",,Purépecha,Ken-ichi Ueda,2013-05-16T08:15:19Z
283991,inhuambo,und,"","",,Purépecha,Carlos Galindo-Leal,2013-05-16T08:15:29Z
140596,itzamacua,und,"","",,Purépecha,Ken-ichi Ueda,2013-05-16T08:15:41Z
57309,jaasi,und,"","",,Purépecha,Bobby McCabe,2013-05-16T08:15:51Z
55854,kakareshku,und,"","",,Purépecha,Stefano Doglio,2013-05-16T08:16:27Z
148361,kaparixakua,und,"","",,Purépecha,Bodo Nuñez Oberg,2013-05-16T08:16:34Z
161821,kutsikua jaiáki,und,"","",,Purépecha,Ken-ichi Ueda,2013-05-16T08:16:45Z
277826,malisu uruata,und,"","",,Purépecha,Ken-ichi Ueda,2013-05-16T08:18:27Z
209860,matixerán,und,"","",,Purépecha,Ken-ichi Ueda,2013-05-16T08:18:59Z
50333,Meshengua,und,"","",,Purépecha,Zinogre,2013-05-16T08:19:09Z
165697,molulo,und,"","",,Purépecha,Ken-ichi Ueda,2013-05-16T08:19:24Z
286579,nendi miti,und,"","",,Purépecha,Ken-ichi Ueda,2013-05-16T08:20:03Z
285783,pachicua,und,"","",,Purépecha,Ken-ichi Ueda,2013-05-16T08:21:10Z
158552,panángksi,und,"","",,Purépecha,Ken-ichi Ueda,2013-05-16T08:22:07Z
132130,pánicua,und,"","",,Purépecha,Adrian Bojorquez,2013-05-16T08:22:07Z
140505,parácata,und,"","",,Purépecha,Ken-ichi Ueda,2013-05-16T08:22:14Z
138592,parácata,und,"","",,Purépecha,Ken-ichi Ueda,2013-05-16T08:22:14Z
134212,Paramu,und,"","",,Purépecha,Ken-ichi Ueda,2013-05-16T08:22:15Z
201455,parencsuni,und,"","",,Purépecha,Ken-ichi Ueda,2013-05-16T08:22:15Z
64017,patamu,und,"","",,Purépecha,Yoshimasa Uchiyama,2013-05-16T08:22:37Z
49569,patzueni,und,"","",,Purépecha,Bobby McCabe,2013-05-16T08:22:39Z
49665,Penhamu,und,"","",,Purépecha,Ken-ichi Ueda,2013-05-16T08:22:47Z
206949,pima,und,"","",,Purépecha,Ken-ichi Ueda,2013-05-16T08:22:58Z
166920,pinzán,und,"","",,Purépecha,joshua_tx,2013-05-16T08:23:06Z
122711,pirimu,und,"","",,Purépecha,Christopher Warneke,2013-05-16T08:23:11Z
286595,querengue,und,"","",,Purépecha,Ken-ichi Ueda,2013-05-16T08:23:42Z
273839,shanin-tzitziki,und,"","",,Purépecha,Ken-ichi Ueda,2013-05-16T08:24:29Z
68562,sharacamata,und,"","",,Purépecha,Ken-ichi Ueda,2013-05-16T08:24:30Z
128533,shaté,und,"","",,Purépecha,Steve Jones,2013-05-16T08:24:30Z
199511,shaté,und,"","",,Purépecha,Steve Jones,2013-05-16T08:24:31Z
207053,shaté,und,"","",,Purépecha,Ken-ichi Ueda,2013-05-16T08:24:31Z
