id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
52508,Pokou,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10076322/common/200224,Rapa,,2021-07-13T13:08:35Z
113981,Pokou,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10076600/common/94082,Rapa,,2021-07-13T13:08:35Z
94016,Korari,und,"","",,Rapa,Zane Roskoph,2021-07-27T17:01:10Z
94016,Patakotako,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10076137/common/200137,Rapa,,2021-07-27T17:01:21Z
113985,Patakotako,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10076605/common/93950,Rapa,,2021-07-27T17:01:21Z
424818,Mokoraa,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10066720/common/55500,Rapa,,2021-07-28T13:28:19Z
83290,Mokoraa,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10072309/common/228154,Rapa,,2021-07-28T13:28:19Z
49641,Mokoraa,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10066719/common/55524,Rapa,,2021-07-28T13:28:19Z
424818,Paraha,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10066720/common/55448,Rapa,,2021-07-28T13:28:31Z
132410,Maito,und,"","",,Rapa,Zane Roskoph,2021-07-28T15:05:11Z
52456,Roi,und,"","",,Rapa,Zane Roskoph,2021-08-01T14:03:36Z
52451,Umetarei,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10066695/common/8203,Rapa,,2021-08-03T16:25:27Z
153280,Omuri,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10069945/common/133263,Rapa,,2021-08-29T12:35:22Z
47228,Omuri,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10069953/common/132294,Rapa,,2021-08-29T12:35:23Z
153280,Urupiti,und,"","",,Rapa,Zane Roskoph,2021-08-29T12:43:12Z
114122,Ikai pererau roa,und,"","",http://www.catalogueoflife.org/annual-checklist/2012/details/species/id/9741333,Rapa,,2021-09-18T19:17:11Z
47257,Ngana,und,"","",http://www.catalogueoflife.org/annual-checklist/2012/details/species/id/9741333,Rapa,,2021-09-20T00:45:56Z
122514,Ta`uo,und,"","",http://www.catalogueoflife.org/annual-checklist/2012/details/species/id/9741333,Rapa,,2021-12-06T01:00:07Z
1360116,Omuri,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10069926/common/131311,Rapa,,2022-03-16T05:01:04Z
