id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
97171,Tipi tipi uri,und,Rapa Nui,"",,Rapanui,Diego Almendras,2019-05-28T23:21:02Z
408683,pipi-Anakena,und,"","",,Rapanui,Diego Almendras,2020-05-14T15:55:02Z
47239,toto amo,und,"","",,Rapanui,Diego Almendras,2020-07-05T03:56:34Z
343884,kōpuku kava,und,"","",,Rapanui,Diego Almendras,2020-07-10T17:40:32Z
94016,Mārari,und,"","",,Rapanui,Zane Roskoph,2021-07-27T17:01:48Z
94016,Mōri,und,"","",,Rapanui,Zane Roskoph,2021-07-27T17:02:15Z
615592,Māhaki,und,"","",,Rapanui,Zane Roskoph,2021-08-23T11:50:36Z
617410,Kōreva,und,"","",,Rapanui,Zane Roskoph,2021-09-06T14:10:56Z
617699,Kōreha mingo,und,"","",,Rapanui,Zane Roskoph,2021-09-06T14:12:09Z
617699,Kōreha tuamingo,und,"","",,Rapanui,Zane Roskoph,2021-09-06T14:12:31Z
619638,Māmata,und,"","",,Rapanui,Zane Roskoph,2021-09-06T14:16:07Z
111038,Kōtea hiva,und,"","",,Rapanui,Zane Roskoph,2021-09-06T14:19:26Z
616958,Pāratoti,und,"","",,Rapanui,Zane Roskoph,2021-09-06T14:37:29Z
359520,Nohu iti iti,und,"","",,Rapanui,Zane Roskoph,2021-09-06T14:57:41Z
47159,nga'atu,und,"","",,Rapanui,Zane Roskoph,2021-09-06T15:14:21Z
49498,Paoa,und,"","",,Rapanui,Zane Roskoph,2021-10-17T14:42:01Z
49269,Titeve tara tara,und,"","",,Rapanui,Zane Roskoph,2021-11-07T23:49:44Z
1307233,Nehe nehe,und,"ísla de Pascua, VS, CL","",,Rapanui,Waldo L. Moyano,2021-11-15T19:07:36Z
57399,Totoamo hiku kio'e,und,"","",,Rapanui,Diego Almendras,2022-01-06T16:28:07Z
1316901,Nohu iti iti,und,"","",https://www.inaturalist.org/taxon_names/2820145/edit,Rapanui,,2022-03-15T23:12:34Z
1316099,Matiro,und,"","",https://www.inaturalist.org/taxon_names/2652733/edit,Rapanui,,2022-05-10T23:48:20Z
200663,moko uri uri,und,"","",,Rapanui,Cole Gaerber,2022-05-21T17:54:23Z
