id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
49617,Cero,ro,"","","FA Bisby, YR Roskov, MA Ruggiero, TM Orrell, LE Paglinawan, PW Brewer, N Bailly, J van Hertum, eds (2007). Species 2000 & ITIS Catalogue of Life: 2007 Annual Checklist Taxonomic Classification. CD-ROM; Species 2000: Reading, U.K.",Romanian,Donald Davesne,2009-02-15T05:31:08Z
103293,Bufalo cu gura mare,ro,"","",http://www.ubio.org/browser/details.php?namebankID=1542015,Romanian,,2014-05-16T06:30:27Z
103292,Bufalo cu gura mica,ro,"","",http://www.ubio.org/browser/details.php?namebankID=1542014,Romanian,,2014-05-16T06:30:28Z
61968,Ploșniță vărgată,ro,"","",,Romanian,Manuela B,2015-05-06T17:00:40Z
187795,Cordea,ro,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10065538/common/227935,Romanian,,2016-03-01T17:49:22Z
95099,Grindel,ro,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10061345/common/279237,Romanian,,2016-09-22T15:21:11Z
56050,Mustel,ro,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10055361/common/321230,Romanian,,2017-01-26T19:22:36Z
132600,Tei pucios,ro,"","",,Romanian,corina_tranca,2017-09-27T12:36:22Z
57278,"Cenușer, Cenușar, Falsul otetar",ro,"","",,Romanian,corina_tranca,2017-09-27T12:38:53Z
43042,Arici,ro,"","",,Romanian,John E. Christensen,2017-11-30T10:58:34Z
2,Cordate,ro,"","",,Romanian,John E. Christensen,2017-11-30T11:00:39Z
47126,Plante,ro,"","",,Romanian,John E. Christensen,2017-12-06T07:43:54Z
40151,Mamifere,ro,"","",,Romanian,John E. Christensen,2017-12-18T06:45:11Z
47124,Dicotiledonate,ro,"","",,Romanian,John E. Christensen,2017-12-20T08:17:17Z
50616,Noptiță,ro,"","",,Romanian,John E. Christensen,2017-12-24T13:15:31Z
5108,Uliu porumbar,ro,"","",,Romanian,John E. Christensen,2018-01-01T14:28:05Z
3,Păsări,ro,"","",,Romanian,John E. Christensen,2018-01-01T14:32:03Z
26039,Crocodil,ro,"","",,Romanian,John E. Christensen,2018-01-14T07:10:21Z
204472,Şorecar,ro,"","",,Romanian,John E. Christensen,2018-01-17T15:43:36Z
111527,Raje e bute,ro,"","",http://eol.org/pages/52657054,Romanian,Bobby McCabe,2018-01-21T14:44:05Z
47582,Stridie,ro,"","",,Romanian,John E. Christensen,2018-02-12T08:19:40Z
10070,Cinteză,ro,"","",,Romanian,John E. Christensen,2018-02-12T12:54:51Z
9398,Sticlete,ro,"","",,Romanian,John E. Christensen,2018-02-14T11:08:56Z
115167,Pește spadă,ro,"","",,Romanian,John E. Christensen,2018-02-17T13:17:56Z
