id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
340245,Uwongo,und,"","",,Rukwangali,Botswanabugs,2020-01-11T07:29:27Z
567325,Mumangondijamba,und,"","",,Rukwangali,Botswanabugs,2020-01-11T07:56:19Z
431074,Ngogo,und,"","",,Rukwangali,Botswanabugs,2020-01-11T08:01:46Z
861928,Mungamba,und,"","",,Rukwangali,Botswanabugs,2020-01-11T08:23:33Z
340228,Mukekete,und,"","",,Rukwangali,Botswanabugs,2020-01-11T08:33:45Z
469308,Sihorowa,und,"","",,Rukwangali,Botswanabugs,2020-01-11T08:45:02Z
431063,Muravi,und,"","",,Rukwangali,Botswanabugs,2020-01-11T08:55:43Z
588676,Musinga,und,"","",,Rukwangali,Botswanabugs,2020-01-11T14:29:11Z
340336,Nombe,und,"","",,Rukwangali,Botswanabugs,2020-01-11T14:35:29Z
340243,Ugava,und,"","",,Rukwangali,Botswanabugs,2020-01-11T14:43:49Z
81500,Uyu,und,"","",,Rukwangali,Botswanabugs,2020-01-11T15:11:43Z
595009,Eguni,und,"","",,Rukwangali,Botswanabugs,2020-01-11T15:23:12Z
336810,Mugoro,und,"","",,Rukwangali,Botswanabugs,2020-01-11T15:29:56Z
527004,Ngandu,und,"","",,Rukwangali,Botswanabugs,2020-01-11T16:05:44Z
340166,Sipeke,und,"","",,Rukwangali,Botswanabugs,2020-01-11T16:15:45Z
340245,uguva,und,"","",,Rukwangali,Botswanabugs,2020-01-13T07:14:12Z
340245,uge,und,"","",,Rukwangali,Botswanabugs,2020-01-13T07:14:53Z
340245,"mawongo,",und,"","",,Rukwangali,Botswanabugs,2020-01-13T07:15:37Z
340245,"ewongo,",und,"","",,Rukwangali,Botswanabugs,2020-01-13T07:16:10Z
340245,ewongo,und,"","",,Rukwangali,Botswanabugs,2020-01-13T07:16:38Z
142774,kangungu,und,"","",,Rukwangali,Botswanabugs,2022-01-09T04:41:09Z
2269,sikambu,und,"","",,Rukwangali,Botswanabugs,2022-01-09T05:10:01Z
