id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
546325,Mupanda,und,"","",,Rumanyo,Botswanabugs,2020-01-11T07:44:47Z
431074,Ngogo,und,"","",,Rumanyo,Botswanabugs,2020-01-11T08:01:09Z
469308,Sihorowa,und,"","",,Rumanyo,Botswanabugs,2020-01-11T08:45:39Z
431063,Muravi,und,"","",,Rumanyo,Botswanabugs,2020-01-11T08:56:10Z
340336,Mukerete,und,"","",,Rumanyo,Botswanabugs,2020-01-11T14:36:09Z
169414,Uguni,und,"","",,Rumanyo,Botswanabugs,2020-01-11T15:00:57Z
169414,Ghughumi,und,"","",,Rumanyo,Botswanabugs,2020-01-11T15:01:47Z
81500,Uyu,und,"","",,Rumanyo,Botswanabugs,2020-01-11T15:11:00Z
336810,Mugoro,und,"","",,Rumanyo,Botswanabugs,2020-01-11T15:29:29Z
527004,Ngandu,und,"","",,Rumanyo,Botswanabugs,2020-01-11T16:06:12Z
592652,Muputwe,und,"","",,Rumanyo,Botswanabugs,2020-01-11T16:09:06Z
340245,uge,und,"","",,Rumanyo,Botswanabugs,2020-01-13T07:17:29Z
595946,ghuntėu,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Rumanyo,Ken-ichi Ueda,2021-10-21T20:22:41Z
601533,shiginda,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Rumanyo,Ken-ichi Ueda,2021-10-21T20:22:41Z
601533,udjwa,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Rumanyo,Ken-ichi Ueda,2021-10-21T20:22:42Z
594427,mungandu,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Rumanyo,Ken-ichi Ueda,2021-10-21T20:22:42Z
81500,liuyu,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Rumanyo,Ken-ichi Ueda,2021-10-21T20:22:42Z
340225,musheshe,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Rumanyo,Ken-ichi Ueda,2021-10-21T20:22:43Z
340234,mpunya,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Rumanyo,Ken-ichi Ueda,2021-10-21T20:22:43Z
67321,muntjutėi,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Rumanyo,Ken-ichi Ueda,2021-10-21T20:22:44Z
70065,ghukudhi,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Rumanyo,Ken-ichi Ueda,2021-10-21T20:22:44Z
70065,munkudhi,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Rumanyo,Ken-ichi Ueda,2021-10-21T20:22:44Z
70065,unkundi,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Rumanyo,Ken-ichi Ueda,2021-10-21T20:22:45Z
340238,utundungu,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Rumanyo,Ken-ichi Ueda,2021-10-21T20:22:45Z
184086,mukiki,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Rumanyo,Ken-ichi Ueda,2021-10-21T20:22:45Z
598569,mugcara,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Rumanyo,Ken-ichi Ueda,2021-10-21T20:22:46Z
583617,ghutėimba,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Rumanyo,Ken-ichi Ueda,2021-10-21T20:22:46Z
349756,kėtė,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Rumanyo,Ken-ichi Ueda,2021-10-21T20:22:46Z
349756,mweye,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Rumanyo,Ken-ichi Ueda,2021-10-21T20:22:47Z
583881,shikwewo,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Rumanyo,Ken-ichi Ueda,2021-10-21T20:22:47Z
598741,sihororwa,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Rumanyo,Ken-ichi Ueda,2021-10-21T20:22:47Z
340194,mungoma,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Rumanyo,Ken-ichi Ueda,2021-10-21T20:22:48Z
584449,mparara,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Rumanyo,Ken-ichi Ueda,2021-10-21T20:22:48Z
343032,omputi,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Rumanyo,Ken-ichi Ueda,2021-10-21T20:22:48Z
599386,ukuyo,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Rumanyo,Ken-ichi Ueda,2021-10-21T20:22:49Z
585998,licava,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Rumanyo,Ken-ichi Ueda,2021-10-21T20:22:49Z
340173,ushika,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Rumanyo,Ken-ichi Ueda,2021-10-21T20:22:49Z
567067,mpundu,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Rumanyo,Ken-ichi Ueda,2021-10-21T20:22:49Z
485445,shivi,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Rumanyo,Ken-ichi Ueda,2021-10-21T20:22:50Z
81491,muuvunguvungu,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Rumanyo,Ken-ichi Ueda,2021-10-21T20:22:50Z
600317,mbunggururu,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Rumanyo,Ken-ichi Ueda,2021-10-21T20:22:50Z
416644,udjwe,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Rumanyo,Ken-ichi Ueda,2021-10-21T20:22:51Z
591313,mukanga,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Rumanyo,Ken-ichi Ueda,2021-10-21T20:22:51Z
138688,uparara,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Rumanyo,Ken-ichi Ueda,2021-10-21T20:22:51Z
138688,uyeve,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Rumanyo,Ken-ichi Ueda,2021-10-21T20:22:52Z
