id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
8234,ĆIYE,und,"","",,Saanich,Juli Mallett,2020-05-05T00:32:10Z
12727,QESḴEḴ,und,"","",,Saanich,Juli Mallett,2020-05-05T00:36:20Z
7111,SESO¸SW̱,und,"","",,Saanich,Juli Mallett,2020-05-05T00:42:04Z
17855,TEMEȽÁĆSEṈ,und,"","",,Saanich,Juli Mallett,2020-05-05T00:43:04Z
144820,ȾEȾḴIYO¸ES,und,"","",,Saanich,Juli Mallett,2020-05-05T00:43:50Z
47543,ELILE¸IȽĆ,und,"","",,Saanich,Juli Mallett,2020-06-04T04:10:11Z
51046,ḰEḰEYIȽĆ,und,"","",,Saanich,Juli Mallett,2020-06-04T04:12:16Z
51646,DEḰEṈIȽĆ,und,"","",,Saanich,Juli Mallett,2020-06-04T04:13:01Z
75756,SENI¸IȽĆ,und,"","",,Saanich,Juli Mallett,2020-06-04T04:14:54Z
77832,KIDE,und,"","",,Saanich,Juli Mallett,2020-06-04T04:15:23Z
48441,DḴÁ¸IȽĆ,und,"","",,Saanich,Juli Mallett,2020-06-04T04:15:56Z
53419,ȾEX̱EN¸IȽĆ,und,"","",,Saanich,Juli Mallett,2020-06-07T23:38:49Z
707967,turkplister,und,Sweden,SE,,Saanich,Kim Falck,2021-01-26T00:53:44Z
1290036,SQEQOTE¸,und,"","",https://www.inaturalist.org/taxon_names/2063539/edit,Saanich,,2021-10-08T06:28:09Z
