id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
53692,St'thkway',und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10078652/common/19333,Salish,,2021-07-09T13:38:31Z
48648,St'thkway',und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10078694/common/45850,Salish,,2021-07-09T13:38:31Z
107572,Schaanexw,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10078651/common/19249,Salish,,2021-07-09T13:41:14Z
53692,Schaanexw,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10078652/common/19347,Salish,,2021-07-09T13:41:14Z
69922,Schaanexw,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10078655/common/19027,Salish,,2021-07-09T13:41:14Z
54191,Schaanexw,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10078657/common/18951,Salish,,2021-07-09T13:41:15Z
48648,Schaanexw,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10078694/common/45718,Salish,,2021-07-09T13:41:15Z
107570,Schaanexw,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10078648/common/19429,Salish,,2021-07-09T13:41:15Z
54191,K'wolexw,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10078657/common/18977,Salish,,2021-07-09T13:41:30Z
48648,K'wolexw,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10078694/common/45792,Salish,,2021-07-09T13:41:31Z
107570,K'wolexw,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10078648/common/19469,Salish,,2021-07-09T13:41:31Z
107572,K'wolexw,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10078651/common/19272,Salish,,2021-07-09T13:41:32Z
53692,K'wolexw,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10078652/common/19359,Salish,,2021-07-09T13:41:32Z
69922,K'wolexw,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10078655/common/19061,Salish,,2021-07-09T13:41:32Z
107572,K'wit'thet,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10078651/common/19273,Salish,,2021-07-09T13:41:33Z
69922,K'wit'thet,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10078655/common/19060,Salish,,2021-07-09T13:41:34Z
48648,K'wit'thet,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10078694/common/45793,Salish,,2021-07-09T13:41:34Z
111991,K'wit'thet,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10078736/common/45163,Salish,,2021-07-09T13:41:35Z
232769,K'wit'thet,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10064545/common/206537,Salish,,2021-07-09T13:41:35Z
107570,K'wit'thet,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10078648/common/19471,Salish,,2021-07-09T13:41:35Z
53692,Sináech,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10078652/common/19340,Salish,,2021-07-09T13:42:17Z
111991,Spak'ws schaanexw,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10078736/common/45204,Salish,,2021-07-09T13:42:17Z
69922,Sináech,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10078655/common/19022,Salish,,2021-07-09T13:42:17Z
107572,Spak'ws schaanexw,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10078651/common/19238,Salish,,2021-07-09T13:42:18Z
54191,Sináech,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10078657/common/18949,Salish,,2021-07-09T13:42:18Z
54191,Slhop' schaanexw,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10078657/common/18946,Salish,,2021-07-09T13:42:18Z
53692,Spak'ws schaanexw,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10078652/common/19335,Salish,,2021-07-09T13:42:18Z
111991,Sk'wel'eng's schaanexw,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10078736/common/45207,Salish,,2021-07-09T13:42:18Z
69922,Spak'ws schaanexw,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10078655/common/19014,Salish,,2021-07-09T13:42:18Z
48648,Sináech,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10078694/common/45710,Salish,,2021-07-09T13:42:18Z
232769,Slhop' schaanexw,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10064545/common/206531,Salish,,2021-07-09T13:42:18Z
54191,Spak'ws schaanexw,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10078657/common/18945,Salish,,2021-07-09T13:42:19Z
107572,Sk'wel'eng's schaanexw,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10078651/common/19240,Salish,,2021-07-09T13:42:19Z
48648,Slhop' schaanexw,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10078694/common/45706,Salish,,2021-07-09T13:42:19Z
107570,Sináech,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10078648/common/19426,Salish,,2021-07-09T13:42:19Z
232769,Spak'ws schaanexw,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10064545/common/206530,Salish,,2021-07-09T13:42:19Z
107572,Sináech,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10078651/common/19244,Salish,,2021-07-09T13:42:19Z
53692,Sk'wel'eng's schaanexw,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10078652/common/19339,Salish,,2021-07-09T13:42:19Z
107570,Slhop' schaanexw,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10078648/common/19425,Salish,,2021-07-09T13:42:19Z
