id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
154282,Puggot,und,"","",,Sama,Zane Roskoph,2021-07-27T16:38:18Z
135283,Labahita,und,"","",,Sama,Zane Roskoph,2021-07-27T18:12:31Z
63597,Pilok lusay,und,"","",,Sama,Zane Roskoph,2021-07-27T19:30:46Z
424818,Layag-layag,und,"","",,Sama,Zane Roskoph,2021-07-28T13:24:27Z
53669,Epet,und,"","",,Sama,Zane Roskoph,2021-07-30T11:39:14Z
83884,Puggot,und,"","",,Sama,Zane Roskoph,2021-07-30T19:24:40Z
123227,Danggit,und,"","",,Sama,Zane Roskoph,2021-08-03T12:03:38Z
123227,Mangilap,und,"","",,Sama,Zane Roskoph,2021-08-03T12:05:58Z
52451,Kumay,und,"","",,Sama,Zane Roskoph,2021-08-03T16:20:11Z
153280,Talakitok,und,"","",,Sama,Zane Roskoph,2021-08-29T13:13:49Z
153280,Mangsa,und,"","",,Sama,Zane Roskoph,2021-08-29T13:15:12Z
196838,Timbongan,und,"","",,Sama,Zane Roskoph,2021-09-12T23:15:46Z
530730,Batad,und,"","",,Sama,Zane Roskoph,2021-09-15T22:55:11Z
47257,Tangigue,und,"","",,Sama,Zane Roskoph,2021-09-20T00:36:43Z
47257,Tangih,und,"","",,Sama,Zane Roskoph,2021-09-20T00:37:35Z
359360,Kusung,und,"","",,Sama,Zane Roskoph,2021-09-25T14:05:45Z
97098,Loro,und,"","",,Sama,Zane Roskoph,2021-09-25T15:28:09Z
97004,Lapu-lapu,und,"","",,Sama,Zane Roskoph,2021-10-09T16:24:44Z
49498,Samarang,und,"","",,Sama,Zane Roskoph,2021-10-17T14:36:12Z
47251,Bangasan,und,"","",,Sama,Zane Roskoph,2021-10-17T23:30:58Z
47251,Rompe,und,"","",,Sama,Zane Roskoph,2021-10-17T23:32:15Z
47251,Baracuda,und,"","",,Sama,Zane Roskoph,2021-10-17T23:33:37Z
49269,Daut-dotan,und,"","",,Sama,Zane Roskoph,2021-11-07T23:45:18Z
93987,Piit,und,"","",,Sama,Zane Roskoph,2021-12-04T16:44:47Z
93987,Puyo,und,"","",,Sama,Zane Roskoph,2021-12-04T16:45:14Z
93987,Puyo-puyo,und,"","",,Sama,Zane Roskoph,2021-12-04T16:47:38Z
122514,Salamulyete,und,"","",,Sama,Zane Roskoph,2021-12-06T00:52:48Z
122514,Timbungan,und,"","",,Sama,Zane Roskoph,2021-12-06T00:54:22Z
122514,Timbongan,und,"","",,Sama,Zane Roskoph,2021-12-06T00:55:41Z
121661,Tabayong,und,"","",,Sama,Zane Roskoph,2021-12-28T15:44:00Z
244366,Puggot,und,"","",,Sama,Zane Roskoph,2021-12-28T16:18:11Z
