id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
553615,Ma'anunu,und,"","",,Samoan,James Ojascastro,2018-07-20T16:43:07Z
131236,siama,und,"","",,Samoan,James K. Douch,2020-02-23T03:05:59Z
879815,pepe ae,und,"","",,Samoan,max kirsch,2021-04-14T13:56:04Z
179849,Tu'u'u-mo'o,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10070358/common/53624,Samoan,,2021-07-13T12:28:18Z
179849,Vaiuli-sama,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10070358/common/53623,Samoan,,2021-07-13T12:28:29Z
102059,Sugale,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10076365/common/59005,Samoan,,2021-07-13T12:50:29Z
111023,Sugale,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10076539/common/142411,Samoan,,2021-07-13T12:50:29Z
102061,Sugale,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10076367/common/58986,Samoan,,2021-07-13T12:50:29Z
94024,Sugale,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10076145/common/200019,Samoan,,2021-07-13T12:50:30Z
102075,Sugale,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10076383/common/58793,Samoan,,2021-07-13T12:50:30Z
95812,Sugale,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10076152/common/125344,Samoan,,2021-07-13T12:50:30Z
103904,Sugale,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10076432/common/204523,Samoan,,2021-07-13T12:50:31Z
95819,Sugale,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10076159/common/125215,Samoan,,2021-07-13T12:50:31Z
105065,Sugale,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10076457/common/192587,Samoan,,2021-07-13T12:50:31Z
102029,Sugale,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10076329/common/59535,Samoan,,2021-07-13T12:50:32Z
110994,Sugale,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10076535/common/109301,Samoan,,2021-07-13T12:50:32Z
113981,Sugale-samasama,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10076600/common/94081,Samoan,,2021-07-13T13:10:03Z
100122,Ata'ata-uli,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10073085/common/44447,Samoan,,2021-07-15T12:21:54Z
100111,Ata'ata-uli,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10073135/common/42213,Samoan,,2021-07-15T12:21:54Z
100111,Vaolo,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10073135/common/42138,Samoan,,2021-07-15T12:22:05Z
84996,Malie,und,"","",,Samoan,Zane Roskoph,2021-07-16T16:44:05Z
67971,Fai-tala,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10078380/common/265771,Samoan,,2021-07-19T14:40:55Z
67971,Fai-malie,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10078380/common/265770,Samoan,,2021-07-19T14:41:14Z
111716,Pusi,und,"","",,Samoan,Zane Roskoph,2021-07-20T15:54:22Z
196634,Mano'o-lele,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10074167/common/3154,Samoan,,2021-07-27T15:12:16Z
52508,Sugale-lupe,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10076322/common/200217,Samoan,,2021-07-27T15:51:04Z
102580,Sugale-lupe,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10076406/common/171753,Samoan,,2021-07-27T15:51:04Z
52508,Gutusi'o,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10076322/common/200251,Samoan,,2021-07-27T15:51:10Z
52508,Gutu'umi,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10076322/common/200249,Samoan,,2021-07-27T15:51:17Z
110971,Sugale-manifi,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10076525/common/156952,Samoan,,2021-07-27T16:23:47Z
110972,Sugale-manifi,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10076526/common/156920,Samoan,,2021-07-27T16:23:48Z
110974,Sugale-manifi,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10076528/common/156895,Samoan,,2021-07-27T16:23:48Z
110974,Sugale-tusitusi,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10076528/common/156896,Samoan,,2021-07-27T16:23:55Z
110971,Sugale-tusitusi,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10076525/common/156953,Samoan,,2021-07-27T16:23:56Z
110972,Sugale-tusitusi,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10076526/common/156919,Samoan,,2021-07-27T16:23:56Z
154282,Sumu-papa,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10084940/common/227940,Samoan,,2021-07-27T16:39:36Z
94016,Sugale-mafalaugutu,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10076137/common/200128,Samoan,,2021-07-27T17:04:05Z
96937,Tifitifi,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10070590/common/3804,Samoan,,2021-07-27T17:46:34Z
97160,Tifitifi,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10069758/common/30690,Samoan,,2021-07-27T17:46:35Z
97167,Tifitifi,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10069767/common/30553,Samoan,,2021-07-27T17:46:35Z
135283,Alogo,und,"","",,Samoan,Zane Roskoph,2021-07-27T18:19:28Z
63597,Sugale-gasufi,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10076469/common/36314,Samoan,,2021-07-27T19:32:58Z
63597,Sugale-la'o,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10076469/common/36313,Samoan,,2021-07-27T19:33:11Z
63597,Sugale-taili,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10076469/common/36312,Samoan,,2021-07-27T19:33:18Z
424818,Iliu,und,"","",,Samoan,Zane Roskoph,2021-07-28T13:30:07Z
49641,Pe'ape'a,und,"","",,Samoan,Zane Roskoph,2021-07-28T14:05:37Z
49641,Pitopito,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10066719/common/55519,Samoan,,2021-07-28T14:05:49Z
196488,Mano'o-sugale,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10071774/common/201671,Samoan,,2021-07-28T14:07:54Z
106696,Mano'o-sugale,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10071775/common/201654,Samoan,,2021-07-28T14:07:54Z
196489,Mano'o-sugale,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10071773/common/201679,Samoan,,2021-07-28T14:07:55Z
96940,Tu'u'u-alomu,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10070593/common/3762,Samoan,,2021-07-28T14:18:56Z
132410,Ponepone,und,"","",,Samoan,Zane Roskoph,2021-07-28T15:05:54Z
344685,Mano'o-la'o,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10068430/common/178331,Samoan,,2021-07-28T23:37:56Z
424219,Mano'o-la'o,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10068428/common/178345,Samoan,,2021-07-28T23:37:56Z
53669,Sumu-pe'a,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10084948/common/235475,Samoan,,2021-07-30T11:41:42Z
141843,Mano'o-sina,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10075224/common/192769,Samoan,,2021-07-30T15:31:23Z
196645,Mano'o-sina,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10075226/common/192731,Samoan,,2021-07-30T15:31:24Z
179875,Mano'o-sina,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10075227/common/192704,Samoan,,2021-07-30T15:31:24Z
529378,La'otale,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10064649/common/143698,Samoan,,2021-07-30T19:02:49Z
121321,La'otale,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10064622/common/52481,Samoan,,2021-07-30T19:02:49Z
121321,Nofu,und,"","",,Samoan,Zane Roskoph,2021-07-30T19:03:07Z
83884,Sumu-uo'uo,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10084953/common/180613,Samoan,,2021-07-30T19:27:48Z
52456,Gatala-uli,und,"","",,Samoan,Zane Roskoph,2021-08-01T14:12:12Z
52456,Loi,und,"","",,Samoan,Zane Roskoph,2021-08-01T14:13:11Z
196485,Ma'ulu,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10071815/common/124696,Samoan,,2021-08-03T12:51:30Z
196487,Ma'ulu,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10071807/common/124773,Samoan,,2021-08-03T12:51:30Z
196486,Ma'ulu,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10071811/common/124721,Samoan,,2021-08-03T12:51:31Z
52451,Ila'ilia,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10066695/common/8283,Samoan,,2021-08-03T16:26:13Z
52451,Umelei,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10066695/common/8204,Samoan,,2021-08-03T16:26:20Z
345909,Tilotai,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10071819/common/124675,Samoan,,2021-08-03T19:16:19Z
115024,La'ofia,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10076613/common/229349,Samoan,,2021-08-06T02:21:31Z
115025,La'ofia,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10076614/common/229339,Samoan,,2021-08-06T02:21:31Z
334965,Tu'u'u-malaumataputa,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10070527/common/100017,Samoan,,2021-08-06T11:26:30Z
96995,Gatala-sama,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10073044/common/60952,Samoan,,2021-08-09T14:44:41Z
196836,Matulau,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10077033/common/64991,Samoan,,2021-08-10T01:49:28Z
196836,Matulau-moana,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10077033/common/64992,Samoan,,2021-08-10T01:49:38Z
196836,Moana,und,"","",,Samoan,Zane Roskoph,2021-08-10T01:50:13Z
52323,Sugale-mumu,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10076294/common/142014,Samoan,,2021-08-12T16:05:51Z
52323,Sugale-tala'ula,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10076294/common/142013,Samoan,,2021-08-12T16:05:57Z
