id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
157894,Harita-manjari,und,"","",http://www.ubio.org/browser/details.php?namebankID=5422649,Sanskrit,Ken-ichi Ueda,2013-01-12T08:04:26Z
369985,Mahadronah,und,"","",,Sanskrit,Chandan Pandey,2015-09-04T10:55:34Z
127682,mudgaparni,und,"","",,Sanskrit,Chandan Pandey,2015-10-09T12:38:52Z
41651,ऋक्ष,und,"","",,Sanskrit,Bobby McCabe,2018-01-03T05:00:32Z
787528,Rishyagandha,und,"","",,Sanskrit,faerthen,2018-10-19T19:36:19Z
805392,Jivanti,und,"","",,Sanskrit,Kai-Philipp Schablewski,2018-12-03T00:28:41Z
805392,Arkapushpi,und,"","",,Sanskrit,Kai-Philipp Schablewski,2018-12-03T00:28:57Z
70027,नागदामिनी,und,"","",,Sanskrit,John E. Christensen,2019-02-03T13:38:36Z
40151,सस्तनः,und,"","",,Sanskrit,John E. Christensen,2019-02-07T16:12:20Z
82814,कमलम्,und,"","",,Sanskrit,John E. Christensen,2019-05-05T10:43:41Z
160294,भाण्डि,und,"","",,Sanskrit,harshithjv,2019-07-14T11:04:49Z
160294,भण्डीरी,und,"","",,Sanskrit,harshithjv,2019-07-14T11:05:05Z
160294,मण्डूकपर्णी,und,"","",,Sanskrit,harshithjv,2019-07-14T11:05:23Z
122835,आलूकी,und,"","",,Sanskrit,harshithjv,2019-07-14T12:38:16Z
122835,आलुक़ाम,und,"","",,Sanskrit,harshithjv,2019-07-14T12:38:44Z
122835,आलूपम,und,"","",,Sanskrit,harshithjv,2019-07-14T12:39:23Z
122835,कच्छी,und,"","",,Sanskrit,harshithjv,2019-07-14T12:39:59Z
415642,बिभीतक,und,"","",,Sanskrit,Yann Kemper,2020-11-22T05:42:16Z
7068,चक्रवाक   (chakravaka),und,"","",,Sanskrit,yak_czechia,2020-11-27T12:33:54Z
193609,Gokaṇṭa,und,"","",,Sanskrit,harshithjv,2021-04-03T05:52:10Z
193609,कोकिलाक्षः [kokilaksah],und,"","",,Sanskrit,harshithjv,2021-04-03T05:59:44Z
348627,Prasarini,und,"","",,Sanskrit,Botswanabugs,2021-07-27T05:33:23Z
30472,काळिङ्गसर्प,und,"","",,Sanskrit,Zane Roskoph,2021-08-02T18:37:24Z
199918,नील-भोगिन् अश्टभुज,und,"","",,Sanskrit,Zane Roskoph,2021-08-09T11:36:52Z
123356,नागरङ्गफलम्,und,"","",,Sanskrit,Zane Roskoph,2021-08-10T12:47:53Z
41964,सिंहः पशुः,und,"","",,Sanskrit,Zane Roskoph,2021-08-24T15:12:29Z
41967,व्याघ्रः,und,"","",,Sanskrit,Zane Roskoph,2021-08-26T16:29:10Z
369469,आपस्तम्भिनी [apashtambhini],und,"","",,Sanskrit,harshithjv,2021-10-27T05:09:05Z
369469,चित्रफला [chitraphala],und,"","",,Sanskrit,harshithjv,2021-10-27T05:09:23Z
369469,लिङ्गजा [lingaja],und,"","",,Sanskrit,harshithjv,2021-10-27T05:09:44Z
369469,लिङ्गिनी [lingini],und,"","",,Sanskrit,harshithjv,2021-10-27T05:10:01Z
369469,शिववल्ली [shivavalli],und,"","",,Sanskrit,harshithjv,2021-10-27T05:10:17Z
