id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
123070,ᱢᱮᱨᱚᱢ,sat,"","",,Santali,John E. Christensen,2018-12-30T16:06:50Z
123356,ᱡᱟ.ᱢᱵᱤᱨ ᱫᱟᱨᱮ,sat,"","",,Santali,Zane Roskoph,2021-08-10T13:00:58Z
41644,ᱦᱤᱢ ᱵᱟᱱᱟ,sat,"","",,Santali,Zane Roskoph,2021-08-11T17:00:25Z
41964,ᱡᱟᱴᱟᱠᱩᱞ,sat,"","",,Santali,Zane Roskoph,2021-08-24T15:11:57Z
41967,ᱪᱮᱴᱨᱟ,sat,"","",,Santali,Zane Roskoph,2021-08-26T16:29:40Z
41967,ᱛᱟᱹᱨᱩᱵ,sat,"","",,Santali,Zane Roskoph,2021-08-26T16:29:52Z
48872,ᱥᱟᱫᱷᱨᱚᱬ ᱩᱞ,sat,"","",,Santali,Prasanta Hembram,2022-02-26T14:25:29Z
62876,ᱢᱟᱱᱫᱟᱨ,sat,India,IN,,Santali,Prasanta Hembram,2022-02-27T03:01:21Z
345556,ᱛᱟᱞᱮ,sat,"","",,Santali,Prasanta Hembram,2022-03-17T13:10:17Z
56739,ᱡᱟᱲᱟ,sat,"","",,Santali,Prasanta Hembram,2022-04-07T05:01:49Z
48875,ᱩᱞ,sat,"","",,Santali,Prasanta Hembram,2022-04-07T06:36:34Z
41944,ᱯᱩᱥᱤ,sat,"","",,Santali,Prasanta Hembram,2022-04-07T07:14:03Z
42043,ᱥᱮᱛᱟ,sat,"","",,Santali,Prasanta Hembram,2022-04-07T07:14:40Z
56739,Jada,sat,"","",,Santali,Prasanta Hembram,2022-04-08T12:23:13Z
48514,ᱢᱟᱹᱨᱤᱪ,sat,"","",,Santali,Prasanta Hembram,2022-04-08T12:27:23Z
160766,ᱛᱟᱦᱮᱨ,sat,"","",,Santali,Prasanta Hembram,2022-04-08T12:28:43Z
52329,ᱱᱟᱹᱲᱤ ᱜᱟᱹᱱᱫᱷᱟᱹᱨᱤ,sat,"","",,Santali,Prasanta Hembram,2022-04-08T12:38:11Z
122835,ᱥᱟᱹᱨᱩ,sat,"","",,Santali,Prasanta Hembram,2022-04-08T12:54:00Z
48891,ᱢᱟᱱᱫᱟᱨ,sat,"","",,Santali,Prasanta Hembram,2022-04-21T13:55:36Z
72295,ᱠᱷᱤᱡᱩᱨ,sat,"","",,Santali,Prasanta Hembram,2022-04-21T13:57:17Z
68702,ᱟᱶᱨᱟ,sat,"","",,Santali,Prasanta Hembram,2022-04-21T14:01:16Z
166746,ᱟᱶᱨᱟ ᱥᱩᱲᱤ,sat,"","",,Santali,Prasanta Hembram,2022-04-21T14:02:30Z
62910,ᱠᱟᱭᱨᱟ,sat,"","",,Santali,Prasanta Hembram,2022-04-21T18:59:36Z
169518,ᱠᱩᱫ,sat,"","",,Santali,Prasanta Hembram,2022-04-22T03:00:02Z
169518,ᱰᱟᱹᱣᱠᱟᱹ,sat,"","",,Santali,Prasanta Hembram,2022-04-22T03:00:38Z
47170,ᱜᱩᱢᱟᱹ,sat,"","",,Santali,Prasanta Hembram,2022-04-22T03:05:01Z
47169,ᱩᱫ,sat,"","",,Santali,Prasanta Hembram,2022-04-22T03:07:58Z
68687,ᱢᱩᱨᱩᱫ,sat,"","",,Santali,Prasanta Hembram,2022-04-22T03:09:04Z
68681,ᱢᱩᱨᱩᱫ,sat,"","",,Santali,Prasanta Hembram,2022-04-22T03:20:36Z
78555,ᱠᱷᱤᱡᱩᱨ,sat,"","",,Santali,Prasanta Hembram,2022-04-22T03:21:16Z
79312,ᱠᱩᱥᱩᱢᱵᱤ,sat,"","",,Santali,Prasanta Hembram,2022-04-22T03:23:22Z
181060,ᱛᱩᱞᱥᱤ,sat,"","",,Santali,Prasanta Hembram,2022-04-22T03:25:55Z
61398,ᱠᱟᱹᱯᱤᱨ ᱢᱟᱹᱞᱤ,sat,"","",,Santali,Prasanta Hembram,2022-04-22T03:29:10Z
61398,ᱵᱷᱟᱨᱵᱷᱟᱨᱤ,sat,"","",,Santali,Prasanta Hembram,2022-04-22T03:29:23Z
61398,ᱰᱷᱤᱢᱯᱩ ᱵᱟᱦᱟ,sat,"","",,Santali,Prasanta Hembram,2022-04-22T03:29:35Z
61398,ᱢᱟᱹᱞᱤ ᱵᱟᱦᱟ,sat,"","",,Santali,Prasanta Hembram,2022-04-22T03:29:48Z
61398,ᱢᱚᱱᱫᱚᱨ ᱢᱟᱹᱞᱤ ᱵᱟᱦᱟ,sat,"","",,Santali,Prasanta Hembram,2022-04-22T03:29:58Z
365733,ᱠᱷᱤᱡᱩᱨ,sat,"","",,Santali,Prasanta Hembram,2022-04-22T03:31:16Z
58991,ᱩᱨᱤᱪ ᱟᱞᱟᱝ,sat,"","",,Santali,Prasanta Hembram,2022-04-22T03:32:49Z
58991,ᱢᱚᱴᱟ ᱩᱨᱤᱪ ᱟᱞᱟᱝ,sat,"","",,Santali,Prasanta Hembram,2022-04-22T03:33:00Z
426476,ᱱᱟᱱᱦᱟ ᱩᱨᱤᱪ ᱟᱞᱟᱝ,sat,"","",,Santali,Prasanta Hembram,2022-04-22T03:34:21Z
203980,ᱥᱟᱨᱡᱳᱢ,sat,"","",,Santali,Prasanta Hembram,2022-04-22T03:39:19Z
203980,ᱥᱟᱞ,sat,"","",,Santali,Prasanta Hembram,2022-04-22T03:39:34Z
203980,ᱡᱟᱦᱮᱨ ᱫᱟᱨᱮ,sat,"","",,Santali,Prasanta Hembram,2022-04-22T03:39:55Z
