id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
83992,birk,und,"","",,Scots,John E. Christensen,2017-12-14T22:13:32Z
43791,Los-leathann,und,"","",,Scots,John E. Christensen,2017-12-26T20:10:52Z
8088,Jay pyot,und,"","",,Scots,John E. Christensen,2018-03-24T06:44:03Z
47157,Butterflee,und,"","",,Scots,John E. Christensen,2018-11-23T09:09:00Z
6930,Muir deuk,und,"","",,Scots,John E. Christensen,2018-12-14T15:08:24Z
48561,Thristle,und,"","",,Scots,John E. Christensen,2019-01-16T07:28:20Z
210289,Rur,und,"","",,Scots,John E. Christensen,2019-02-10T11:01:30Z
44576,Grund ratton,und,"","",,Scots,John E. Christensen,2019-04-17T09:27:16Z
936369,Auld Warld pug,und,"","",,Scots,John E. Christensen,2020-09-29T09:27:51Z
200958,Fish-hawk,und,"","",,Scots,John E. Christensen,2020-12-01T08:01:38Z
48648,Baggit,und,"","",,Scots,Zane Roskoph,2021-07-16T15:34:51Z
48648,Beastie,und,"","",,Scots,Zane Roskoph,2021-07-16T15:36:06Z
48648,Beikat,und,"","",,Scots,Zane Roskoph,2021-07-16T15:36:33Z
48648,Ben,und,"","",,Scots,Zane Roskoph,2021-07-16T15:36:55Z
48648,Black fish,und,"","",,Scots,Zane Roskoph,2021-07-16T15:37:32Z
48648,Brankie,und,"","",,Scots,Zane Roskoph,2021-07-16T15:37:52Z
48648,Brannock,und,"","",,Scots,Zane Roskoph,2021-07-16T15:38:25Z
48648,Ronnal,und,"","",,Scots,Zane Roskoph,2021-07-16T15:38:46Z
48648,Reister,und,"","",,Scots,Zane Roskoph,2021-07-16T15:39:25Z
48648,Red fish,und,"","",,Scots,Zane Roskoph,2021-07-16T15:39:44Z
48648,Rawner,und,"","",,Scots,Zane Roskoph,2021-07-16T15:40:01Z
48648,Ligger,und,"","",,Scots,Zane Roskoph,2021-07-16T15:40:35Z
48648,Lax,und,"","",,Scots,Zane Roskoph,2021-07-16T15:40:51Z
48648,Queer fish,und,"","",,Scots,Zane Roskoph,2021-07-16T15:41:11Z
48648,Queer fella,und,"","",,Scots,Zane Roskoph,2021-07-16T15:41:28Z
48648,Kipper,und,"","",,Scots,Zane Roskoph,2021-07-16T15:41:46Z
48648,Grey salmon,und,"","",,Scots,Zane Roskoph,2021-07-16T15:42:04Z
48648,Duke´s fish,und,"","",,Scots,Zane Roskoph,2021-07-16T15:42:21Z
48648,Cockspur,und,"","",,Scots,Zane Roskoph,2021-07-16T15:42:40Z
48648,Caul´iron,und,"","",,Scots,Zane Roskoph,2021-07-16T15:43:08Z
48648,Candavaig,und,"","",,Scots,Zane Roskoph,2021-07-16T15:43:24Z
41970,Jaguar,und,"","",,Scots,Zane Roskoph,2021-07-30T12:16:39Z
41972,Cloodit leopard,und,"","",,Scots,Zane Roskoph,2021-07-30T13:01:27Z
74753,Sunda cloodit leopard,und,"","",,Scots,Zane Roskoph,2021-07-30T13:10:03Z
50873,Great white shairk,und,"","",,Scots,Zane Roskoph,2021-07-30T14:06:31Z
42007,Cougar,und,"","",,Scots,Zane Roskoph,2021-08-01T01:51:40Z
52188,whaul shairk,und,"","",,Scots,Zane Roskoph,2021-08-03T14:23:49Z
182991,Dilse,und,"","",,Scots,Zane Roskoph,2021-08-05T17:58:28Z
3802,solan guiss,und,"","",,Scots,Zane Roskoph,2021-08-11T15:50:18Z
41644,polar beir,und,"","",,Scots,Zane Roskoph,2021-08-11T17:00:39Z
41955,cheetah,und,"","",,Scots,Zane Roskoph,2021-08-13T12:23:59Z
606958,Sooth African cheetah,und,"","",,Scots,Zane Roskoph,2021-08-13T12:46:26Z
606958,Namibie cheetah,und,"","",,Scots,Zane Roskoph,2021-08-13T12:46:42Z
41553,Blue whaul,und,"","",,Scots,Zane Roskoph,2021-08-15T15:19:29Z
41964,Lion,und,"","",,Scots,Zane Roskoph,2021-08-24T15:12:46Z
74831,snaw leopard,und,"","",,Scots,Zane Roskoph,2021-08-25T12:00:09Z
42052,reid wouf,und,"","",,Scots,Zane Roskoph,2021-08-25T15:37:34Z
41967,Teeger,und,"","",,Scots,Zane Roskoph,2021-08-26T16:30:13Z
130793,Bengal teeger,und,"","",,Scots,Zane Roskoph,2021-08-27T12:38:28Z
60603,Baggety,und,"","",,Scots,Zane Roskoph,2021-09-19T15:06:15Z
60603,Blue paidle,und,"","",,Scots,Zane Roskoph,2021-09-19T15:06:42Z
60603,Hen paidle,und,"","",,Scots,Zane Roskoph,2021-09-19T15:07:09Z
60603,Paddle-cock,und,"","",,Scots,Zane Roskoph,2021-09-19T15:07:32Z
60603,Runkar,und,"","",,Scots,Zane Roskoph,2021-09-19T15:07:58Z
97990,Halflin,und,"","",,Scots,Zane Roskoph,2021-09-19T18:11:32Z
97990,Full,und,"","",,Scots,Zane Roskoph,2021-09-19T18:11:49Z
97990,Filling,und,"","",,Scots,Zane Roskoph,2021-09-19T18:12:09Z
97990,Haizy,und,"","",,Scots,Zane Roskoph,2021-09-19T18:12:30Z
97990,Nun,und,"","",,Scots,Zane Roskoph,2021-09-19T18:12:55Z
97990,Peeo,und,"","",,Scots,Zane Roskoph,2021-09-19T18:13:18Z
97990,Shaldoo,und,"","",,Scots,Zane Roskoph,2021-09-19T18:13:39Z
97990,Wine drinker,und,"","",,Scots,Zane Roskoph,2021-09-19T18:14:06Z
97990,Yaulin,und,"","",,Scots,Zane Roskoph,2021-09-19T18:14:26Z
213519,Sea wolf,und,"","",,Scots,Zane Roskoph,2021-10-02T13:51:22Z
213519,Stehen biter,und,"","",,Scots,Zane Roskoph,2021-10-02T13:51:50Z
122916,Jerusalem haddie,und,"","",,Scots,Zane Roskoph,2021-10-03T23:27:23Z
