id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
2,Chordate,und,"","",,Scottish Gaelic,John E. Christensen,2017-11-30T12:51:30Z
47126,lus,und,"","",,Scottish Gaelic,John E. Christensen,2017-12-06T08:05:48Z
26036,Pèist,und,"","",,Scottish Gaelic,John E. Christensen,2017-12-19T08:07:12Z
51874,Iadh-shlat,und,"","",,Scottish Gaelic,John E. Christensen,2018-01-26T10:05:24Z
71261,Eun-creachaidh,und,"","",,Scottish Gaelic,John E. Christensen,2018-02-28T08:27:16Z
40019,Crùban-coille,und,"","",,Scottish Gaelic,John E. Christensen,2018-04-15T12:55:43Z
67759,Coireaman,und,"","",,Scottish Gaelic,John E. Christensen,2018-05-06T07:27:22Z
47783,Giomach uisge,und,"","",,Scottish Gaelic,John E. Christensen,2018-06-20T15:49:02Z
569428,Neas bheag,und,"","",,Scottish Gaelic,John E. Christensen,2018-07-05T06:53:36Z
63573,Spruis,und,"","",,Scottish Gaelic,John E. Christensen,2018-12-16T09:37:25Z
57983,Neòinean-grèine,und,"","",,Scottish Gaelic,John E. Christensen,2018-12-23T15:21:22Z
40151,Mamal,und,"","",,Scottish Gaelic,John E. Christensen,2019-02-07T16:22:56Z
505478,Cearc,und,"","",,Scottish Gaelic,John E. Christensen,2019-11-22T13:39:21Z
131236,bhìorasan,und,"","",,Scottish Gaelic,James K. Douch,2020-02-23T03:06:26Z
47561,Giuthas,und,"","",,Scottish Gaelic,John E. Christensen,2020-02-29T11:39:45Z
8021,fitheach,und,"Ceap Breatainn, NS, CA","",,Scottish Gaelic,mkkennedy,2020-04-18T20:48:20Z
12727,smeòrach,und,"Ceap Breatainn, NS, CA","",,Scottish Gaelic,mkkennedy,2020-04-18T21:16:53Z
144815,ceann-dubh,und,"Ceap Breatainn, NS, CA","",,Scottish Gaelic,mkkennedy,2020-04-18T21:19:29Z
14850,druideag,und,"Ceap Breatainn, NS, CA","",,Scottish Gaelic,mkkennedy,2020-04-18T21:22:11Z
981,easag,und,"Ceap Breatainn, NS, CA","",,Scottish Gaelic,mkkennedy,2020-04-18T21:23:24Z
19893,comhachag,und,"Ceap Breatainn, NS, CA","",,Scottish Gaelic,mkkennedy,2020-04-18T21:30:14Z
116999,iolair-uisge,und,"Ceap Breatainn, NS, CA","",,Scottish Gaelic,mkkennedy,2020-04-18T21:33:01Z
8010,ròcais,und,"Ceap Breatainn, NS, CA","",,Scottish Gaelic,mkkennedy,2020-04-18T21:37:37Z
7089,giadh,und,"Ceap Breatainn, NS, CA","",,Scottish Gaelic,mkkennedy,2020-04-18T22:07:29Z
5212,clamhan,und,"Ceap Breatainn, NS, CA","",,Scottish Gaelic,mkkennedy,2020-04-18T22:09:29Z
24268,Màgan,und,"Ceap Breatainn, NS, CA","",,Scottish Gaelic,mkkennedy,2020-04-18T22:10:44Z
64968,losgann-dubh,und,"Ceap Breatainn, NS, CA","",,Scottish Gaelic,mkkennedy,2020-04-18T22:13:45Z
27186,teine-dhealan,und,"Ceap Breatainn, NS, CA","",,Scottish Gaelic,mkkennedy,2020-04-18T22:14:40Z
52155,gartan,und,"Ceap Breatainn, NS, CA","",,Scottish Gaelic,mkkennedy,2020-04-18T22:15:35Z
129902,Seangan,und,"Ceap Breatainn, NS, CA","",,Scottish Gaelic,mkkennedy,2020-04-18T22:16:29Z
124432,Seilcheag,und,"Ceap Breatainn, NS, CA","",,Scottish Gaelic,mkkennedy,2020-04-18T22:17:25Z
122193,cuileag-theallaich,und,"Ceap Breatainn, NS, CA","",,Scottish Gaelic,mkkennedy,2020-04-18T22:18:21Z
51702,daolag-bhreac,und,"Ceap Breatainn, NS, CA","",,Scottish Gaelic,mkkennedy,2020-04-18T22:19:25Z
48548,dealan-dé,und,"Ceap Breatainn, NS, CA","",,Scottish Gaelic,mkkennedy,2020-04-18T22:20:17Z
