id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
340143,monwana,und,"","",,Selete,Botswanabugs,2020-12-31T02:05:44Z
596435,sekalofatshe,und,"","",,Selete,Botswanabugs,2021-06-29T17:25:36Z
460439,Morutsa,und,"","",,Selete,Botswanabugs,2021-06-29T18:00:13Z
182191,Modikasope,und,"","",,Selete,Botswanabugs,2021-06-29T18:18:02Z
57920,Bogoma ba dinku,und,"","",,Selete,Botswanabugs,2021-06-30T02:05:52Z
57920,setsotsoa,und,"","",,Selete,Botswanabugs,2021-06-30T02:07:33Z
596038,Mokwele,und,"","",,Selete,Botswanabugs,2021-06-30T04:15:55Z
596038,Mogamaswi,und,"","",,Selete,Botswanabugs,2021-06-30T04:17:18Z
590822,tshoo la khudu,und,"","",,Selete,Botswanabugs,2021-07-01T08:23:34Z
79313,moonyane,und,"","",,Selete,Botswanabugs,2021-07-01T09:01:42Z
79313,Setokwane,und,"","",,Selete,Botswanabugs,2021-07-01T09:04:54Z
595967,mmiloomonnye,und,"","",,Selete,Botswanabugs,2021-07-01T09:18:12Z
336810,mokubu,und,"","",,Selete,Botswanabugs,2021-07-01T17:10:55Z
637214,lehuphu,und,"","",,Selete,Botswanabugs,2021-07-01T17:17:16Z
595009,mogorwagorwana,und,"","",,Selete,Botswanabugs,2021-07-03T15:15:37Z
169410,matebelwe,und,"","",,Selete,Botswanabugs,2021-07-03T15:21:05Z
468761,Mmanakana,und,"","",,Selete,Botswanabugs,2021-07-04T12:15:32Z
338731,Mmanakana,und,"","",,Selete,Botswanabugs,2021-07-04T12:16:36Z
58389,moremogale,und,"","",,Selete,Botswanabugs,2021-07-06T09:10:10Z
58389,Ntshweyabadisa,und,"","",,Selete,Botswanabugs,2021-07-06T09:11:41Z
436996,mophakanyane,und,"","",,Selete,Botswanabugs,2021-07-06T09:33:39Z
340143,monwane,und,"","",,Selete,Botswanabugs,2021-07-06T09:45:15Z
168612,motlhakolatonki,und,"","",,Selete,Botswanabugs,2021-07-06T10:49:38Z
516181,mosokelatsebe,und,"","",,Selete,Botswanabugs,2021-07-08T17:19:06Z
516181,mokgotshe ommonye,und,"","",,Selete,Botswanabugs,2021-07-08T17:26:34Z
546792,mokgotshe omotona,und,"","",,Selete,Botswanabugs,2021-07-08T17:31:34Z
546792,tlhabadilebanye,und,"","",,Selete,Botswanabugs,2021-07-08T17:33:13Z
79020,mosilabele,und,"","",,Selete,Botswanabugs,2021-07-09T03:48:30Z
79020,mosabele,und,"","",,Selete,Botswanabugs,2021-07-09T03:49:35Z
593890,motshotlhwane,und,"","",,Selete,Botswanabugs,2021-07-09T03:56:28Z
56739,mokure,und,"","",,Selete,Botswanabugs,2021-07-09T04:34:29Z
56739,mmono,und,"","",,Selete,Botswanabugs,2021-07-09T04:36:53Z
428556,thagaragaetshibidu,und,"","",,Selete,Botswanabugs,2021-07-09T04:55:02Z
551811,hulwane,und,"","",,Selete,Botswanabugs,2021-07-09T05:05:53Z
551811,kgelegetlwa,und,"","",,Selete,Botswanabugs,2021-07-09T05:09:41Z
505798,lenalalankwe,und,"","",,Selete,Botswanabugs,2021-07-10T04:53:41Z
515460,patadikgagane,und,"","",,Selete,Botswanabugs,2021-07-10T10:43:04Z
580689,mositlwane,und,"","",,Selete,Khama III Memorial Museum in Serowe,2021-07-20T06:57:03Z
592666,monontshana,und,"","",,Selete,Khama III Memorial Museum in Serowe,2021-07-20T07:01:51Z
591483,mathaalolole,und,"","",,Selete,Botswanabugs,2021-07-21T03:43:09Z
342039,morogabaloi,und,"","",,Selete,Botswanabugs,2021-07-21T04:11:11Z
503912,morewalentswe,und,"","",,Selete,Botswanabugs,2021-07-21T04:40:13Z
469795,moritelatshene,und,"","",,Selete,Botswanabugs,2021-07-25T10:20:14Z
120323,ramarungwana,und,"","",,Selete,Botswanabugs,2021-07-25T11:04:00Z
53720,mosalawesi,und,"","",,Selete,Botswanabugs,2021-07-25T12:46:52Z
427161,letlhokwalahutshe,und,"","",,Selete,Botswanabugs,2021-07-25T12:51:54Z
586688,maebana,und,"","",,Selete,Botswanabugs,2021-07-27T05:19:49Z
586688,seefamaeba,und,"","",,Selete,Botswanabugs,2021-07-27T05:20:57Z
77990,kgobedimetsing,und,"","",,Selete,Botswanabugs,2021-07-27T05:24:02Z
348627,mothanthanyane,und,"","",,Selete,Botswanabugs,2021-07-27T05:26:47Z
532043,matheanamane,und,"","",,Selete,Botswanabugs,2021-07-27T05:50:21Z
186043,moratletla,und,"","",,Selete,Botswanabugs,2021-07-27T06:12:36Z
209711,moswaapeba,und,"","",https://www.inaturalist.org/taxon_names/2598576/edit,Selete,,2021-07-30T05:42:14Z
209711,moremoswaane,und,"","",https://www.inaturalist.org/taxon_names/2598587/edit,Selete,,2021-07-30T05:42:16Z
588676,mmojwane,und,"","",,Selete,Botswanabugs,2021-07-30T10:41:31Z
437591,mositakgomo,und,"","",,Selete,Botswanabugs,2021-07-30T10:54:47Z
437591,moragaraga,und,"","",,Selete,Botswanabugs,2021-07-30T10:57:03Z
490656,sejabaleki,und,"","",,Selete,Botswanabugs,2021-07-30T11:02:16Z
704281,semone,und,"","",,Selete,Botswanabugs,2021-08-01T11:04:02Z
141634,somonamonane,und,"","",,Selete,Botswanabugs,2021-08-01T11:07:53Z
588331,nnyoyammutla,und,"","",,Selete,Botswanabugs,2021-08-01T12:05:18Z
567350,mosiama,und,"","",,Selete,Botswanabugs,2021-08-01T12:09:06Z
567350,moethimola,und,"","",,Selete,Botswanabugs,2021-08-01T12:10:32Z
588245,mogabaditswane,und,"","",,Selete,Botswanabugs,2021-08-01T12:17:11Z
588245,lebutswapele,und,"","",,Selete,Botswanabugs,2021-08-01T12:17:54Z
588237,bolatsi,und,"","",,Selete,Botswanabugs,2021-08-01T12:22:51Z
147388,bolatsi,und,"","",,Selete,Botswanabugs,2021-08-01T12:24:19Z
147388,mosiama,und,"","",,Selete,Botswanabugs,2021-08-01T12:29:30Z
588162,mokgwara,und,"","",,Selete,Botswanabugs,2021-08-01T14:12:02Z
588173,morupi,und,"","",,Selete,Botswanabugs,2021-08-01T14:21:12Z
338775,mokatse,und,"","",,Selete,Botswanabugs,2021-08-02T10:36:05Z
583350,mohujwane,und,"","",,Selete,Botswanabugs,2021-08-02T10:49:38Z
338772,Seboka,und,"","",,Selete,Botswanabugs,2021-08-09T07:22:01Z
135389,modubu,und,"","",,Selete,Botswanabugs,2021-08-12T09:13:04Z
342738,modubatshipi,und,"","",,Selete,Botswanabugs,2021-08-13T16:54:03Z
126238,mokapa,und,"","",,Selete,Botswanabugs,2021-08-20T13:59:43Z
126238,monyaku,und,"","",,Selete,Botswanabugs,2021-08-20T14:02:01Z
355666,leetsane,und,"","",,Selete,Botswanabugs,2021-08-25T17:39:31Z
581602,monnamontsho,und,"","",,Selete,Botswanabugs,2021-08-31T17:40:21Z
567325,mosaoka,und,"","",,Selete,Botswanabugs,2021-09-13T12:30:19Z
595946,Mokala,und,"","",,Selete,Botswanabugs,2021-09-13T12:36:22Z
594418,moruthare,und,"","",,Selete,Botswanabugs,2021-09-13T12:39:18Z
42275,none,und,"","",,Selete,Botswanabugs,2021-11-18T11:17:13Z
42275,sephile,und,"","",,Selete,Botswanabugs,2021-11-18T11:18:58Z
42341,serolwebotlhoko,und,"","",,Selete,Botswanabugs,2021-11-18T12:58:46Z
42341,serolebotlhoko,und,"","",,Selete,Botswanabugs,2021-11-18T12:59:39Z
45838,peba lesuthwane,und,"","",,Selete,Botswanabugs,2021-11-19T02:19:39Z
45848,tsikotsiko,und,"","",,Selete,Botswanabugs,2021-11-19T02:25:36Z
45848,motsikotsiko,und,"","",,Selete,Botswanabugs,2021-11-19T02:26:05Z
41599,thokolo,und,"","",,Selete,Botswanabugs,2021-11-19T02:54:46Z
42280,pudumo,und,"","",,Selete,Botswanabugs,2021-11-19T03:39:19Z
57560,mmutla wamatshwaeatselana,und,"","",,Selete,Botswanabugs,2021-11-19T03:56:16Z
43125,modiolo,und,"","",,Selete,Botswanabugs,2021-11-19T04:07:54Z
41937,phofu,und,"","",,Selete,Botswanabugs,2021-12-05T10:09:59Z
