id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
340008,N'tcheu,und,"","",,Sena,,2014-01-16T05:51:02Z
191466,Nunde,und,"","",,Sena,,2014-01-16T05:51:03Z
340009,M'bebe,und,"","",,Sena,,2014-01-16T05:51:12Z
340010,Mamungu,und,"","",,Sena,,2014-01-16T05:51:13Z
340011,Nhamauira,und,"","",,Sena,,2014-01-16T05:51:13Z
133534,N'suinga mamina,und,"","",,Sena,,2014-01-16T05:51:15Z
340092,Ncanacana,und,"","",,Sena,,2014-01-16T05:51:22Z
340051,N'thassica,und,"","",,Sena,,2014-01-16T05:51:22Z
340093,Nthavu ya mphonda,und,"","",,Sena,,2014-01-16T05:51:27Z
340055,N'angalan'goma,und,"","",,Sena,,2014-01-16T05:51:28Z
340056,Ncanacana,und,"","",,Sena,,2014-01-16T05:51:28Z
340057,N'combego,und,"","",,Sena,,2014-01-16T05:51:29Z
340059,Cagolo,und,"","",,Sena,,2014-01-16T05:51:29Z
340062,Sindza nchuere,und,"","",,Sena,,2014-01-16T05:51:29Z
340067,N'cua,und,"","",,Sena,,2014-01-16T05:51:30Z
169414,N'tengulengu,und,"","",,Sena,,2014-01-16T05:51:32Z
340094,Nhaussanga,und,"","",,Sena,,2014-01-16T05:51:38Z
340096,Ndico za mabhongue,und,"","",,Sena,,2014-01-16T05:51:53Z
340098,Nsiwi,und,"","",,Sena,,2014-01-16T05:51:58Z
340099,Nfazi,und,"","",,Sena,,2014-01-16T05:52:02Z
340100,N'tupa,und,"","",,Sena,,2014-01-16T05:52:23Z
340101,Marigesso,und,"","",,Sena,Tony Rebelo,2014-01-16T05:52:40Z
186043,Tchidzyambuzi,und,"","",,Sena,,2014-01-16T05:53:01Z
129706,Mphangala,und,"","",,Sena,,2014-01-16T05:53:02Z
340106,N'tombanzato,und,"","",,Sena,,2014-01-16T05:53:21Z
340111,Macanga,und,"","",,Sena,,2014-01-16T05:53:26Z
340112,Chimanda,und,"","",,Sena,,2014-01-16T05:53:30Z
340113,Ncalassi,und,"","",,Sena,,2014-01-16T05:53:34Z
340114,Nkhataussalu,und,"","",,Sena,,2014-01-16T05:53:38Z
185477,N'calangua,und,"","",,Sena,,2014-01-16T05:53:39Z
340115,Nhacaluelue,und,"","",,Sena,,2014-01-16T05:53:43Z
340116,Tombo n'thika,und,"","",,Sena,,2014-01-16T05:53:47Z
340123,Nthowe,und,"","",,Sena,,2014-01-16T05:54:47Z
340128,N'dhowa,und,"","",,Sena,,2014-01-16T05:54:59Z
340129,Munomoro,und,"","",,Sena,,2014-01-16T05:55:03Z
340130,N'tongolo,und,"","",,Sena,,2014-01-16T05:55:08Z
163027,N'tchumbutchumbu,und,"","",,Sena,,2014-01-16T05:55:30Z
340136,Nthangalamunhu,und,"","",,Sena,,2014-01-16T05:55:35Z
340137,Viambudzi,und,"","",,Sena,,2014-01-16T05:55:41Z
340138,Tchidyakamba,und,"","",,Sena,,2014-01-16T05:55:46Z
340139,Cassassa,und,"","",,Sena,,2014-01-16T05:55:56Z
340142,Ngolozi,und,"","",,Sena,,2014-01-16T05:56:05Z
340143,N'sossoto,und,"","",,Sena,,2014-01-16T05:56:09Z
147000,Mulumanhyama,und,"","",,Sena,,2014-01-16T05:56:10Z
340144,Nsangala dzinza,und,"","",,Sena,,2014-01-16T05:56:17Z
340146,Nhacatsicana,und,"","",,Sena,,2014-01-16T05:56:21Z
340148,Nyacapumba,und,"","",,Sena,,2014-01-16T05:56:30Z
340151,Chochotse,und,"","",,Sena,,2014-01-16T05:56:52Z
340157,N'toto,und,"","",,Sena,,2014-01-16T05:57:10Z
340159,Tsueua,und,"","",,Sena,,2014-01-16T05:57:30Z
340162,N'solola,und,"","",,Sena,,2014-01-16T05:57:37Z
340163,N'ghuyugyu,und,"","",,Sena,,2014-01-16T05:57:41Z
340164,N'savu,und,"","",,Sena,Yann Kemper,2014-01-16T05:57:45Z
138416,N'tsinda,und,"","",,Sena,,2014-01-16T05:57:46Z
141628,Mulembe,und,"","",,Sena,,2014-01-16T05:57:46Z
340165,Tripadeilo,und,"","",,Sena,,2014-01-16T05:57:51Z
340166,Ntenguene,und,"","",,Sena,,2014-01-16T05:58:05Z
191689,M'tuio,und,"","",,Sena,,2014-01-16T05:58:05Z
340170,N'teme,und,"","",,Sena,,2014-01-16T05:58:10Z
340171,Nhacateme,und,"","",,Sena,,2014-01-16T05:58:15Z
340172,N'tsunzwa,und,"","",,Sena,,2014-01-16T05:58:19Z
340173,M'pimbi,und,"","",,Sena,,2014-01-16T05:58:23Z
340174,Sucuali,und,"","",,Sena,,2014-01-16T05:58:36Z
340175,N'zanga,und,"","",,Sena,,2014-01-16T05:58:40Z
340176,N'dhudhu-nhanga,und,"","",,Sena,,2014-01-16T05:58:45Z
340177,N'dhudhu-nhanga de floresta,und,"","",,Sena,,2014-01-16T05:58:52Z
340180,N'thowe,und,"","",,Sena,,2014-01-16T05:59:11Z
190764,Namangwena,und,"","",,Sena,,2014-01-16T05:59:12Z
340184,Nhantsanga,und,"","",,Sena,,2014-01-16T05:59:29Z
340188,N'zuiro,und,"","",,Sena,,2014-01-16T05:59:33Z
340189,Tripadeilo,und,"","",,Sena,,2014-01-16T05:59:37Z
340190,N'tsunzwa,und,"","",,Sena,,2014-01-16T05:59:43Z
340191,N'gambu-n'gambu,und,"","",,Sena,,2014-01-16T05:59:48Z
340193,Tchinthiko,und,"","",,Sena,,2014-01-16T05:59:56Z
340194,Nhanthomole,und,"","",,Sena,,2014-01-16T06:00:44Z
340199,N'gomo,und,"","",,Sena,,2014-01-16T06:00:51Z
340201,N'culungu,und,"","",,Sena,,2014-01-16T06:00:55Z
143542,Mpepe,und,"","",,Sena,,2014-01-16T06:01:00Z
191296,M'phingwe,und,"","",,Sena,,2014-01-16T06:01:01Z
340204,M'piao,und,"","",,Sena,,2014-01-16T06:01:36Z
340206,Nchevu,und,"","",,Sena,,2014-01-16T06:01:42Z
340207,Nhongolo,und,"","",,Sena,,2014-01-16T06:01:49Z
340209,N'tchapata,und,"","",,Sena,,2014-01-16T06:01:57Z
340210,N'calala,und,"","",,Sena,,2014-01-16T06:02:01Z
340211,M'phacassa,und,"","",,Sena,,2014-01-16T06:02:06Z
340212,Mulonde,und,"","",,Sena,,2014-01-16T06:02:11Z
340214,N'fuma,und,"","",,Sena,,2014-01-16T06:02:15Z
340215,N'sangala,und,"","",,Sena,,2014-01-16T06:02:19Z
132904,Namarupovo,und,"","",,Sena,,2014-01-16T06:02:20Z
340218,Deambeva,und,"","",,Sena,,2014-01-16T06:03:39Z
340219,N'codzi,und,"","",,Sena,,2014-01-16T06:03:43Z
340223,Nhandhima,und,"","",,Sena,,2014-01-16T06:04:02Z
