id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
340314,motsebe,und,"","",,Sengwato,Botswanabugs,2019-09-28T07:21:11Z
581602,Mhitshwane,und,"","",,Sengwato,Botswanabugs,2020-12-31T02:37:02Z
340228,mokalabata,und,"","",,Sengwato,Botswanabugs,2021-06-29T17:01:06Z
340228,Mokalomafswi,und,"","",,Sengwato,Botswanabugs,2021-06-29T17:04:24Z
340321,motlha,und,"","",,Sengwato,Botswanabugs,2021-06-29T17:32:37Z
460439,morutse,und,"","",,Sengwato,Botswanabugs,2021-06-29T17:57:36Z
460439,Thutse,und,"","",,Sengwato,Botswanabugs,2021-06-29T17:59:00Z
182191,moarasope,und,"","",,Sengwato,Botswanabugs,2021-06-29T18:05:14Z
57920,mofelarure,und,"","",,Sengwato,Botswanabugs,2021-06-30T02:10:13Z
469311,hatshwane,und,"","",,Sengwato,Botswanabugs,2021-07-01T17:09:38Z
430533,motsiara,und,"","",,Sengwato,Botswanabugs,2021-07-01T17:12:14Z
637214,lehupu,und,"","",,Sengwato,Botswanabugs,2021-07-01T17:15:14Z
474039,mhatlha,und,"","",,Sengwato,Botswanabugs,2021-07-01T17:22:02Z
340176,morobolo,und,"","",,Sengwato,Botswanabugs,2021-07-02T01:20:41Z
431646,mokakata,und,"","",,Sengwato,Botswanabugs,2021-07-02T01:23:16Z
595012,morutla,und,"","",,Sengwato,Botswanabugs,2021-07-03T12:16:52Z
169410,molelwana,und,"","",,Sengwato,Botswanabugs,2021-07-03T15:23:58Z
468761,motlhomaganyane,und,"","",,Sengwato,Botswanabugs,2021-07-04T12:10:44Z
338731,motlhogomaganyane,und,"","",,Sengwato,Botswanabugs,2021-07-04T12:19:33Z
79069,bogopa,und,"","",,Sengwato,Botswanabugs,2021-07-04T12:36:38Z
340143,monwana,und,"","",,Sengwato,Botswanabugs,2021-07-06T09:44:50Z
336805,molalaphage,und,"","",,Sengwato,Botswanabugs,2021-07-06T09:50:50Z
336805,tshwangphofu,und,"","",,Sengwato,Botswanabugs,2021-07-06T09:51:55Z
516181,mosokelatsebe,und,"","",,Sengwato,Botswanabugs,2021-07-08T17:18:37Z
79020,mosilabele,und,"","",,Sengwato,Botswanabugs,2021-07-09T03:50:37Z
593890,motshotlho,und,"","",,Sengwato,Botswanabugs,2021-07-09T03:53:08Z
429245,mogolori,und,"","",,Sengwato,Botswanabugs,2021-07-09T03:58:46Z
429245,mogodiri,und,"","",,Sengwato,Botswanabugs,2021-07-09T04:01:01Z
546326,sedupaphiri,und,"","",,Sengwato,Botswanabugs,2021-07-09T04:14:39Z
546326,mogolori,und,"","",,Sengwato,Botswanabugs,2021-07-09T04:19:05Z
340199,mokongwa,und,"","",,Sengwato,Botswanabugs,2021-07-09T04:30:37Z
527004,mohurokwana,und,"","",,Sengwato,Botswanabugs,2021-07-09T05:13:22Z
527004,lebuta,und,"","",,Sengwato,Botswanabugs,2021-07-09T05:36:58Z
527004,morokolopodi,und,"","",,Sengwato,Botswanabugs,2021-07-09T05:38:26Z
527004,molalatau,und,"","",,Sengwato,Botswanabugs,2021-07-09T05:40:20Z
81491,moporota,und,"","",,Sengwato,Khama III Memorial Museum in Serowe,2021-07-09T09:48:20Z
592795,mosisa,und,"","",,Sengwato,Botswanabugs,2021-07-10T04:09:58Z
132448,motswalakgoro,und,"","",,Sengwato,Botswanabugs,2021-07-10T04:14:20Z
199960,mahuraanaga,und,"","",,Sengwato,Botswanabugs,2021-07-10T04:23:59Z
199960,leatla,und,"","",,Sengwato,Botswanabugs,2021-07-10T04:24:40Z
580627,mhalatsamaru,und,"","",,Sengwato,Botswanabugs,2021-07-10T04:55:57Z
430695,mhalatsamaru,und,"","",,Sengwato,Botswanabugs,2021-07-10T05:11:09Z
416750,mongololo,und,"","",,Sengwato,Botswanabugs,2021-07-10T09:35:39Z
515460,bohitlha,und,"","",,Sengwato,Botswanabugs,2021-07-10T10:38:56Z
515460,patadikgagane,und,"","",,Sengwato,Botswanabugs,2021-07-10T10:42:15Z
580689,mhalatsamaru,und,"","",,Sengwato,Khama III Memorial Museum in Serowe,2021-07-20T06:53:52Z
592667,kganyane,und,"","",,Sengwato,Khama III Memorial Museum in Serowe,2021-07-20T07:03:22Z
428559,mopenwaeng,und,"","",,Sengwato,Khama III Memorial Museum in Serowe,2021-07-20T08:02:20Z
491251,mosagasagane,und,"","",,Sengwato,Botswanabugs,2021-07-21T03:47:32Z
553829,letswailakhudu,und,"","",,Sengwato,Botswanabugs,2021-07-21T04:03:43Z
567478,mosihawapoo,und,"","",,Sengwato,Botswanabugs,2021-07-21T04:06:34Z
181061,mogatololo,und,"","",,Sengwato,Botswanabugs,2021-07-21T04:35:40Z
165503,mmapuupuu,und,"","",,Sengwato,Botswanabugs,2021-07-25T11:07:30Z
165503,mmapuupuutshegatshega,und,"","",,Sengwato,Botswanabugs,2021-07-25T11:12:48Z
590058,mohuruswa,und,"","",,Sengwato,Botswanabugs,2021-07-25T11:15:33Z
14930,legodi,und,"","",,Sengwato,Botswanabugs,2021-07-27T04:15:58Z
532043,mhalatsamaru,und,"","",,Sengwato,Botswanabugs,2021-07-27T05:40:26Z
532043,morokolopodi,und,"","",,Sengwato,Botswanabugs,2021-07-27T05:43:59Z
186043,moreketli,und,"","",,Sengwato,Botswanabugs,2021-07-27T06:08:35Z
209711,motlalemetse,und,"","",https://www.inaturalist.org/taxon_names/2598569/edit,Sengwato,,2021-07-30T05:42:14Z
588676,mmotswana,und,"","",,Sengwato,Botswanabugs,2021-07-30T10:43:04Z
588678,bolaole,und,"","",,Sengwato,Botswanabugs,2021-07-30T10:45:31Z
588682,bolaole,und,"","",,Sengwato,Botswanabugs,2021-07-30T10:48:37Z
343067,kgomodimetse,und,"","",,Sengwato,Botswanabugs,2021-08-01T10:54:39Z
343067,kgomodimetseng,und,"","",,Sengwato,Botswanabugs,2021-08-01T10:55:09Z
343067,mosukubjane,und,"","",,Sengwato,Botswanabugs,2021-08-01T10:56:55Z
589256,kgomodimetseng,und,"","",,Sengwato,Botswanabugs,2021-08-01T10:59:56Z
589256,mosukubjwane,und,"","",,Sengwato,Botswanabugs,2021-08-01T11:01:52Z
186271,modimelo,und,"","",,Sengwato,Botswanabugs,2021-08-01T12:11:34Z
588162,madi aphalane,und,"","",,Sengwato,Botswanabugs,2021-08-01T14:11:17Z
76609,setlhabakolobe,und,"","",,Sengwato,Botswanabugs,2021-08-02T09:14:02Z
55854,setlhabakolobe,und,"","",,Sengwato,Botswanabugs,2021-08-02T09:16:00Z
338772,mmotu,und,"","",,Sengwato,Botswanabugs,2021-08-09T07:27:07Z
908007,mompudu,und,"","",,Sengwato,Botswanabugs,2021-08-09T07:36:27Z
340059,mhodiri,und,"","",,Sengwato,Botswanabugs,2021-08-12T09:26:03Z
505821,mothapo,und,"","",,Sengwato,Botswanabugs,2021-08-13T18:19:49Z
582629,mokomoto,und,"","",,Sengwato,Botswanabugs,2021-08-13T19:32:28Z
488493,mophaphama,und,"","",,Sengwato,Botswanabugs,2021-08-13T19:33:38Z
488493,mopapama,und,"","",,Sengwato,Botswanabugs,2021-08-13T19:34:18Z
340295,mohota,und,"","",,Sengwato,Botswanabugs,2021-08-13T19:35:29Z
464608,mmola,und,"","",,Sengwato,Botswanabugs,2021-08-19T17:03:25Z
340175,monoga,und,"","",,Sengwato,Botswanabugs,2021-08-19T17:06:08Z
