id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
925659,Thsipa ya Dithokolo tse Nyenyane,und,"","",,Sepedi,Bobby McCabe,2020-02-23T05:02:33Z
41595,Thsipathoko,und,"","",,Sepedi,Bobby McCabe,2020-02-23T05:24:04Z
337799,Mothokolo o monnyane,und,"","",,Sepedi,Botswanabugs,2020-03-10T16:30:22Z
567344,Mooka pitsi,und,"","",,Sepedi,Botswanabugs,2020-03-10T16:34:56Z
584445,Mosijana,und,"","",,Sepedi,Botswanabugs,2020-03-10T16:36:28Z
568770,Mosijana o mogolo,und,"","",,Sepedi,Botswanabugs,2020-03-10T16:38:10Z
340211,Mphata,und,"","",,Sepedi,Botswanabugs,2020-03-10T16:39:48Z
601161,Morotela tshosh,und,"","",,Sepedi,Botswanabugs,2020-03-10T16:42:07Z
130789,Mokhutasela,und,"","",,Sepedi,Botswanabugs,2020-03-10T16:44:38Z
571042,Sekanama,und,"","",,Sepedi,Botswanabugs,2020-03-10T16:47:03Z
490831,Mosela phala,und,"","",,Sepedi,Botswanabugs,2020-03-10T16:48:34Z
356056,Lemata,und,"","",,Sepedi,Botswanabugs,2020-03-10T16:59:04Z
593974,mmaba,und,"","",,Sepedi,Botswanabugs,2020-03-10T17:02:06Z
593974,Mpesu,und,"","",,Sepedi,Botswanabugs,2020-03-10T17:03:11Z
428559,Moroba diepe,und,"","",,Sepedi,Botswanabugs,2020-03-10T17:05:39Z
594570,Morola o monnyane,und,"","",,Sepedi,Botswanabugs,2020-03-10T17:07:52Z
47649,Tšiekgalaka,und,"","",,Sepedi,Dewald du Plessis,2020-03-14T13:33:29Z
42122,Kolobê,und,"","",,Sepedi,Bobby McCabe,2020-03-19T15:36:03Z
42288,Mungulwi,und,"","",,Sepedi,Bobby McCabe,2020-03-19T16:26:05Z
42288,Kutsoa,und,"","",,Sepedi,Bobby McCabe,2020-03-19T16:26:16Z
333586,Nogameetsana,und,"","",,Sepedi,Dewald du Plessis,2020-04-06T18:02:18Z
121639,"Kgenkgerepe, leTlapakgerere",und,"","",,Sepedi,Dewald du Plessis,2020-04-06T18:41:59Z
342910,Dijo tsa lewatle,und,"","",,Sepedi,Dewald du Plessis,2020-04-06T18:55:02Z
311310,Hlatswana ya khrei,und,"","",,Sepedi,Dewald du Plessis,2020-04-07T10:31:24Z
85493,Kherastašiene,und,"","",,Sepedi,Dewald du Plessis,2020-04-07T10:42:59Z
1,Phoofolo,und,"","",,Sepedi,Dewald du Plessis,2020-04-09T18:00:42Z
47114,"diKgohu, diKgopa",und,"","",,Sepedi,Dewald du Plessis,2020-04-09T18:08:48Z
152102,Nogana ya mala,und,"","",,Sepedi,Dewald du Plessis,2020-04-09T18:09:19Z
417416,"Bilharzia, moHlapokhubedu",und,"","",,Sepedi,Dewald du Plessis,2020-04-09T18:10:14Z
42095,Motlhose,und,"","",,Sepedi,Bobby McCabe,2020-05-19T21:14:23Z
51672,"diKgofa, diPatšane",und,"","",,Sepedi,Dewald du Plessis,2020-08-21T11:24:02Z
51673,"diKgofa, diPatšane",und,"","",,Sepedi,Dewald du Plessis,2020-08-21T11:34:13Z
123675,"diKgofa, diPatšane",und,"","",,Sepedi,Dewald du Plessis,2020-08-21T12:04:51Z
428556,moRorokolo-pudi,und,"Witbank, MP, ZA","",,Sepedi,Dewald du Plessis,2020-10-31T15:58:15Z
428556,moThokolo-pudi,und,"Witbank, MP, ZA","",,Sepedi,Dewald du Plessis,2020-10-31T16:02:27Z
320739,seRemodi,und,"","",,Sepedi,Dewald du Plessis,2020-11-09T18:37:06Z
340072,seKgopha,und,"Witbank, MP, ZA","",,Sepedi,Dewald du Plessis,2020-11-09T18:41:20Z
525722,moTšhetšhe,und,"","",,Sepedi,Dewald du Plessis,2020-11-09T18:49:49Z
468538,moHlatswa,und,"Witbank, MP, ZA","",,Sepedi,Dewald du Plessis,2020-11-09T19:13:58Z
185371,moTlhabare,und,"Witbank, MP, ZA | South Africa",ZA,,Sepedi,Dewald du Plessis,2020-11-09T19:23:00Z
184342,moLalakgwedi,und,"","",,Sepedi,Dewald du Plessis,2020-11-09T19:32:26Z
184342,moOkêlêla,und,"","",,Sepedi,Dewald du Plessis,2020-11-09T19:33:38Z
166935,Kgalagangwe,und,South Africa,ZA,,Sepedi,Dewald du Plessis,2020-11-09T19:37:00Z
334567,moTshwarabadikana,und,"","",,Sepedi,Dewald du Plessis,2020-11-09T19:43:58Z
334567,moGwane,und,"","",,Sepedi,Dewald du Plessis,2020-11-09T19:44:17Z
211103,moLalathau,und,"","",,Sepedi,Dewald du Plessis,2020-11-12T10:46:53Z
340228,moKgalwa,und,"","",,Sepedi,Dewald du Plessis,2020-11-12T10:51:18Z
340228,moKgalô,und,"","",,Sepedi,Dewald du Plessis,2020-11-12T10:51:55Z
427214,moŠita-tlou,und,"Bronkhorstspruit, GT, ZA","",,Sepedi,Dewald du Plessis,2020-11-12T11:01:34Z
340324,mMilo,und,"Witbank, MP, ZA","",,Sepedi,Dewald du Plessis,2020-11-12T11:15:56Z
