id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
73757,Prokletijski gušter,und,"","",The Reptile Database (2011). Downloaded from http://www.reptile-database.org on 31/07/2011,Serbian,,2011-08-19T02:55:13Z
47553,cis,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/9127198/common/213899,Serbian,Ken-ichi Ueda,2012-10-23T17:46:27Z
94930,Oštrulj,und,"","",,Serbian,Duarte Frade,2015-02-15T16:18:24Z
51741,sedmolist,und,"","",,Serbian,alderash,2015-05-18T13:23:37Z
109983,Srebrnkasti plavac,und,"","",,Serbian,Finlay Cox,2015-05-26T18:14:42Z
101585,krkuša,und,"","",,Serbian,alderash,2015-06-15T21:11:33Z
113003,klen,und,"","",,Serbian,alderash,2015-06-15T21:12:24Z
109315,pijor,und,"","",,Serbian,alderash,2015-06-15T21:12:17Z
47518,potočna pastrmka,und,"","",,Serbian,alderash,2015-06-15T21:13:19Z
53911,šaran,und,"","",,Serbian,alderash,2015-06-15T21:13:34Z
68076,kalifornijska pastrmka,und,"","",,Serbian,alderash,2015-06-15T21:13:53Z
69989,bodorka,und,"","",,Serbian,alderash,2015-06-16T21:42:03Z
69989,žutooka,und,"","",,Serbian,alderash,2015-06-16T21:41:34Z
69989,zlatooka,und,"","",,Serbian,alderash,2015-06-16T21:41:46Z
19898,šumska sova,und,"","",,Serbian,alderash,2016-03-28T09:37:40Z
47553,sis,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/9127198/common/213916,Serbian,Ken-ichi Ueda,2017-04-21T00:54:03Z
2,Хордати,und,"","",,Serbian,John E. Christensen,2017-11-30T13:11:20Z
154489,Анголска жирафа,und,"","",,Serbian,John E. Christensen,2017-12-19T15:46:17Z
47534,Жарњаци,und,"","",,Serbian,John E. Christensen,2018-01-04T10:41:24Z
343021,Слепић,und,"","",,Serbian,John E. Christensen,2018-01-22T07:03:24Z
6888,Пловуше,und,"","",,Serbian,John E. Christensen,2018-01-25T15:56:17Z
127412,Лејцестерија,und,"","",,Serbian,John E. Christensen,2018-01-26T09:59:35Z
48156,Смуђ,und,"","",,Serbian,John E. Christensen,2018-03-18T20:39:19Z
52913,Цикорија,und,"","",,Serbian,John E. Christensen,2018-03-29T15:42:22Z
43042,Европски јеж,und,"","",,Serbian,John E. Christensen,2018-05-24T15:39:49Z
58722,Бели бор,und,"","",,Serbian,,2018-06-16T13:26:19Z
51935,Росуље (род биљака),und,"","",,Serbian,John E. Christensen,2018-07-22T11:43:12Z
104420,Sredozemna zelenevica,und,"","",,Serbian,Aleksandar,2018-09-05T20:29:12Z
61508,Velika mora,und,"","",,Serbian,Aleksandar,2018-09-05T20:44:05Z
102803,Balkanska skrivalica,und,"","",,Serbian,Aleksandar,2018-09-05T20:45:27Z
141751,Jesenja skrivalica,und,"","",,Serbian,Aleksandar,2018-09-05T20:47:04Z
102792,Šumska skrivalica,und,"","",,Serbian,Aleksandar,2018-09-05T20:49:22Z
100743,Šumski šarenac,und,"","",,Serbian,Aleksandar,2018-09-05T20:59:14Z
100299,Malena erebija,und,"","",,Serbian,Aleksandar,2018-09-05T21:31:39Z
100298,Bistrooka erebija,und,"","",,Serbian,Aleksandar,2018-09-05T21:33:23Z
100292,Crna erebija,und,"","",,Serbian,Aleksandar,2018-09-05T21:36:06Z
62438,Bademasta erebija,und,"","",,Serbian,Aleksandar,2018-09-05T21:38:24Z
94043,Veliki car,und,"","",,Serbian,Aleksandar,2018-09-05T21:56:19Z
93437,Jesenski kralj,und,"","",,Serbian,Aleksandar,2018-09-05T21:57:13Z
104875,Veliki dukat,und,"","",,Serbian,Aleksandar,2018-09-05T23:41:18Z
106154,Bukova strižibuba,und,"","",,Serbian,Aleksandar,2018-09-06T18:32:56Z
47158,Bube,und,"","",,Serbian,Aleksandar,2018-10-09T18:29:05Z
47158,Insekti,und,"","",,Serbian,Aleksandar,2018-10-09T18:32:07Z
26154,Алигатор,und,"","",,Serbian,John E. Christensen,2018-10-18T06:28:35Z
54327,Стршљен,und,"","",,Serbian,John E. Christensen,2018-10-30T09:59:10Z
6930,Патка глувара,und,Serbia,RS,,Serbian,John E. Christensen,2018-12-14T15:06:21Z
56299,Вилино сито,und,"","",,Serbian,John E. Christensen,2018-12-30T15:43:13Z
42241,Шупљорога говеда,und,"","",,Serbian,John E. Christensen,2019-01-30T16:17:48Z
6921,Лабудови,und,"","",,Serbian,G,2019-03-31T11:31:48Z
53779,Хмељ,und,Serbia,RS,,Serbian,G,2019-03-31T11:34:22Z
54491,Леска,und,Serbia,RS,,Serbian,G,2019-03-31T11:36:09Z
60218,Смоква,und,Serbia,RS,,Serbian,G,2019-03-31T11:37:46Z
505478,Кокошка,und,"","",,Serbian,John E. Christensen,2019-12-28T14:30:24Z
