id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
55884,Pasja ruža,und,"","",,Serbo Croatian,John E. Christensen,2018-10-18T13:49:09Z
41871,Tvor,und,"","",,Serbo Croatian,John E. Christensen,2018-10-28T12:54:04Z
40151,Sisavac,und,"","",,Serbo Croatian,John E. Christensen,2019-02-07T16:14:03Z
44576,Smeđi štakor,und,"","",,Serbo Croatian,John E. Christensen,2019-04-17T09:27:39Z
131201,Jedić,und,"","",,Serbo Croatian,John E. Christensen,2019-09-03T16:06:58Z
43011,Ježevi,und,"","",,Serbo Croatian,John E. Christensen,2019-10-19T15:28:56Z
505478,Domaća kokoš,und,"","",,Serbo Croatian,John E. Christensen,2019-12-28T14:28:06Z
48536,Kozlačevke,und,"","",,Serbo Croatian,John E. Christensen,2020-07-03T13:16:28Z
4270,Veliki vranac,und,"","",,Serbo Croatian,John E. Christensen,2020-10-30T09:28:41Z
48040,Zvončike,und,"","",,Serbo Croatian,John E. Christensen,2020-11-19T17:33:31Z
99786,Električna jegulja,und,"","",,Serbo Croatian,Zane Roskoph,2021-07-29T03:21:21Z
41970,Jaguar,und,"","",,Serbo Croatian,Zane Roskoph,2021-07-30T12:16:57Z
41972,Oblačasti leopard,und,"","",,Serbo Croatian,Zane Roskoph,2021-07-30T13:01:44Z
74753,Sundski oblačasti leopard,und,"","",,Serbo Croatian,Zane Roskoph,2021-07-30T13:09:46Z
50873,Velika bijela psina,und,"","",,Serbo Croatian,Zane Roskoph,2021-07-30T14:07:11Z
26076,Filipinski krokodil,und,"","",,Serbo Croatian,Zane Roskoph,2021-07-30T15:08:57Z
26061,Kubanski krokodil,und,"","",,Serbo Croatian,Zane Roskoph,2021-07-30T15:22:50Z
42007,Puma,und,"","",,Serbo Croatian,Zane Roskoph,2021-08-01T01:54:27Z
26081,Orinočki krokodil,und,"","",,Serbo Croatian,Zane Roskoph,2021-08-02T23:30:58Z
52188,Kitopsina,und,"","",,Serbo Croatian,Zane Roskoph,2021-08-03T14:08:02Z
112841,Grenlandski morski pas,und,"","",,Serbo Croatian,Zane Roskoph,2021-08-03T15:35:29Z
3802,Bluna,und,"","",,Serbo Croatian,Zane Roskoph,2021-08-11T15:50:35Z
41644,Beli medved,und,"","",,Serbo Croatian,Zane Roskoph,2021-08-11T17:01:10Z
41724,Morski leopard,und,"","",,Serbo Croatian,Zane Roskoph,2021-08-11T19:29:31Z
147527,Azijski gepard,und,"","",,Serbo Croatian,Zane Roskoph,2021-08-13T11:45:51Z
41955,Gepard,und,"","",,Serbo Croatian,Zane Roskoph,2021-08-13T12:24:53Z
112581,Som,und,"","",,Serbo Croatian,Zane Roskoph,2021-08-14T18:23:53Z
41553,Plavi kit,und,"","",,Serbo Croatian,Zane Roskoph,2021-08-15T15:20:42Z
41461,Beluga,und,"","",,Serbo Croatian,Zane Roskoph,2021-08-15T20:15:01Z
41964,Lav,und,"","",,Serbo Croatian,Zane Roskoph,2021-08-24T15:20:49Z
74831,Snježni leopard,und,"","",,Serbo Croatian,Zane Roskoph,2021-08-25T12:00:23Z
42407,Europski bizon,und,"","",,Serbo Croatian,Zane Roskoph,2021-08-25T13:59:10Z
41967,Tigar,und,"","",,Serbo Croatian,Zane Roskoph,2021-08-26T16:30:28Z
130799,Sumatranski tigar,und,"","",,Serbo Croatian,Zane Roskoph,2021-08-26T17:03:49Z
130799,Balijski tigar,und,"","",,Serbo Croatian,Zane Roskoph,2021-08-26T17:54:32Z
130799,Javanski tigar,und,"","",,Serbo Croatian,Zane Roskoph,2021-08-27T11:45:41Z
130799,Јавански тигар,und,"","",,Serbo Croatian,Zane Roskoph,2021-08-27T11:45:54Z
130793,Bengalski tigar,und,"","",,Serbo Croatian,Zane Roskoph,2021-08-27T12:38:49Z
130793,Malajski tigar,und,"","",,Serbo Croatian,Zane Roskoph,2021-08-27T13:58:37Z
130793,Indokineski tigar,und,"","",,Serbo Croatian,Zane Roskoph,2021-08-27T14:16:06Z
130793,Južnokineski tigar,und,"","",,Serbo Croatian,Zane Roskoph,2021-08-27T14:39:51Z
27677,Čovječja ribica,und,"","",,Serbo Croatian,Zane Roskoph,2021-08-27T15:14:26Z
130796,Kaspijski tigar,und,"","",,Serbo Croatian,Zane Roskoph,2021-08-27T15:46:40Z
31975,Blavor,und,"","",,Serbo Croatian,Павел Несмеянов,2022-01-18T16:35:57Z
51607,висибаба,und,"","",,Serbo Croatian,nalagtus,2022-05-02T10:48:26Z
45933,Vjeverice,und,Croatia | Bosnia and Herzegovina | Montenegro | Serbia,"HR,BA,ME,RS",,Serbo Croatian,Marino Linić,2022-05-24T15:11:34Z
43698,Glodavci,und,Croatia,HR,,Serbo Croatian,Marino Linić,2022-05-24T15:12:25Z
132892,Egipatski skakavac,und,Croatia,HR,,Serbo Croatian,Marino Linić,2022-05-24T15:41:02Z
1289604,Morski vranac,und,Croatia,HR,,Serbo Croatian,Marino Linić,2022-05-24T15:53:28Z
319371,Morska pluća,und,Croatia | Bosnia and Herzegovina | Montenegro | Serbia,"HR,BA,ME,RS",,Serbo Croatian,Marino Linić,2022-05-26T21:45:16Z
64346,Ribarica,und,Croatia,HR,,Serbo Croatian,Marino Linić,2022-05-27T15:18:58Z
118642,Pjevčić žuti,und,Croatia,HR,,Serbo Croatian,Marino Linić,2022-05-28T20:06:05Z
114453,Pjevčić sićušni,und,Croatia,HR,,Serbo Croatian,Marino Linić,2022-05-28T20:08:18Z
48332,Režnjaci,und,Croatia,HR,,Serbo Croatian,Marino Linić,2022-05-28T20:12:41Z
48921,Obrubnjaci,und,Croatia,HR,,Serbo Croatian,Marino Linić,2022-05-28T20:19:28Z
49133,Ljepokrili admiral,und,Croatia,HR,,Serbo Croatian,Marino Linić,2022-05-31T21:09:01Z
57489,Bjelopjegavi ovnić,und,Croatia,HR,,Serbo Croatian,Marino Linić,2022-05-31T21:58:15Z
48824,Spužve,und,Croatia | Bosnia and Herzegovina | Serbia | Montenegro,"HR,BA,RS,ME",,Serbo Croatian,Marino Linić,2022-06-02T16:45:37Z
124145,Crna pčela drvarica,und,Croatia | Serbia | Bosnia and Herzegovina | Montenegro,"HR,RS,BA,ME",,Serbo Croatian,Marino Linić,2022-06-03T20:19:18Z
55610,Vatrena stjenica,und,Croatia,HR,,Serbo Croatian,Marino Linić,2022-06-03T20:39:58Z
81769,Žohari i termiti,und,Croatia | Serbia | Bosnia and Herzegovina | Montenegro,"HR,RS,BA,ME",,Serbo Croatian,Marino Linić,2022-06-03T20:56:13Z
326296,Smeđa krastača,und,Croatia,HR,,Serbo Croatian,Marino Linić,2022-06-03T21:08:01Z
12716,Kos,und,Croatia,HR,,Serbo Croatian,Marino Linić,2022-06-05T19:53:57Z
54327,Europski stršljen,und,Croatia,HR,,Serbo Croatian,Marino Linić,2022-06-05T19:59:25Z
509455,Crno-zeleni kožokrili konjic,und,Croatia,HR,,Serbo Croatian,Marino Linić,2022-06-09T10:40:10Z
336697,Crna medonjica,und,Croatia,HR,,Serbo Croatian,Marino Linić,2022-06-09T11:03:09Z
51678,Modra vodendjevojčica,und,Croatia,HR,,Serbo Croatian,Marino Linić,2022-06-09T11:29:27Z
130143,Poljska hitra,und,Croatia,HR,,Serbo Croatian,Marino Linić,2022-06-09T11:35:58Z
55882,Bršljan,und,Croatia,HR,,Serbo Croatian,Marino Linić,2022-06-09T11:52:10Z
135790,Crni bor,und,Croatia,HR,,Serbo Croatian,Marino Linić,2022-06-09T11:53:00Z
84640,Papirna osa,und,Croatia,HR,,Serbo Croatian,Marino Linić,2022-06-09T12:35:07Z
203153,Velika sjenica,und,Croatia,HR,,Serbo Croatian,Marino Linić,2022-06-10T22:57:34Z
52589,Obični okaš,und,Croatia,HR,,Serbo Croatian,Marino Linić,2022-06-11T13:56:13Z
125815,Bjelokrili okaš,und,Croatia,HR,,Serbo Croatian,Marino Linić,2022-06-11T13:57:20Z
155030,Plavi admiral,und,Croatia,HR,,Serbo Croatian,Marino Linić,2022-06-11T13:59:28Z
123628,Zelena sedefica,und,Croatia,HR,,Serbo Croatian,Marino Linić,2022-06-11T14:00:17Z
66334,Velika zelena žaba,und,Croatia,HR,,Serbo Croatian,Marino Linić,2022-06-11T14:19:48Z
52402,Zlatna mara,und,Croatia,HR,,Serbo Croatian,Marino Linić,2022-06-11T14:24:12Z
27726,Pjegavi daždevnjak,und,Croatia,HR,,Serbo Croatian,Marino Linić,2022-06-11T14:25:00Z
64103,Američka agava,und,Croatia,HR,,Serbo Croatian,Marino Linić,2022-06-11T14:27:33Z
57140,Maslina,und,Croatia,HR,,Serbo Croatian,Marino Linić,2022-06-11T14:28:33Z
55655,Mali vatreni plavac,und,Croatia,HR,,Serbo Croatian,Marino Linić,2022-06-11T14:31:56Z
102792,Bukvin sivac,und,Croatia,HR,,Serbo Croatian,Marino Linić,2022-06-13T16:32:09Z
122767,Domaći golub,und,Croatia,HR,,Serbo Croatian,Marino Linić,2022-06-13T17:06:25Z
