id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
64984,haat iiqui ix,und,"","",,Seri,Ken-ichi Ueda,2013-05-07T23:56:21Z
66013,sibo'li de tara,und,"","",,Seri,Ken-ichi Ueda,2013-05-08T00:05:34Z
32093,xazáacoj,und,"","",,Seri,M. Domínguez-Laso,2013-05-08T00:07:53Z
39665,moosni ilítcoj caacöl,und,"","",,Seri,Ken-ichi Ueda,2013-05-08T00:07:57Z
39665,xpeeyo,und,"","",,Seri,Ken-ichi Ueda,2013-05-08T00:07:58Z
39659,moosni,und,"","",,Seri,Andrés Nicolás Ramírez,2013-05-08T00:07:59Z
39672,moosni quipáacalc,und,"","",,Seri,Alec Cowles,2013-05-08T00:08:05Z
39670,Moosni Otác,und,"","",,Seri,Valentin de Mazancourt,2013-05-08T00:08:10Z
28246,coíimaj,und,"","",,Seri,Ken-ichi Ueda,2013-05-08T00:08:26Z
27302,hapéquet camízj,und,"","",,Seri,Jorge H. Valdez,2013-05-08T00:08:39Z
27289,hant quip,und,"","",,Seri,Scott Loarie,2013-05-08T00:08:42Z
29935,coimaj coospoj,und,"","",,Seri,Daniel Alexander Carrillo Mtz,2013-05-08T00:11:00Z
83515,hamísj catójoj,und,"","",,Seri,Ken-ichi Ueda,2013-05-08T00:14:00Z
29055,cocaznáacöl,und,"","",,Seri,Ken-ichi Ueda,2013-05-08T00:14:10Z
29044,cocasnáacöl,und,"","",,Seri,Tony Iwane,2013-05-08T00:14:12Z
73730,hast coof,und,"","",,Seri,Ken-ichi Ueda,2013-05-08T00:18:30Z
33144,hast coof,und,"","",,Seri,Ken-ichi Ueda,2013-05-08T00:18:32Z
62797,hantpízal,und,"","",,Seri,Ken-ichi Ueda,2013-05-08T00:18:34Z
39677,Moosnípol,und,"","",,Seri,Bobby McCabe,2013-05-08T00:18:49Z
30630,coftji,und,"","",,Seri,Ken-ichi Ueda,2013-05-08T00:18:51Z
35164,xepe ano cocázni,und,"","",,Seri,symisme840,2013-05-08T00:19:08Z
33387,cozíxol,und,"","",,Seri,Jorge H. Valdez,2013-05-08T00:19:40Z
35003,paaza,und,"","",,Seri,Carlos Galindo-Leal,2013-05-08T00:20:44Z
318044,heepni,und,"","",,Seri,Ken-ichi Ueda,2013-05-08T00:20:48Z
35356,meyo,und,"","",,Seri,Ken-ichi Ueda,2013-05-08T00:20:58Z
35356,porohui,und,"","",,Seri,Ken-ichi Ueda,2013-05-08T00:20:59Z
35330,coof coopol,und,"","",,Seri,Ken-ichi Ueda,2013-05-08T00:21:04Z
73837,xtamáaija,und,"","",,Seri,Ken-ichi Ueda,2013-05-08T00:21:10Z
39718,xtamáaija,und,"","",,Seri,Ken-ichi Ueda,2013-05-08T00:21:17Z
36080,ctamófi,und,"","",,Seri,Jorge H. Valdez,2013-05-08T00:21:33Z
36301,hant coáaxoj,und,"","",,Seri,Ken-ichi Ueda,2013-05-08T00:22:15Z
36281,haasj,und,"","",,Seri,Ken-ichi Ueda,2013-05-08T00:22:20Z
36107,hehe iti cooscl,und,"","",,Seri,Ken-ichi Ueda,2013-05-08T00:23:40Z
36094,tozípla,und,"","",,Seri,Ken-ichi Ueda,2013-05-08T00:23:48Z
73656,güico,und,"","",,Seri,Jorge H. Valdez,2013-05-08T00:25:25Z
73659,güico,und,"","",,Seri,Ken-ichi Ueda,2013-05-08T00:25:26Z
73661,huico,und,"","",,Seri,Ken-ichi Ueda,2013-05-08T00:25:29Z
73663,güico,und,"","",,Seri,Cole Gaerber,2013-05-08T00:25:30Z
121102,güico,und,"","",,Seri,Ken-ichi Ueda,2013-05-08T00:25:34Z
73666,huico,und,"","",,Seri,Ken-ichi Ueda,2013-05-08T00:25:34Z
73674,güico,und,"","",,Seri,Ken-ichi Ueda,2013-05-08T00:25:45Z
73677,güico,und,"","",,Seri,Ken-ichi Ueda,2013-05-08T00:25:48Z
73683,huico,und,"","",,Seri,Ken-ichi Ueda,2013-05-08T00:25:53Z
73691,huico,und,"","",,Seri,Ken-ichi Ueda,2013-05-08T00:26:09Z
38671,güico,und,"","",,Seri,Ken-ichi Ueda,2013-05-08T00:26:14Z
38671,huico,und,"","",,Seri,Ken-ichi Ueda,2013-05-08T00:26:16Z
40086,xtamóosni,und,"","",,Seri,Corey Lange,2013-05-08T00:26:22Z
30764,cocázni,und,"","",,Seri,Scott Loarie,2013-05-08T00:27:23Z
73724,sayahuqui,und,"","",,Seri,Ken-ichi Ueda,2013-05-08T00:27:26Z
30751,ctaamjij,und,"","",,Seri,Ken-ichi Ueda,2013-05-08T00:27:31Z
30719,cocázni,und,"","",,Seri,R.J. Adams,2013-05-08T00:27:53Z
30758,cocázni cahtxima,und,"","",,Seri,Daniel Alexander Carrillo Mtz,2013-05-08T00:28:01Z
39484,cozíxoj,und,"","",,Seri,Ken-ichi Ueda,2013-05-08T00:28:32Z
76541,cayixam,und,"","",,Seri,Carlos Galindo-Leal,2013-05-16T08:04:27Z
64161,caztaz,und,"","",,Seri,Ken-ichi Ueda,2013-05-16T08:04:28Z
122796,coquee-quizil,und,"","",,Seri,Zinogre,2013-05-16T08:06:54Z
201380,cótootaj,und,"","",,Seri,Ken-ichi Ueda,2013-05-16T08:07:08Z
49339,cotz,und,"","",,Seri,Ken-ichi Ueda,2013-05-16T08:07:08Z
68205,Háaxat,und,"","",,Seri,Ken-ichi Ueda,2013-05-16T08:10:47Z
158098,hamoc,und,"","",,Seri,Ken-ichi Ueda,2013-05-16T08:10:49Z
48448,hapxol,und,"","",,Seri,Ken-ichi Ueda,2013-05-16T08:10:49Z
78264,héel,und,"","",,Seri,Bobby McCabe,2013-05-16T08:10:53Z
55854,hehe-caróocot,und,"","",,Seri,Stefano Doglio,2013-05-16T08:10:53Z
78256,Comítin,und,"","",,Seri,Oscar González,2013-05-16T08:13:58Z
54449,mojépe,und,"","",,Seri,Eli Diego Moreno,2013-05-16T08:19:21Z
77299,móoj,und,"","",,Seri,Ken-ichi Ueda,2013-05-16T08:19:26Z
62291,najca' azjc,und,"","",,Seri,Ken-ichi Ueda,2013-05-16T08:19:47Z
62299,najca'azjc,und,"","",,Seri,Ken-ichi Ueda,2013-05-16T08:19:47Z
82005,ool,und,"","",,Seri,Ken-ichi Ueda,2013-05-16T08:20:49Z
122854,paaricomitin,und,"","",,Seri,Ken-ichi Ueda,2013-05-16T08:21:07Z
129418,tootoco,und,"","",,Seri,Steve Jones,2013-05-16T08:26:02Z
49325,xeshish,und,"","",,Seri,Ken-ichi Ueda,2013-05-16T08:27:35Z
129395,xlóolco,und,"","",,Seri,Alison Northup,2013-05-16T08:27:44Z
53858,xojat-hapec,und,"","",,Seri,Ken-ichi Ueda,2013-05-16T08:27:48Z
68186,xoop,und,"","",,Seri,Ken-ichi Ueda,2013-05-16T08:27:52Z
28762,cofti caacoj,und,"","",,Seri,Juan Cruzado Cortés,2013-05-17T04:20:37Z
52614,atam,und,"","",,Seri,Eréndira Canales,2014-08-13T16:04:21Z
49351,coote,und,"","",,Seri,Ulises Guzmán,2015-08-31T16:22:56Z
49351,sea,und,"","",,Seri,Ulises Guzmán,2015-08-31T16:24:16Z
49351,sea cotopöl,und,"","",,Seri,Ulises Guzmán,2015-08-31T16:24:40Z
47416,Hant caal,und,"","",,Seri,Diego Barrales,2017-03-05T20:03:00Z
47552,Coíiz cahtxíma,und,"","",,Seri,Diego Barrales,2017-03-05T20:45:15Z
49541,Coíiz cheel,und,"","",,Seri,Diego Barrales,2017-03-05T20:47:04Z
49330,Coíiz iime,und,"","",,Seri,Diego Barrales,2017-03-05T20:48:29Z
47424,Coíiz imocóp,und,"","",,Seri,Diego Barrales,2017-03-05T20:49:39Z
47535,Conzáait,und,"","",,Seri,Diego Barrales,2017-03-05T20:51:35Z
48139,Itoj czooxöc,und,"","",,Seri,Diego Barrales,2017-03-05T20:54:12Z
