id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
589770,seodi,und,"","",,Serolong,Botswanabugs,2021-07-25T12:58:52Z
589769,seodi,und,"","",,Serolong,Botswanabugs,2021-07-25T12:59:53Z
589278,mareteapitse,und,"","",,Serolong,Botswanabugs,2021-08-01T10:52:39Z
133950,modutu,und,"","",,Serolong,Botswanabugs,2021-08-25T18:22:16Z
567325,mokgolekgole,und,"","",,Serolong,Botswanabugs,2021-09-13T12:29:35Z
594418,morutlhare,und,"","",,Serolong,Botswanabugs,2021-09-13T14:15:00Z
40268,mmamathwane,und,"","",,Serolong,Botswanabugs,2021-11-18T11:12:38Z
42095,tlhose,und,"","",,Serolong,Botswanabugs,2021-11-19T02:43:15Z
42055,losie,und,"","",,Serolong,Botswanabugs,2021-11-19T02:47:54Z
42280,pudumo,und,"","",,Serolong,Botswanabugs,2021-11-19T03:39:48Z
871614,semane,und,"","",,Serolong,Botswanabugs,2021-11-19T03:45:10Z
43747,serathi,und,"","",,Serolong,Botswanabugs,2021-12-05T09:56:02Z
1306006,thukgwi,und,"","",https://www.inaturalist.org/taxon_names/2785937/edit,Serolong,,2022-02-28T01:15:18Z
1306006,kgwereme,und,"","",https://www.inaturalist.org/taxon_names/2785943/edit,Serolong,,2022-02-28T01:15:19Z
