id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
8188,Pjempjete,und,"","",,Sesotho,Marion Maclean,2017-10-20T15:23:24Z
595951,mohae,und,"","",,Sesotho,Joachim Louis,2018-01-20T20:39:19Z
43125,Mofuli,und,"","",,Sesotho,Bobby McCabe,2018-04-13T15:30:27Z
593876,mohlonetjhwa,und,"","",,Sesotho,Botswanabugs,2019-10-15T09:46:05Z
70054,mokakawane,und,"","",,Sesotho,Botswanabugs,2019-10-15T09:48:44Z
569123,mokgotho,und,"","",,Sesotho,Botswanabugs,2019-10-15T09:50:49Z
157960,mokgwathakwale,und,"","",,Sesotho,Botswanabugs,2019-10-15T09:52:52Z
593868,mokgwamphiri,und,"","",,Sesotho,Botswanabugs,2019-10-15T09:54:56Z
593868,mokgwaphiri,und,"","",,Sesotho,Botswanabugs,2019-10-15T09:55:50Z
588941,sebitsa,und,"","",,Sesotho,Botswanabugs,2019-10-15T10:03:22Z
925659,Tshipo e Matheba a Masesane,und,"","",,Sesotho,Bobby McCabe,2020-02-23T05:01:02Z
925659,Tshipa,und,"","",,Sesotho,Bobby McCabe,2020-02-23T05:01:27Z
41595,Tsipa e matheba a maholo,und,"","",,Sesotho,Bobby McCabe,2020-02-23T05:24:35Z
41595,Thsipa,und,"","",,Sesotho,Bobby McCabe,2020-02-23T05:24:51Z
41595,T’sipa,und,"","",,Sesotho,Bobby McCabe,2020-02-23T05:25:04Z
47649,Tsie,und,"","",,Sesotho,Dewald du Plessis,2020-03-14T13:32:41Z
42288,Phuthi e kgubedu,und,"","",,Sesotho,Bobby McCabe,2020-03-19T16:26:34Z
123564,Quaha,und,"","",,Sesotho,Dewald du Plessis,2020-03-20T08:06:51Z
41955,leNgau,und,"Free State, ZA","",,Sesotho,Dewald du Plessis,2020-03-20T08:35:03Z
593935,marama-a-baroetsana,und,Kwa Zulu Natal and Lesotho,"",,Sesotho,jkissling,2020-04-02T17:57:36Z
86007,leKgala,und,"","",,Sesotho,Dewald du Plessis,2020-04-06T18:36:28Z
91274,leKgala,und,"","",,Sesotho,Dewald du Plessis,2020-04-06T18:37:58Z
71067,leKgala,und,"","",,Sesotho,Dewald du Plessis,2020-04-06T18:39:47Z
121639,leKgala,und,"","",,Sesotho,Dewald du Plessis,2020-04-06T18:41:20Z
342910,Phorone,und,"","",,Sesotho,Dewald du Plessis,2020-04-06T18:54:40Z
