id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
336805,Bojang jwadipitse,und,"","",,Setlharo,Botswanabugs,2019-09-28T08:05:50Z
513962,serapologwane,und,"","",,Setlharo,Botswanabugs,2021-01-06T02:53:31Z
60312,bojang jwamotako,und,"","",,Setlharo,Botswanabugs,2021-07-04T12:30:50Z
79069,bogotsana,und,"","",,Setlharo,Botswanabugs,2021-07-04T12:38:12Z
168841,sebetebete,und,"","",,Setlharo,Botswanabugs,2021-07-04T12:54:07Z
168841,monyokololo,und,"","",,Setlharo,Botswanabugs,2021-07-04T12:56:07Z
336803,segwane,und,"","",,Setlharo,Botswanabugs,2021-07-06T09:49:23Z
57354,peperebomo,und,"","",,Setlharo,Botswanabugs,2021-07-06T11:03:04Z
590104,thobega,und,"","",,Setlharo,Botswanabugs,2021-07-09T02:47:25Z
546326,mokhomana,und,"","",,Setlharo,Botswanabugs,2021-07-09T04:17:35Z
138573,seritshane,und,"","",,Setlharo,Botswanabugs,2021-07-09T04:27:22Z
355852,mokuburwane,und,"","",,Setlharo,Botswanabugs,2021-07-09T05:42:58Z
505798,mogedigetsana,und,"","",,Setlharo,Botswanabugs,2021-07-10T04:51:35Z
580627,sitlasitlwane,und,"","",,Setlharo,Botswanabugs,2021-07-10T05:04:00Z
580646,mosokelatsebeng,und,"","",,Setlharo,Botswanabugs,2021-07-10T05:08:48Z
592315,mogato o mosesane,und,"","",,Setlharo,Khama III Memorial Museum in Serowe,2021-07-20T07:24:44Z
347252,losi,und,"","",,Setlharo,Khama III Memorial Museum in Serowe,2021-07-20T07:38:11Z
181061,badingwane,und,"","",,Setlharo,Botswanabugs,2021-07-21T04:36:25Z
533331,legolo,und,"","",,Setlharo,Botswanabugs,2021-07-25T11:04:53Z
589770,lelelenrsane,und,"","",,Setlharo,Botswanabugs,2021-07-25T12:57:45Z
589484,motolo,und,"","",,Setlharo,Botswanabugs,2021-07-27T05:38:10Z
437591,mokhu,und,"","",,Setlharo,Botswanabugs,2021-07-30T10:58:01Z
589278,tlhakwana,und,"","",,Setlharo,Botswanabugs,2021-08-01T10:51:19Z
588162,kgelegetlwa,und,"","",,Setlharo,Botswanabugs,2021-08-01T14:14:08Z
588162,senyamadi,und,"","",,Setlharo,Botswanabugs,2021-08-01T14:14:47Z
417255,nkai,und,"","",,Setlharo,Botswanabugs,2021-08-01T14:25:08Z
417255,nkie,und,"","",,Setlharo,Botswanabugs,2021-08-01T14:25:56Z
338772,legoma,und,"","",,Setlharo,Botswanabugs,2021-08-09T07:23:30Z
338772,lesomo,und,"","",,Setlharo,Botswanabugs,2021-08-09T07:27:49Z
126238,mosumo,und,"","",,Setlharo,Botswanabugs,2021-08-20T14:03:14Z
583112,mojakubu,und,"","",,Setlharo,Botswanabugs,2021-08-20T14:13:30Z
588729,mosomasekgwa,und,"","",,Setlharo,Botswanabugs,2021-09-01T07:24:31Z
588740,kgonggwane,und,"","",,Setlharo,Botswanabugs,2021-09-01T08:00:35Z
871614,sadikhwe,und,"","",,Setlharo,Botswanabugs,2021-11-19T03:48:54Z
57560,mmutle wamatsaatsela,und,"","",,Setlharo,Botswanabugs,2021-11-19T04:01:25Z
57560,moduolo,und,"","",,Setlharo,Botswanabugs,2021-11-19T04:02:36Z
43159,moduolo,und,"","",,Setlharo,Botswanabugs,2021-11-19T04:04:08Z
