id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
595009,moruda,und,"","",,Setswapong,Botswanabugs,2020-01-28T01:44:24Z
581033,monyee,und,"","",,Setswapong,Botswanabugs,2020-01-28T02:48:31Z
133182,mokoyo,und,"","",,Setswapong,Botswanabugs,2020-01-28T02:51:11Z
158255,thepe,und,"","",,Setswapong,Botswanabugs,2020-01-28T02:57:55Z
582629,seroko,und,"","",,Setswapong,Botswanabugs,2020-03-09T12:57:43Z
586670,mothono,und,"","",,Setswapong,Botswanabugs,2021-05-24T13:10:24Z
343032,mothakola,und,"","",,Setswapong,Botswanabugs,2021-06-12T03:43:54Z
430533,Motsiara,und,"","",,Setswapong,Botswanabugs,2021-07-01T17:13:02Z
595012,Morutla,und,"","",,Setswapong,Botswanabugs,2021-07-03T12:18:17Z
181972,seboaboana,und,"","",,Setswapong,Botswanabugs,2021-07-04T12:06:33Z
181972,Seboana,und,"","",,Setswapong,Botswanabugs,2021-07-04T12:07:36Z
369448,molope,und,"","",,Setswapong,Botswanabugs,2021-07-06T09:39:56Z
340143,motlatlane,und,"","",,Setswapong,Botswanabugs,2021-07-06T09:47:36Z
516181,kgotshana,und,"","",,Setswapong,Botswanabugs,2021-07-08T17:22:47Z
166729,mosefa,und,"","",,Setswapong,Khama III Memorial Museum in Serowe,2021-07-20T07:45:00Z
532043,morobisane,und,"","",,Setswapong,Botswanabugs,2021-07-27T05:41:57Z
340211,mhatla,und,"","",,Setswapong,Botswanabugs,2021-07-27T06:19:00Z
147388,nyethi,und,"","",,Setswapong,Botswanabugs,2021-08-01T12:26:21Z
582499,mosisi,und,"","",,Setswapong,Botswanabugs,2021-08-12T08:36:22Z
135389,mokgabi,und,"","",,Setswapong,Botswanabugs,2021-08-12T09:11:24Z
340314,moepe,und,"","",,Setswapong,Botswanabugs,2021-08-14T12:13:59Z
340314,mosoole,und,"","",,Setswapong,Botswanabugs,2021-08-14T12:14:44Z
340175,mmolaakgaka,und,"","",,Setswapong,Botswanabugs,2021-08-19T17:07:31Z
159850,magwadane,und,"","",,Setswapong,Botswanabugs,2022-01-26T05:22:20Z
584388,monamane,und,"","",,Setswapong,Botswanabugs,2022-01-26T05:23:51Z
428749,mophane,und,"","",,Setswapong,Botswanabugs,2022-01-26T05:25:33Z
582622,mothapo,und,"","",,Setswapong,Botswanabugs,2022-01-26T07:12:33Z
340408,motswere,und,"","",,Setswapong,Botswanabugs,2022-01-26T07:13:38Z
488493,Mphaphama,und,"","",,Setswapong,Botswanabugs,2022-01-26T07:15:21Z
600574,Molemo monate,und,"","",,Setswapong,Botswanabugs,2022-01-26T07:28:25Z
591469,Molemo monate,und,"","",,Setswapong,Botswanabugs,2022-01-26T07:29:18Z
591317,monokana,und,"","",,Setswapong,Botswanabugs,2022-01-26T07:30:43Z
469795,Galalatshwene,und,"","",,Setswapong,Botswanabugs,2022-01-26T07:32:33Z
589256,Mosukujane,und,"","",,Setswapong,Botswanabugs,2022-01-26T07:33:54Z
343067,mosokudu,und,"","",,Setswapong,Botswanabugs,2022-01-26T07:35:32Z
588173,seswagadi,und,"","",,Setswapong,Botswanabugs,2022-01-26T07:37:01Z
587796,tshikadithata,und,"","",,Setswapong,Botswanabugs,2022-01-26T07:39:39Z
431063,morala,und,"","",,Setswapong,Botswanabugs,2022-01-26T07:41:02Z
533457,Mothakolana,und,"","",,Setswapong,Botswanabugs,2022-01-26T07:42:21Z
584445,Mositsane,und,"","",,Setswapong,Botswanabugs,2022-01-26T07:43:58Z
571042,sekaname,und,"","",,Setswapong,Botswanabugs,2022-01-26T07:46:30Z
340314,Moshoole,und,"","",,Setswapong,Botswanabugs,2022-01-26T07:47:46Z
567134,phekolola,und,"","",,Setswapong,Botswanabugs,2022-01-26T07:55:26Z
592666,segwere,und,"","",,Setswapong,Botswanabugs,2022-01-26T08:58:09Z
