id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
426076,Tyomityo,und,"","",,Seychellois Creole,seasav,2016-04-17T18:43:29Z
436067,Koko maron,und,"","",,Seychellois Creole,Bruno Senterre,2019-07-23T08:13:17Z
617360,Parioglos seselwa are,und,"","",,Seychellois Creole,Zane Roskoph,2021-07-20T15:31:18Z
341073,Gouzon,und,"","",,Seychellois Creole,Zane Roskoph,2021-07-20T15:34:38Z
341073,Gourzon,und,"","",,Seychellois Creole,Zane Roskoph,2021-07-20T15:34:57Z
617360,Larkansyel,und,"","",,Seychellois Creole,Zane Roskoph,2021-08-01T14:47:43Z
153280,Karang ledan,und,"","",,Seychellois Creole,Zane Roskoph,2021-08-29T13:52:18Z
106222,Mile,und,"","",,Seychellois Creole,Zane Roskoph,2021-09-01T17:16:50Z
47257,Kin fis,und,"","",,Seychellois Creole,Zane Roskoph,2021-09-20T00:12:58Z
97004,Msye angar,und,"","",,Seychellois Creole,Zane Roskoph,2021-10-09T16:04:14Z
58612,Dame céré,und,"","",,Seychellois Creole,Zane Roskoph,2021-10-23T15:33:51Z
58612,Madanm séré,und,"","",,Seychellois Creole,Zane Roskoph,2021-10-23T15:36:00Z
58612,Monbrun,und,"","",,Seychellois Creole,Zane Roskoph,2021-10-23T15:37:27Z
