id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
340245,inkanyi,und,"","",,Shangaan,Botswanabugs,2020-01-13T07:21:20Z
30820,Chipigani,und,"","",,Shangaan,Botswanabugs,2020-02-12T07:44:56Z
334379,mkonde,und,"","",,Shangaan,Botswanabugs,2021-08-11T13:16:50Z
334379,ishupa,und,"","",,Shangaan,Botswanabugs,2021-08-11T13:19:15Z
122098,nsisani,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Shangaan,Ken-ichi Ueda,2021-10-21T20:26:22Z
502780,munga,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Shangaan,Ken-ichi Ueda,2021-10-21T20:26:22Z
348763,nkelenga,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Shangaan,Ken-ichi Ueda,2021-10-21T20:26:22Z
597515,mabophe,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Shangaan,Ken-ichi Ueda,2021-10-21T20:26:22Z
340276,dovosha,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Shangaan,Ken-ichi Ueda,2021-10-21T20:26:23Z
340175,shivulanguva,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Shangaan,Ken-ichi Ueda,2021-10-21T20:26:23Z
509176,imangamabye,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Shangaan,Ken-ichi Ueda,2021-10-21T20:26:23Z
340136,phalakhwari,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Shangaan,Ken-ichi Ueda,2021-10-21T20:26:24Z
184447,ribaba,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Shangaan,Ken-ichi Ueda,2021-10-21T20:26:24Z
597939,nnulu,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Shangaan,Ken-ichi Ueda,2021-10-21T20:26:24Z
597939,Nulu,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Shangaan,Ken-ichi Ueda,2021-10-21T20:26:25Z
