id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
161469,muqoma,und,"","",,Shiyeyi,Botswanabugs,2020-05-29T17:04:55Z
40019,infuru,und,"","",,Shiyeyi,Botswanabugs,2020-11-18T11:51:10Z
47062,inengu,und,"","",,Shiyeyi,Botswanabugs,2020-11-18T11:53:38Z
413842,ina,und,"","",,Shiyeyi,Botswanabugs,2020-11-18T11:57:33Z
47822,indzi,und,"","",,Shiyeyi,Botswanabugs,2020-11-18T12:01:14Z
48894,indje,und,"","",,Shiyeyi,Botswanabugs,2020-11-18T12:09:54Z
5308,inkhwezi,und,"","",,Shiyeyi,Botswanabugs,2020-11-18T12:12:45Z
630955,innyishii,und,"","",,Shiyeyi,Botswanabugs,2020-11-18T12:14:40Z
85553,innywaka,und,"","",,Shiyeyi,Botswanabugs,2020-11-18T12:16:55Z
47178,inshwi,und,"","",,Shiyeyi,Botswanabugs,2020-11-18T12:20:42Z
14026,intsitsi,und,"","",,Shiyeyi,Botswanabugs,2020-11-18T12:23:22Z
55423,ldidorombira,und,"","",,Shiyeyi,Botswanabugs,2020-11-18T12:25:07Z
49556,ldigcau,und,"","",,Shiyeyi,Botswanabugs,2020-11-18T12:27:20Z
5363,ldiyini,und,"","",,Shiyeyi,Botswanabugs,2020-11-18T12:42:34Z
5362,ldiyini,und,"","",,Shiyeyi,Botswanabugs,2020-11-18T12:43:44Z
342681,munquni,und,"","",,Shiyeyi,Botswanabugs,2020-11-18T12:45:22Z
321501,mweende,und,"","",,Shiyeyi,Botswanabugs,2020-11-18T12:49:42Z
47167,shiwowa,und,"","",,Shiyeyi,Botswanabugs,2020-11-18T12:51:48Z
148030,udongi,und,"","",,Shiyeyi,Botswanabugs,2020-11-18T12:53:37Z
42387,ugu,und,"","",,Shiyeyi,Botswanabugs,2020-11-18T12:54:59Z
43335,umbiyi,und,"","",,Shiyeyi,Botswanabugs,2020-11-18T12:58:16Z
123070,umphene,und,"","",,Shiyeyi,Botswanabugs,2020-11-18T12:59:41Z
47224,umpiripisa,und,"","",,Shiyeyi,Botswanabugs,2020-11-18T13:02:35Z
41887,umpuru,und,"","",,Shiyeyi,Botswanabugs,2020-11-18T13:05:43Z
43358,unkaka,und,"","",,Shiyeyi,Botswanabugs,2020-11-18T13:07:42Z
42157,unvweshe,und,"","",,Shiyeyi,Botswanabugs,2020-11-18T13:08:55Z
513962,manXatura,und,"","",,Shiyeyi,Botswanabugs,2021-01-06T02:57:54Z
634052,mokode,und,"","",,Shiyeyi,Botswanabugs,2021-09-10T15:34:55Z
580936,xaa,und,"","",,Shiyeyi,Botswanabugs,2021-09-10T15:36:03Z
938367,shoi,und,"","",,Shiyeyi,Botswanabugs,2021-09-10T15:38:00Z
595946,ushuu,und,"","",,Shiyeyi,Khama III Memorial Museum in Serowe,2021-09-13T11:19:38Z
594427,munga,und,"","",,Shiyeyi,Botswanabugs,2021-09-13T12:16:02Z
428749,ogumane,und,"","",,Shiyeyi,Botswanabugs,2021-09-14T03:06:35Z
428749,opane,und,"","",,Shiyeyi,Botswanabugs,2021-09-14T03:07:36Z
469308,rethajwa,und,"","",,Shiyeyi,Botswanabugs,2021-09-14T03:17:07Z
122099,chico,und,"","",,Shiyeyi,Botswanabugs,2021-10-31T19:17:52Z
81491,uxhoro,und,"","",,Shiyeyi,Botswanabugs,2021-10-31T19:24:43Z
507107,moxhxo,und,"","",,Shiyeyi,Botswanabugs,2021-10-31T19:28:45Z
157304,onshabwe,und,"","",,Shiyeyi,Botswanabugs,2021-10-31T19:31:30Z
431075,manxore,und,"","",,Shiyeyi,Botswanabugs,2021-12-21T10:53:44Z
64238,eshoshong,und,"","",,Shiyeyi,Botswanabugs,2021-12-21T11:04:33Z
588331,mokera o shoro,und,"","",,Shiyeyi,Botswanabugs,2021-12-21T11:15:46Z
342681,omgawu,und,"","",,Shiyeyi,Botswanabugs,2021-12-21T11:25:54Z
516181,ompopusa,und,"","",,Shiyeyi,Botswanabugs,2021-12-21T11:29:24Z
