id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
415417,Bepu,und,"","",,Shona,Joachim Louis,2016-03-23T07:47:30Z
340408,Monzo,und,"","",,Shona,Joachim Louis,2016-03-23T07:50:38Z
340408,Muchenarota,und,"","",,Shona,Joachim Louis,2016-03-23T07:51:18Z
340408,Mutsviri,und,"","",,Shona,Joachim Louis,2016-03-23T07:52:00Z
342536,Bambagwena,und,"","",,Shona,Joachim Louis,2016-03-23T08:24:00Z
342536,Mupfurura,und,"","",,Shona,Joachim Louis,2016-03-23T08:24:43Z
343039,Musangu,und,"","",,Shona,Joachim Louis,2016-03-23T08:56:54Z
355675,Dzemuzongoza,und,"","",,Shona,John E. Christensen,2017-12-06T09:55:21Z
43694,Mhofu,und,"","",,Shona,Bobby McCabe,2018-01-27T18:21:43Z
52134,Humhutu,und,"","",,Shona,John E. Christensen,2018-02-17T10:28:56Z
39392,Mupurwa,und,"","",,Shona,John E. Christensen,2018-07-08T16:16:44Z
45933,Tsindi,und,"","",,Shona,John E. Christensen,2018-07-12T15:32:43Z
450851,Dhadharuma,und,"","",,Shona,Botswanabugs,2019-11-28T03:53:27Z
450851,Dandaruma,und,"","",,Shona,Botswanabugs,2019-11-28T03:54:13Z
450851,Machodwana,und,"","",,Shona,Botswanabugs,2019-11-28T04:09:21Z
505478,Huku,und,"","",,Shona,John E. Christensen,2019-12-28T14:29:16Z
340245,Mufuna,und,"","",,Shona,Botswanabugs,2020-01-13T05:52:16Z
340245,Mupfura,und,"","",,Shona,Botswanabugs,2020-01-13T05:53:02Z
340245,Mushomo,und,"","",,Shona,Botswanabugs,2020-01-13T05:53:47Z
340245,mufura,und,"","",,Shona,Botswanabugs,2020-01-13T07:22:44Z
340245,marula,und,"","",,Shona,Botswanabugs,2020-01-13T07:24:09Z
340245,ikanyi,und,"","",,Shona,Botswanabugs,2020-01-13T07:24:55Z
340245,mutsomo,und,"","",,Shona,Botswanabugs,2020-01-13T07:25:39Z
340245,mukwakwa,und,"","",,Shona,Botswanabugs,2020-01-13T07:26:51Z
340245,muganu,und,"","",,Shona,Botswanabugs,2020-01-13T07:27:30Z
47347,chihumbiro,und,"","",,Shona,Botswanabugs,2020-01-16T14:25:31Z
340101,Mudzambiringa,und,"","",,Shona,Botswanabugs,2020-01-28T01:35:24Z
340101,Mugunduzhi,und,"","",,Shona,Botswanabugs,2020-01-28T01:36:19Z
30820,Chiva,und,"","",,Shona,Botswanabugs,2020-02-12T07:37:56Z
30820,mvumbi,und,"","",,Shona,Botswanabugs,2020-02-12T07:38:47Z
30820,Bvumbi,und,"","",,Shona,Botswanabugs,2020-02-12T07:39:37Z
30820,chiwadzi,und,"","",,Shona,Botswanabugs,2020-02-12T07:41:06Z
41595,Tsimba,und,"","",,Shona,Bobby McCabe,2020-02-23T05:27:04Z
42278,Mhara,und,"","",,Shona,Bobby McCabe,2020-03-19T16:08:14Z
75395,mbuya,und,"","",,Shona,Botswanabugs,2020-08-18T04:34:39Z
62917,mbuya,und,"","",,Shona,Botswanabugs,2020-08-18T04:35:58Z
158255,mbuya,und,"","",,Shona,Botswanabugs,2020-08-18T04:37:13Z
160263,Mundawarara,und,"","",,Shona,Botswanabugs,2020-08-18T04:38:35Z
50203,sine,und,"","",,Shona,Botswanabugs,2020-08-18T04:40:02Z
53294,Rurimirwemombe,und,"","",,Shona,Botswanabugs,2020-08-18T04:41:56Z
128928,Nyovhi,und,"","",,Shona,Botswanabugs,2020-08-18T04:43:21Z
472455,Musemwasemwa,und,"","",,Shona,Botswanabugs,2020-08-18T04:45:03Z
58127,mubvunzandadya,und,"","",,Shona,Botswanabugs,2020-08-18T04:46:53Z
161246,Muchacha,und,"","",,Shona,Botswanabugs,2020-08-18T04:48:35Z
126238,Mugaka,und,"","",,Shona,Botswanabugs,2020-08-18T04:50:32Z
76584,Pfende,und,"","",,Shona,Botswanabugs,2020-08-18T04:52:41Z
506969,Derere hambakachere,und,"","",,Shona,Botswanabugs,2020-08-18T04:54:50Z
160871,derere,und,"","",,Shona,Botswanabugs,2020-08-18T04:56:37Z
160868,derere,und,"","",,Shona,Botswanabugs,2020-08-18T04:58:08Z
553571,derere,und,"","",,Shona,Botswanabugs,2020-08-18T05:15:10Z
79141,Musungusungu,und,"","",,Shona,Botswanabugs,2020-08-18T05:16:59Z
61374,Muguzubheri,und,"","",,Shona,Botswanabugs,2020-08-18T05:18:18Z
61839,Musauti,und,"","",,Shona,Botswanabugs,2020-08-18T05:19:22Z
797700,Mhunzamusha,und,"","",,Shona,Andrew Durso,2020-08-28T14:23:33Z
797700,Ndara,und,"","",,Shona,Andrew Durso,2020-08-28T14:23:47Z
30358,Coracundu?,und,"","",,Shona,Andrew Durso,2020-08-28T14:46:15Z
106446,Nyamafingu,und,"","",,Shona,Andrew Durso,2020-08-28T15:21:25Z
106446,Makure?,und,"","",,Shona,Andrew Durso,2020-08-28T15:21:39Z
106446,Mungu?,und,"","",,Shona,Andrew Durso,2020-08-28T15:21:52Z
30405,Hangara,und,"","",,Shona,Andrew Durso,2020-08-28T15:55:08Z
428764,Harugwa,und,South Africa | Zimbabwe,"ZA,ZW",,Shona,Dewald du Plessis,2021-01-21T15:44:47Z
340324,maTufu,und,Zimbabwe,ZW,,Shona,Dewald du Plessis,2021-01-24T09:03:30Z
68492,chifurira,und,"","",,Shona,Botswanabugs,2021-03-23T12:18:29Z
160868,Nyenje,und,"","",,Shona,Botswanabugs,2021-03-27T16:43:01Z
160868,gusha,und,"","",,Shona,Botswanabugs,2021-03-27T16:46:23Z
168423,Nyanga ya peni,und,"","",,Shona,Botswanabugs,2021-04-11T03:40:11Z
580889,hwena,und,"","",,Shona,Botswanabugs,2021-06-07T04:55:07Z
