id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
43042,Rizzu,und,"","",,Sicilian,John E. Christensen,2017-11-30T10:57:13Z
56091,Cèusu,und,"","",,Sicilian,John E. Christensen,2018-02-18T14:08:24Z
71261,Furami,und,"","",,Sicilian,John E. Christensen,2018-02-28T08:29:14Z
47783,Gàmmaru (d'acqua duci),und,"","",,Sicilian,John E. Christensen,2018-06-20T15:48:34Z
325295,Piralidi dû busciu,und,"","",,Sicilian,Roger C. Kendrick,2019-05-21T09:53:13Z
51822,Catapozzulu,und,"","",,Sicilian,John E. Christensen,2019-08-31T15:12:46Z
505478,Jaddina,und,"","",,Sicilian,John E. Christensen,2019-12-28T14:25:57Z
168479,Rumpipietra,und,"","",,Sicilian,Alessandro G.,2021-03-10T16:35:27Z
64261,Cipriessu,und,"","",,Sicilian,Alessandro G.,2021-03-16T21:27:52Z
338348,Curriola ad arvuliddu,und,"","",,Sicilian,Alessandro G.,2021-04-09T21:44:25Z
118592,'Mpasturavacchi,und,"","",,Sicilian,Kitty Maurey,2021-06-12T15:16:43Z
118592,Coloru de mari,und,"","",,Sicilian,Kitty Maurey,2021-06-12T15:16:55Z
118592,Seppi 'i mari,und,"","",,Sicilian,Kitty Maurey,2021-06-12T15:17:07Z
41955,Jattupardu,und,"","",,Sicilian,Zane Roskoph,2021-08-13T12:23:23Z
41955,Attupardu,und,"","",,Sicilian,Zane Roskoph,2021-08-13T12:23:43Z
41964,liuni,und,"","",,Sicilian,Zane Roskoph,2021-08-24T15:37:45Z
49601,Mola cocciulara,und,"","",http://www.catalogueoflife.org/annual-checklist/2012/details/species/id/9741333,Sicilian,Alessandro G.,2021-09-19T15:30:01Z
27035,Serpo nivuro,und,"","",,Sicilian,Dino Biancolini,2022-06-10T21:12:00Z
