id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
186271,Mulembalemba,und,"","",,Silozi,Botswanabugs,2020-01-11T04:40:59Z
340305,Chizeze,und,"","",,Silozi,Botswanabugs,2020-01-11T04:47:01Z
468576,Mubako,und,"","",,Silozi,Botswanabugs,2020-01-11T04:59:19Z
340245,malula,und,"","",,Silozi,Botswanabugs,2020-01-11T07:31:04Z
340211,Mukololo,und,"","",,Silozi,Botswanabugs,2020-01-11T07:42:18Z
546325,Mukololo,und,"","",,Silozi,Botswanabugs,2020-01-11T07:46:23Z
485445,Muzauli,und,"","",,Silozi,Botswanabugs,2020-01-11T07:51:51Z
431074,Muwhana,und,"","",,Silozi,Botswanabugs,2020-01-11T07:59:40Z
191883,Mubana,und,"","",,Silozi,Botswanabugs,2020-01-11T08:07:35Z
191883,Mupamena,und,"","",,Silozi,Botswanabugs,2020-01-11T08:08:19Z
340324,Ibbu,und,"","",,Silozi,Botswanabugs,2020-01-11T08:13:04Z
340228,Mukalu,und,"","",,Silozi,Botswanabugs,2020-01-11T08:34:58Z
83832,Mungomba,und,"","",,Silozi,Botswanabugs,2020-01-11T08:47:36Z
340248,Mukosa,und,"","",,Silozi,Botswanabugs,2020-01-11T08:52:17Z
588676,Musamba,und,"","",,Silozi,Botswanabugs,2020-01-11T14:28:20Z
340336,Mukalu,und,"","",,Silozi,Botswanabugs,2020-01-11T14:36:54Z
340336,Muzinzila,und,"","",,Silozi,Botswanabugs,2020-01-11T14:37:36Z
340243,Mulombe,und,"","",,Silozi,Botswanabugs,2020-01-11T14:45:51Z
138688,Munjele,und,"","",,Silozi,Botswanabugs,2020-01-11T14:52:58Z
169414,Mwimbili,und,"","",,Silozi,Botswanabugs,2020-01-11T14:59:17Z
81500,Mubuyu,und,"","",,Silozi,Botswanabugs,2020-01-11T15:12:38Z
340173,Ghushika,und,"","",,Silozi,Botswanabugs,2020-01-11T15:20:12Z
595009,Muhuluhulu,und,"","",,Silozi,Botswanabugs,2020-01-11T15:24:10Z
336810,Muhorono,und,"","",,Silozi,Botswanabugs,2020-01-11T15:31:28Z
340164,Muchaba,und,"","",,Silozi,Botswanabugs,2020-01-11T15:44:33Z
334379,Lianduandu,und,"","",,Silozi,Botswanabugs,2020-01-11T15:47:04Z
340206,Mukupukupu,und,"","",,Silozi,Botswanabugs,2020-01-11T16:00:36Z
592652,Mumpumulenge,und,"","",,Silozi,Botswanabugs,2020-01-11T16:09:46Z
340245,mulala,und,"","",,Silozi,Botswanabugs,2020-01-13T06:40:31Z
340245,milula,und,"","",,Silozi,Botswanabugs,2020-01-13T06:41:11Z
340245,milala,und,"","",,Silozi,Botswanabugs,2020-01-13T06:41:40Z
202342,mauza,und,"","",,Silozi,Botswanabugs,2021-07-04T13:33:41Z
76789,mangu,und,"","",,Silozi,Botswanabugs,2021-07-04T13:35:44Z
199580,mubula,und,"","",,Silozi,Botswanabugs,2021-07-04T13:40:36Z
569017,mbulabula,und,"","",,Silozi,Botswanabugs,2021-07-04T13:47:20Z
165138,mwanja,und,"","",,Silozi,Botswanabugs,2021-07-04T13:54:16Z
191883,Mululu,und,"","",,Silozi,Botswanabugs,2021-07-23T23:08:27Z
191883,Mupumena,und,"","",,Silozi,Botswanabugs,2021-07-23T23:09:37Z
553599,mukenge,und,"","",,Silozi,Botswanabugs,2021-08-13T18:10:14Z
595946,muhoto,und,"","",,Silozi,Botswanabugs,2021-09-13T11:23:47Z
428749,mupani,und,"","",,Silozi,Botswanabugs,2021-09-14T03:03:53Z
340199,mungongo,und,"","",,Silozi,Botswanabugs,2021-09-14T03:09:59Z
81500,moana,und,"","",,Silozi,Botswanabugs,2021-11-11T15:19:59Z
42339,tolo,und,"","",,Silozi,Botswanabugs,2021-11-20T14:18:33Z
75192,pofu,und,"","",,Silozi,Botswanabugs,2021-11-20T14:20:08Z
42405,linali,und,"","",,Silozi,Botswanabugs,2021-12-06T03:44:13Z
595824,mumpake,und,"","",,Silozi,Botswanabugs,2021-12-21T09:26:57Z
160871,delele,und,"","",,Silozi,Botswanabugs,2021-12-21T10:48:21Z
43125,shakame,und,"","",,Silozi,Botswanabugs,2022-01-10T05:41:07Z
75083,Nake,und,"","",,Silozi,Botswanabugs,2022-01-10T08:00:15Z
42042,twani,und,"","",,Silozi,Botswanabugs,2022-03-24T04:33:21Z
41886,sitongwani,und,"","",,Silozi,Botswanabugs,2022-03-24T08:17:13Z
42276,Sebesebe,und,"","",,Silozi,Botswanabugs,2022-03-24T12:03:49Z
340245,mulula,und,"","",,Silozi,Botswanabugs,2022-06-02T09:48:27Z
340245,muongo,und,"","",,Silozi,Botswanabugs,2022-06-02T09:49:28Z
340245,muyombo,und,"","",,Silozi,Botswanabugs,2022-06-02T09:51:30Z
