id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
47208,කුරුමිණියා,si,"","",,Sinhala,John E. Christensen,2017-12-22T08:30:34Z
47170,දිලීර,si,"","",,Sinhala,John E. Christensen,2018-01-20T08:45:47Z
147732,කොටියා,si,"","",,Sinhala,Bobby McCabe,2018-01-27T18:48:13Z
52134,මදුරු ගණය,si,"","",,Sinhala,John E. Christensen,2018-02-17T10:28:25Z
66383,මිටර්මයර්ගේ පඳුරු මැඩියා,si,"","",,Sinhala,Bobby McCabe,2018-05-14T02:28:41Z
42147,හිපපොටේමස්,si,"","",,Sinhala,John E. Christensen,2018-12-04T17:23:27Z
82814,නෙළුම්,si,"","",,Sinhala,John E. Christensen,2019-05-05T10:44:33Z
44694,ශ්‍රී ලංකා ක‍ටු හීන් මීයා,si,"","",,Sinhala,Bobby McCabe,2019-07-12T22:01:24Z
369990,ගැටතුඹ,si,Sri Lanka,LK,,Sinhala,harshithjv,2019-07-14T10:48:28Z
727033,පෙරළි කොණ්ඩකුස්සා,si,"","",,Sinhala,Asanka Gallege,2020-04-13T19:13:15Z
889255,හීන් බෝවිටියා,si,"","",,Sinhala,Asanka Gallege,2020-04-14T02:52:35Z
443648,නවඳ,si,Sri Lanka,LK,,Sinhala,Asanka Gallege,2020-04-14T03:02:01Z
191666,හොර,si,Sri Lanka,LK,,Sinhala,Asanka Gallege,2020-04-14T03:03:46Z
438888,ගොකටු,si,Sri Lanka,LK,,Sinhala,Asanka Gallege,2020-04-14T03:06:58Z
68528,ඇහැ‍ටුල්ලා,si,"","",,Sinhala,Asanka Gallege,2020-04-14T10:06:40Z
99183,වයිරි හාල්දණ්ඩා,si,"","",,Sinhala,Asanka Gallege,2020-04-14T10:10:14Z
30264,කටකලුවා,si,"","",,Sinhala,Asanka Gallege,2020-04-14T10:25:10Z
966799,දියබරියා‍,si,"","",,Sinhala,Asanka Gallege,2020-04-14T10:33:42Z
83583,ගම්මිරිස්,si,"","",,Sinhala,Asanka Gallege,2020-04-15T02:27:36Z
146977,කාමරංගා,si,"","",,Sinhala,Asanka Gallege,2020-04-15T02:37:59Z
5539,අළු කෑදැත්තා,si,"","",,Sinhala,Asanka Gallege,2020-04-16T01:11:43Z
64443,දූරියන්,si,"","",,Sinhala,Asanka Gallege,2020-04-17T01:53:24Z
441210,බාඳුරා,si,"","",,Sinhala,Asanka Gallege,2020-04-17T02:44:30Z
348803,ගොඩපර,si,Sri Lanka,LK,,Sinhala,Asanka Gallege,2020-04-17T02:49:18Z
160760,ගල් ඉද්ද,si,"","",,Sinhala,Asanka Gallege,2020-04-17T04:15:50Z
160760,ගල් ගොරක,si,"","",,Sinhala,Asanka Gallege,2020-04-17T04:32:40Z
427389,වෙනිවැල්,si,Sri Lanka,LK,,Sinhala,Asanka Gallege,2020-04-17T04:40:13Z
116303,කබරගොයා,si,"","",,Sinhala,Asanka Gallege,2020-04-17T05:51:48Z
39415,තලගොයා,si,"","",,Sinhala,Asanka Gallege,2020-04-17T06:03:02Z
699206,කොළඹ කපුටා,si,"","",,Sinhala,Asanka Gallege,2020-04-21T17:37:43Z
723524,කොහා,si,Sri Lanka,LK,,Sinhala,Asanka Gallege,2020-04-22T02:01:09Z
201204,ශ්‍රී ලංකා තිත්පිය තිරාසිකයා,si,"","",,Sinhala,Asanka Gallege,2020-04-22T02:11:45Z
20037,උකුසු බකමූණා,si,"","",,Sinhala,Asanka Gallege,2020-04-22T02:43:48Z
20037,උලමා,si,Sri Lanka,LK,,Sinhala,Asanka Gallege,2020-04-22T02:44:21Z
13688,අළු හැලපෙන්දා,si,"","",,Sinhala,Asanka Gallege,2020-04-22T03:42:39Z
58300,දෙලුම්,si,"","",,Sinhala,Asanka Gallege,2020-04-23T01:22:51Z
431020,ගොටු නුග,si,"","",,Sinhala,Asanka Gallege,2020-04-25T05:13:50Z
50996,වලු නුග,si,"","",,Sinhala,Asanka Gallege,2020-04-25T05:22:25Z
548534,බිනර,si,Sri Lanka,LK,,Sinhala,Asanka Gallege,2020-05-24T13:00:37Z
548697,මහ රත්මල්,si,Sri Lanka,LK,,Sinhala,Asanka Gallege,2020-07-12T12:33:37Z
52681,වැරැල්ල,si,"","",,Sinhala,Asanka Gallege,2020-07-12T17:52:02Z
29223,පුල්ලි දත්-කැටියා,si,"","",,Sinhala,Asanka Gallege,2020-07-17T00:42:22Z
27984,දලව මැඩිල්ලා,si,"","",,Sinhala,Asanka Gallege,2020-07-20T04:23:33Z
445226,කට්ට ගිනිහොට,si,"","",,Sinhala,Asanka Gallege,2020-07-21T01:38:22Z
17478,ලංකා සිතැසියා,si,"","",,Sinhala,Asanka Gallege,2020-07-21T01:51:38Z
72847,ශ්‍රී ලංකා අනු මැසිමාරා,si,"","",,Sinhala,Asanka Gallege,2020-07-21T01:58:11Z
979677,රත්ළය නිල්-මැසිමාරා,si,"","",,Sinhala,Asanka Gallege,2020-07-21T02:00:44Z
348627,හීන් මදුවැල්,si,"","",,Sinhala,Asanka Gallege,2020-07-21T05:44:15Z
26555,පුල්ලි ගස් මැඩියා,si,"","",,Sinhala,Asanka Gallege,2020-07-23T02:11:02Z
66363,තියුණු හොඹු පඳුරු මැඩියා,si,"","",,Sinhala,Asanka Gallege,2020-07-23T02:14:41Z
26093,උත්පතන මැඩියා,si,"","",,Sinhala,Asanka Gallege,2020-07-23T02:20:13Z
476490,තඹවන් බැඳි මැඩියා,si,"","",,Sinhala,Asanka Gallege,2020-07-23T02:21:02Z
5062,අහිකාවා,si,"","",,Sinhala,Asanka Gallege,2020-07-23T02:33:05Z
497004,පුංචි  දියකාවා,si,"","",,Sinhala,Asanka Gallege,2020-07-23T02:45:21Z
5315,කුසඇළි සයුරුකුස්සා,si,"","",,Sinhala,Asanka Gallege,2020-07-23T13:56:55Z
711776,සිළු සර්පකුස්සා,si,Sri Lanka,LK,,Sinhala,Asanka Gallege,2020-07-23T14:37:15Z
13709,කෙත් වැරටිච්චා,si,"","",,Sinhala,Asanka Gallege,2020-07-24T01:47:01Z
42107,මීමින්නා,si,"","",,Sinhala,Asanka Gallege,2020-08-09T15:09:14Z
340100,ඉඟිනි,si,"","",,Sinhala,Asanka Gallege,2020-08-09T15:27:49Z
123046,රම්පෙ,si,"","",,Sinhala,Asanka Gallege,2020-08-09T16:06:02Z
67574,වරා,si,"","",,Sinhala,Asanka Gallege,2020-08-10T02:54:43Z
58371,රුහ,si,"","",,Sinhala,Asanka Gallege,2020-08-31T01:39:39Z
169326,බලු-නකුට,si,"","",,Sinhala,Asanka Gallege,2020-09-04T01:33:10Z
146977,කාඹරංකා,si,Sri Lanka,LK,,Sinhala,Nuwan Wijayaweera,2020-09-07T16:10:13Z
345967,ඇඹරැල්ලා,si,Sri Lanka,LK,,Sinhala,Nuwan Wijayaweera,2020-09-07T16:16:38Z
122965,අන්නාසි,si,Sri Lanka,LK,,Sinhala,Nuwan Wijayaweera,2020-09-07T16:20:37Z
1204,මොණරා/සෙබඩ,si,Sri Lanka,LK,,Sinhala,Nuwan Wijayaweera,2020-09-07T16:27:28Z
287316,ඇට්ටේරිය,si,Sri Lanka,LK,,Sinhala,Nuwan Wijayaweera,2020-09-20T17:41:53Z
68679,ඇහැළ,si,Sri Lanka,LK,,Sinhala,Nuwan Wijayaweera,2020-09-20T17:46:34Z
493624,ගුරුළුරාජ,si,Sri Lanka,LK,,Sinhala,Nuwan Wijayaweera,2020-09-20T17:49:41Z
