id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
98016,Alwisge diva huna,und,"","",The Reptile Database (2011). Downloaded from http://www.reptile-database.org on 31/07/2011,Sinhalese,Bobby McCabe,2011-08-19T02:58:35Z
98040,Kumarasinhage diva huna,und,"","",The Reptile Database (2011). Downloaded from http://www.reptile-database.org on 31/07/2011,Sinhalese,Bobby McCabe,2011-08-19T02:58:41Z
98046,Molligodage diva huna,und,"","",The Reptile Database (2011). Downloaded from http://www.reptile-database.org on 31/07/2011,Sinhalese,Bobby McCabe,2011-08-19T02:58:42Z
98067,Retigala diva huna,und,"","",The Reptile Database (2011). Downloaded from http://www.reptile-database.org on 31/07/2011,Sinhalese,Bobby McCabe,2011-08-19T02:58:47Z
98069,Samanala kandu diva huna,und,"","",The Reptile Database (2011). Downloaded from http://www.reptile-database.org on 31/07/2011,Sinhalese,Bobby McCabe,2011-08-19T02:58:47Z
104068,Sripakandu duburu hekanala,und,"","",The Reptile Database (2011). Downloaded from http://www.reptile-database.org on 31/07/2011,Sinhalese,Ken-ichi Ueda,2011-08-19T03:01:59Z
111718,Eranga Virajge thudulla,und,"","",The Reptile Database (2011). Downloaded from http://www.reptile-database.org on 31/07/2011,Sinhalese,Ken-ichi Ueda,2011-08-19T03:05:24Z
178011,Hada,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10075271/common/87120,Sinhalese,Ken-ichi Ueda,2012-10-24T05:23:11Z
102725,Hunga,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10083667/common/19486,Sinhalese,Ken-ichi Ueda,2012-11-12T14:36:01Z
69675,As geddi kelawalla,und,"","",http://www.ubio.org/browser/details.php?namebankID=874936,Sinhalese,Andrés Nicolás Ramírez,2013-04-16T05:29:36Z
244561,As bokka,und,"","",http://www.ubio.org/browser/details.php?namebankID=885112,Sinhalese,Ken-ichi Ueda,2013-04-16T05:29:39Z
431307,Korakaha,und,"","",,Sinhalese,c michael hogan,2017-04-01T11:34:43Z
47217,උඩවැඩියා,und,"","",,Sinhalese,John E. Christensen,2018-03-01T11:16:23Z
81925,මී හරකා,und,"","",,Sinhalese,John E. Christensen,2019-08-15T13:58:53Z
367470,වළි කුකුළා,und,"","",,Sinhalese,Asanka Gallege,2020-04-14T02:50:22Z
1138748,පට්ට උල් කෙන්ද,und,"","",,Sinhalese,Kitty Maurey,2020-10-08T12:54:08Z
104069,Munindradasage lakhekanala,und,"","",The Reptile Database (2011). Downloaded from http://www.reptile-database.org on 31/07/2011,Sinhalese,,2020-11-07T01:00:40Z
629975,මල් පිළිහුඩුවා,und,"","",,Sinhalese,Kitty Maurey,2020-12-26T16:18:12Z
343758,ගොන් කදුරු,und,Sri Lanka,LK,,Sinhalese,Asanka Gallege,2021-01-07T02:03:07Z
474332,දම්-මැදි කිතලා,und,"","",,Sinhalese,Asanka Gallege,2021-01-09T00:14:56Z
199,ළයසුදු කොරවක්කා,und,"","",,Sinhalese,Asanka Gallege,2021-01-09T00:19:58Z
724427,බමුණු පියාකුස්සා,und,Sri Lanka,LK,,Sinhalese,Asanka Gallege,2021-01-09T00:55:25Z
367472,කළුකුස්සා,und,"","",,Sinhalese,Asanka Gallege,2021-01-09T01:12:31Z
979665,දුම්බොන්නා,und,"","",,Sinhalese,Asanka Gallege,2021-01-09T04:35:57Z
19509,ජර්දන් බිම්බස්සා,und,"","",,Sinhalese,Asanka Gallege,2021-01-09T04:48:31Z
4943,පුංචි ඇලි-කොකා,und,"","",,Sinhalese,Asanka Gallege,2021-01-09T05:40:09Z
4951,කරවැල් කොකා,und,"","",,Sinhalese,Asanka Gallege,2021-01-09T15:41:30Z
4993,කණ-කොකා,und,"","",,Sinhalese,Asanka Gallege,2021-01-09T15:42:58Z
14610,බැමසුදු කොණ්ඩයා,und,"","",,Sinhalese,Asanka Gallege,2021-01-10T00:57:34Z
512431,ආසියා බොර මැසිමාරා,und,"","",,Sinhalese,Asanka Gallege,2021-01-10T01:33:31Z
204491,පොල්කිච්චා,und,Sri Lanka,LK,,Sinhalese,Vihansith Kulatunga,2021-01-10T08:36:37Z
15347,බට්ටිච්චා,und,Sri Lanka,LK,,Sinhalese,Vihansith Kulatunga,2021-01-10T08:38:18Z
8414,කැහිබෙල්ලා,und,Sri Lanka,LK,,Sinhalese,Vihansith Kulatunga,2021-01-10T08:44:48Z
19687,මැඩිමුහුණා,und,Sri Lanka,LK,,Sinhalese,Vihansith Kulatunga,2021-01-10T08:46:26Z
145031,ඉන්දු කළුකිච්චා,und,"","",,Sinhalese,Asanka Gallege,2021-01-11T01:37:43Z
204490,වන පොල්කිච්චා,und,"","",,Sinhalese,Asanka Gallege,2021-01-11T01:41:32Z
717333,දිළිරත් මිණිවිත්තා,und,"","",,Sinhalese,Asanka Gallege,2021-01-11T02:15:01Z
15608,කුසකහ ලඳු-දෙමලිච්චා,und,"","",,Sinhalese,Asanka Gallege,2021-01-11T02:22:16Z
144549,අළු කොබෙයියා,und,"","",,Sinhalese,Asanka Gallege,2021-01-11T02:52:55Z
144543,හීන් කොණ්ඩ මුහුදුළිහිණියා,und,"","",,Sinhalese,Asanka Gallege,2021-01-12T01:04:15Z
4811,පුංචි මාල ඔලෙවියා,und,"","",,Sinhalese,Asanka Gallege,2021-01-12T01:05:15Z
165529,මුරුංගා,und,Sri Lanka,LK,,Sinhalese,Vihansith Kulatunga,2021-01-28T09:47:40Z
27212,පොල්මල් කරවලා,und,Sri Lanka,LK,,Sinhalese,Asanka Gallege,2021-01-31T02:04:23Z
27212,මල් සරා,und,Sri Lanka,LK,,Sinhalese,Asanka Gallege,2021-01-31T02:05:54Z
95706,තල්කොස්සා,und,"","",,Sinhalese,Asanka Gallege,2021-01-31T03:08:46Z
191501,දියපර,und,Sri Lanka,LK,,Sinhalese,Asanka Gallege,2021-02-02T10:15:09Z
365697,කටුකිතුල්,und,Sri Lanka,LK,,Sinhalese,Asanka Gallege,2021-02-08T05:00:18Z
182480,බිම්තල්,und,Sri Lanka,LK,,Sinhalese,Asanka Gallege,2021-02-08T05:15:54Z
1133,හබන් කුකුලා,und,"","",,Sinhalese,Vihansith Kulatunga,2021-05-20T06:09:21Z
100111,Hali valan kossa,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10073135/common/42188,Sinhalese,,2021-07-15T12:22:17Z
100111,Sellan kossa,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10073135/common/42143,Sinhalese,,2021-07-15T12:22:45Z
318698,වාලක්කඩියා,und,"","",,Sinhalese,Zane Roskoph,2021-07-15T16:51:00Z
115010,Walaya,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10081706/common/102839,Sinhalese,,2021-07-19T16:08:10Z
114226,Leylla,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10061232/common/93596,Sinhalese,,2021-07-27T13:46:35Z
135283,Sevaya,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10066658/common/54777,Sinhalese,,2021-07-27T18:23:27Z
49639,Thabuwa,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10073047/common/60709,Sinhalese,,2021-07-29T00:52:55Z
